,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
46,335.4125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-08,0.0,0.0,0.0,0.0,0.0,5.908e-05,0.0,0.0,0.00063352,3.1e-07,3.1e-07,0.00667776,0.01131017,0.011309,0.00429433,0.00233276,0.00233252,0.01166472,0.01364324,0.01364183,0.00197852,0.00197711
47,359.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-08,0.0,0.0,0.0,0.0,0.0,5.359e-05,0.0,0.0,0.00056508,5e-08,5e-08,0.0059927,0.00960314,0.00960214,0.00448895,0.00253512,0.00253485,0.01110036,0.0121383,0.01213704,0.00103794,0.00103668
48,382.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-08,0.0,0.0,0.0,0.0,0.0,4.861e-05,0.0,0.0,0.00051016,1e-08,1e-08,0.00536214,0.0079671,0.00796627,0.00465863,0.00273949,0.00273921,0.01057957,0.01070659,0.01070548,0.00012702,0.00012591
49,406.7375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-08,0.0,0.0,0.0,0.0,0.0,4.404e-05,0.0,0.0,0.00046425,0.0,0.0,0.00478258,0.00648185,0.00648118,0.00480116,0.00294712,0.00294681,0.01009205,0.00942897,0.00942799,-0.00066308,-0.00066406
50,430.5125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,0.0,0.0,0.0,0.0,3.986e-05,0.0,0.0,0.00042495,0.0,0.0,0.00425389,0.00518036,0.00517982,0.00491675,0.00316209,0.00316176,0.00963547,0.00834244,0.00834158,-0.00129303,-0.00129389
51,454.2875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,0.0,0.0,0.0,0.0,3.605e-05,0.0,0.0,0.00039069,0.0,0.0,0.00377473,0.00404964,0.00404922,0.00500543,0.00337911,0.00337876,0.00920691,0.00742875,0.00742798,-0.00177816,-0.00177893
52,478.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,0.0,0.0,0.0,0.0,3.259e-05,0.0,0.0,0.00036044,0.0,0.0,0.00334322,0.00309975,0.00309943,0.00506764,0.00359707,0.0035967,0.0088039,0.00669682,0.00669612,-0.00210708,-0.00210778
53,501.8375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,0.0,0.0,0.0,0.0,2.945e-05,0.0,0.0,0.00033349,0.0,0.0,0.00295699,0.00232561,0.00232537,0.00510423,0.00381504,0.00381465,0.00842416,0.00614065,0.00614002,-0.00228351,-0.00228414
54,525.6125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.661e-05,0.0,0.0,0.0003093,0.0,0.0,0.00261331,0.00171809,0.00171791,0.00511636,0.00403737,0.00403695,0.00806558,0.00575546,0.00575486,-0.00231012,-0.00231072
55,549.3875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.405e-05,0.0,0.0,0.00028745,0.0,0.0,0.00230914,0.00124308,0.00124296,0.0051055,0.00426005,0.00425961,0.00772614,0.00550314,0.00550257,-0.002223,-0.00222357
56,573.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.173e-05,0.0,0.0,0.0002676,0.0,0.0,0.00204131,0.00088152,0.00088143,0.0050734,0.00448157,0.00448111,0.00740404,0.00536309,0.00536254,-0.00204095,-0.0020415
57,596.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.965e-05,0.0,0.0,0.00024949,0.0,0.0,0.00180659,0.00061313,0.00061306,0.00502206,0.00470044,0.00469996,0.00709779,0.00531357,0.00531302,-0.00178422,-0.00178477
58,620.7125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.777e-05,0.0,0.0,0.00023288,0.0,0.0,0.0016018,0.00041856,0.00041852,0.00495377,0.00491529,0.00491478,0.00680622,0.00533385,0.0053333,-0.00147237,-0.00147292
