hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
228.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2e-05,0.0,0.0,2e-06,0.0,0.0,0.013852,0.0,0.0,0.155065,0.037057,0.03705669,0.883487,0.958553,0.95855319,25.289625,25.322271,25.32227,26.34207,26.31788,26.31788,-0.02419,-0.02419
252.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4e-05,0.0,0.0,1e-06,0.0,0.0,0.012457,0.0,0.0,0.131794,0.017737,0.01773716,0.819147,0.87896,0.87896016,25.278689,25.317461,25.31746,26.24212,26.21416,26.214157,-0.02796,-0.027963
275.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9e-05,0.0,0.0,1e-06,0.0,0.0,0.011324,0.0,0.0,0.115615,0.007979,0.00797922,0.760578,0.799956,0.79995628,25.267047,25.312243,25.312242,26.15459,26.12018,26.120178,-0.03441,-0.034412
299.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4e-05,0.0,0.0,1e-06,0.0,0.0,0.010382,0.0,0.0,0.104062,0.003375,0.00337531,0.707535,0.722626,0.72262608,25.254744,25.306619,25.306618,26.07675,26.03262,26.032619,-0.04413,-0.044131
323.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1e-05,0.0,0.0,1e-06,0.0,0.0,0.009571,0.0,0.0,0.095436,0.001348,0.001348,0.659218,0.647988,0.64798772,25.241718,25.300565,25.300564,26.00596,25.9499,25.9499,-0.05606,-0.05606
347.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8e-05,0.0,0.0,1e-06,0.0,0.0,0.008847,0.0,0.0,0.088647,0.000506,0.0005058,0.614705,0.576132,0.57613141,25.227845,25.293983,25.293982,25.94006,25.87062,25.87062,-0.06944,-0.06944
371.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5e-05,0.0,0.0,0.0,0.0,0.0,0.008189,0.0,0.0,0.08308,0.000179,0.00017853,0.573554,0.507797,0.50779644,25.213089,25.286829,25.286828,25.87793,25.7948,25.794803,-0.08313,-0.083127
394.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3e-05,0.0,0.0,0.0,0.0,0.0,0.007589,0.0,0.0,0.078379,5.9e-05,5.946e-05,0.535594,0.443788,0.44378772,25.197493,25.279096,25.279095,25.81907,25.72294,25.722942,-0.09613,-0.096128
418.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1e-05,0.0,0.0,0.0,0.0,0.0,0.00704,0.0,0.0,0.074313,1.9e-05,1.869e-05,0.500659,0.384523,0.38452292,25.181111,25.270774,25.270773,25.76313,25.65532,25.655315,-0.10781,-0.107815
442.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9e-06,0.0,0.0,0.0,0.0,0.0,0.006537,0.0,0.0,0.070726,6e-06,5.53e-06,0.468576,0.330176,0.33017617,25.163997,25.261842,25.261842,25.70985,25.59202,25.592023,-0.11783,-0.117827
