,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
60,668.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,0.0,0.0,0.0,0.0,5.561e-05,0.0,0.0,0.00055086,0.0,0.0,0.00387765,0.00337752,0.00337717,0.00874109,0.00736901,0.00736825,0.01322523,0.01074654,0.01074542,-0.00247869,-0.0024798
61,692.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,0.0,0.0,0.0,0.0,4.975e-05,0.0,0.0,0.00051412,0.0,0.0,0.00346616,0.00264653,0.00264626,0.00866307,0.00770196,0.00770116,0.01269311,0.01034849,0.01034742,-0.00234462,-0.00234569
62,715.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,0.0,0.0,0.0,0.0,4.451e-05,0.0,0.0,0.00047998,0.0,0.0,0.00310177,0.00204741,0.0020472,0.00855169,0.00802126,0.00802043,0.01217796,0.01006867,0.01006762,-0.00210929,-0.00211034
63,739.5875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,0.0,0.0,0.0,0.0,3.984e-05,0.0,0.0,0.00044818,0.0,0.0,0.00278003,0.00156466,0.0015645,0.00841064,0.00832416,0.0083233,0.01167869,0.00988883,0.0098878,-0.00178986,-0.00179089
64,763.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.572e-05,0.0,0.0,0.00041894,0.0,0.0,0.0024987,0.00118228,0.00118216,0.00825138,0.00861567,0.00861477,0.01120474,0.00979795,0.00979694,-0.00140679,-0.0014078
65,787.1375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.215e-05,0.0,0.0,0.00039253,0.0,0.0,0.00225534,0.00088412,0.00088403,0.0080872,0.00890478,0.00890386,0.01076722,0.0097889,0.00978789,-0.00097832,-0.00097933
66,810.9125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.906e-05,0.0,0.0,0.00036896,0.0,0.0,0.00204618,0.00065575,0.00065568,0.00792716,0.00920759,0.00920664,0.01037137,0.00986334,0.00986232,-0.00050803,-0.00050905
67,834.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64e-05,0.0,0.0,0.0003479,0.0,0.0,0.00186636,0.00048167,0.00048162,0.00777422,0.00952132,0.00952034,0.01001488,0.01000299,0.01000195,-1.189e-05,-1.293e-05
68,858.4625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.407e-05,0.0,0.0,0.00032889,0.0,0.0,0.00171082,0.00035003,0.00035,0.0076268,0.00984004,0.00983902,0.00969058,0.01019008,0.01018902,0.0004995,0.00049844
69,882.2375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.201e-05,0.0,0.0,0.0003115,0.0,0.0,0.0015753,0.00025167,0.00025164,0.00748268,0.01016041,0.01015936,0.00939148,0.01041207,0.01041099,0.00102059,0.00101951
70,906.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.017e-05,0.0,0.0,0.00029545,0.0,0.0,0.00145651,0.00017903,0.00017901,0.00734085,0.01048008,0.010479,0.00911298,0.01065911,0.01065801,0.00154613,0.00154503
71,929.7875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.854e-05,0.0,0.0,0.00028055,0.0,0.0,0.00135191,0.00012603,0.00012602,0.00720134,0.01079788,0.01079676,0.00885234,0.01092391,0.01092278,0.00207157,0.00207044
72,953.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.706e-05,0.0,0.0,0.00026665,0.0,0.0,0.00125929,8.781e-05,8.78e-05,0.00706377,0.01111323,0.01111208,0.00860678,0.01120104,0.01119988,0.00259426,0.0025931
73,977.3375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.574e-05,0.0,0.0,0.00025367,0.0,0.0,0.00117703,6.057e-05,6.057e-05,0.0069291,0.01142801,0.01142682,0.00837555,0.01148858,0.01148739,0.00311303,0.00311184
74,1001.1125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.455e-05,0.0,0.0,0.00024155,0.0,0.0,0.00110375,4.137e-05,4.137e-05,0.00679828,0.01173644,0.01173522,0.00815812,0.01177781,0.01177659,0.00361969,0.00361847
