ig,ip,t1,t2,t3,t4,t5
2,1,9.1064467e-19,1.0436719e-18,1.164119e-18,1.2683815e-18,1.3551458e-18
2,2,9.1719316e-19,1.0497371e-18,1.1694701999999999e-18,1.2729121000000001e-18,1.3588393000000002e-18
2,3,9.2379827e-19,1.0558376000000002e-18,1.1748406000000002e-18,1.2774503000000002e-18,1.3625322e-18
2,4,9.3040834e-19,1.0619253000000001e-18,1.1801875e-18,1.2819598e-18,1.366195e-18
2,5,9.3702773e-19,1.0680041999999999e-18,1.1855144e-18,1.2864435e-18,1.3698301e-18
2,6,9.437162900000001e-19,1.0741287e-18,1.1908688e-18,1.2909414e-18,1.3734697e-18
2,7,9.501564e-19,1.0800074999999998e-18,1.1959961e-18,1.2952396999999999e-18,1.3769413e-18
2,8,9.5813756e-19,1.0872743e-18,1.20232e-18,1.3005308e-18,1.3812062e-18
2,9,9.677593299999999e-19,1.0960067e-18,1.2098991000000001e-18,1.3068566e-18,1.3862927e-18
2,10,9.8124311e-19,1.1081988999999999e-18,1.2204466000000001e-18,1.3156331999999999e-18,1.3933278e-18
2,11,9.9598355e-19,1.1214578000000002e-18,1.2318665e-18,1.3250978e-18,1.4008838e-18
2,12,1.0113844e-18,1.1352329e-18,1.2436751e-18,1.3348423999999998e-18,1.4086291e-18
2,13,1.027079e-18,1.1491892e-18,1.2555803000000001e-18,1.3446226e-18,1.4163669e-18
2,14,1.0430768999999999e-18,1.1633315e-18,1.2675841e-18,1.3544383e-18,1.4239893e-18
2,15,1.0592416000000001e-18,1.177536e-18,1.2795793999999999e-18,1.3642004e-18,1.4314936e-18
2,16,1.0756497e-18,1.1918678e-18,1.2916196999999999e-18,1.3739517e-18,1.4389461999999998e-18
2,17,1.0922362e-18,1.206267e-18,1.3036531000000001e-18,1.3836488000000002e-18,1.4463133999999999e-18
2,18,1.107086e-18,1.2190707e-18,1.3142930000000002e-18,1.3921788999999998e-18,1.4527587e-18
2,19,1.1184688e-18,1.2288028999999998e-18,1.3223298999999999e-18,1.3985895e-18,1.4575854e-18
2,20,1.1189757e-18,1.2290872e-18,1.3224928e-18,1.3986905000000001e-18,1.4576870000000001e-18
2,21,1.1149111000000002e-18,1.2253656000000002e-18,1.3193005000000001e-18,1.3960961e-18,1.4557736999999999e-18
2,22,1.1063173000000001e-18,1.2176236e-18,1.3127086e-18,1.3907491e-18,1.4517860000000001e-18
2,23,1.0966483000000002e-18,1.2088036000000001e-18,1.305134e-18,1.3845632e-18,1.4471431000000002e-18
2,24,1.0874357e-18,1.200196e-18,1.2976294e-18,1.3783696000000002e-18,1.4424636999999998e-18
2,25,1.0791199e-18,1.1921362e-18,1.2904476000000002e-18,1.3723561e-18,1.4378695000000001e-18
2,26,1.0732351e-18,1.1859281999999999e-18,1.2846623e-18,1.3673786999999999e-18,1.4338478e-18
2,27,1.0714118e-18,1.1829808000000002e-18,1.2814473999999999e-18,1.3643822e-18,1.4313042e-18
2,28,1.0742328e-18,1.1837675e-18,1.2811774e-18,1.3636533999999999e-18,1.4304488999999998e-18
2,29,1.0837246999999999e-18,1.1900852e-18,1.2853683e-18,1.3664138000000001e-18,1.4322191000000002e-18
2,30,1.0985054e-18,1.2006088e-18,1.2928153999999999e-18,1.3716136e-18,1.4357312e-18
2,31,1.1185883999999998e-18,1.2152775e-18,1.3033841e-18,1.3790575e-18,1.4407443999999998e-18
2,32,1.143427e-18,1.233539e-18,1.3164995000000001e-18,1.3881521e-18,1.4466598999999998e-18
2,33,1.1718118999999999e-18,1.2542942e-18,1.3311135e-18,1.3978789e-18,1.4524894999999999e-18
2,34,1.2016136e-18,1.2757114999999999e-18,1.3455713000000002e-18,1.406692e-18,1.4567678e-18
2,35,1.2298996999999998e-18,1.2954018000000002e-18,1.3578065000000001e-18,1.4127016e-18,1.4576983e-18
2,36,1.2510478e-18,1.3085213999999999e-18,1.3636106000000001e-18,1.4122113e-18,1.4519989e-18
2,37,1.2582088e-18,1.3090487e-18,1.3577113e-18,1.4006048e-18,1.4356114999999999e-18
2,38,1.2443813999999999e-18,1.2906726e-18,1.3344974e-18,1.3729291000000002e-18,1.4041728999999999e-18
2,39,1.2045103e-18,1.2486708999999998e-18,1.2896408e-18,1.3252461e-18,1.3540981e-18
2,40,1.1373606999999999e-18,1.1814753999999998e-18,1.2214126e-18,1.2557417e-18,1.2835166e-18
2,41,1.0464161e-18,1.0914312e-18,1.1313594e-18,1.1653775e-18,1.1929398e-18
2,42,9.429194e-19,9.8786821e-19,1.0272103e-18,1.0605184999999999e-18,1.0875528999999999e-18
2,43,8.334999100000001e-19,8.7660457e-19,9.1415631e-19,9.4592762e-19,9.718528e-19
2,44,7.222781999999999e-19,7.620998399999999e-19,7.9686945e-19,8.264412400000001e-19,8.5081897e-19
2,45,6.1600321e-19,6.5145814e-19,6.8257665e-19,7.092468199999999e-19,7.3149161e-19
2,46,5.2040465e-19,5.5082369e-19,5.7764903e-19,6.0079555e-19,6.2029399e-19
2,47,4.4037852e-19,4.653379099999999e-19,4.873619799999999e-19,5.0640654e-19,5.2252109e-19
2,48,3.7110907e-19,3.9112414000000003e-19,4.0876685e-19,4.2402852e-19,4.368814399999999e-19
2,49,3.1168243999999997e-19,3.2748563e-19,3.4138309000000003e-19,3.5339153999999998e-19,3.6336588e-19
2,50,2.6035514e-19,2.7280958e-19,2.8373724e-19,2.9315314e-19,3.0089537e-19
2,51,2.1634696000000002e-19,2.2624003e-19,2.3490683e-19,2.4231919e-19,2.4847224e-19
2,52,1.8026259e-19,1.8809346999999998e-19,1.9493515e-19,2.0073216e-19,2.0560013000000002e-19
3,1,4.4836942e-20,5.3616072999999996e-20,6.4309489e-20,7.662862400000001e-20,9.0163844e-20
3,2,4.5219524e-20,5.4091956e-20,6.4869319e-20,7.725494800000001e-20,9.083591900000001e-20
3,3,4.5613133e-20,5.4579307e-20,6.5440479e-20,7.789204799999999e-20,9.1517969e-20
3,4,4.6015522000000006e-20,5.5075011e-20,6.6019078e-20,7.8535406e-20,9.220503e-20
3,5,4.6427774000000004e-20,5.5580072e-20,6.6606046e-20,7.918588900000001e-20,9.2897909e-20
3,6,4.6854544000000004e-20,5.609984e-20,6.7207338e-20,7.984990400000001e-20,9.3603291e-20
3,7,4.7277619000000004e-20,5.6611279e-20,6.779569900000001e-20,8.049692999999999e-20,9.428845399999999e-20
3,8,4.7809993e-20,5.7253083e-20,6.8532105e-20,8.130495599999999e-20,9.514254199999998e-20
3,9,4.846496400000001e-20,5.803963799999999e-20,6.9431433e-20,8.2288868e-20,9.618008099999999e-20
3,10,4.9397958000000004e-20,5.9158035e-20,7.0707048e-20,8.368116199999999e-20,9.7645229e-20
3,11,5.0456573e-20,6.041739700000001e-20,7.213422099999999e-20,8.523081800000001e-20,9.926923400000001e-20
3,12,5.1611211e-20,6.1778694e-20,7.366553399999999e-20,8.688380400000001e-20,1.0099347000000002e-19
3,13,5.2844914000000005e-20,6.321876400000001e-20,7.5272438e-20,8.8607406e-20,1.0278235999999999e-19
3,14,5.416677799999999e-20,6.4745768e-20,7.6962163e-20,9.040797900000002e-20,1.0463368e-19
3,15,5.5575867e-20,6.6355579e-20,7.872785e-20,9.227652699999999e-20,1.0654165e-19
3,16,5.7088582e-20,6.8064208e-20,8.058502900000002e-20,9.4227993e-20,1.08523e-19
3,17,5.871207800000001e-20,6.9876167e-20,8.253592100000001e-20,9.626273300000001e-20,1.1057667e-19
3,18,6.0292861e-20,7.1609538e-20,8.437699900000002e-20,9.8162919e-20,1.1247919999999998e-19
3,19,6.167612099999999e-20,7.308405499999999e-20,8.590961e-20,9.971856e-20,1.1401758e-19
3,20,6.2192836e-20,7.3526679e-20,8.628437300000001e-20,1.0003243e-19,1.1428062e-19
3,21,6.2429386e-20,7.3605381e-20,8.622947099999998e-20,9.9869952e-20,1.1404378999999998e-19
3,22,6.244499900000001e-20,7.3372409e-20,8.5790141e-20,9.926943e-20,1.1333867e-19
3,23,6.260274500000001e-20,7.3230438e-20,8.539700399999999e-20,9.8677039e-20,1.1261229999999999e-19
3,24,6.309199099999999e-20,7.3381095e-20,8.5259932e-20,9.830613800000001e-20,1.1207571e-19
3,25,6.4018686e-20,7.3924843e-20,8.5474528e-20,9.824729199999998e-20,1.1181272000000002e-19
3,26,6.5585038e-20,7.507220399999999e-20,8.625783099999999e-20,9.8720667e-20,1.1202911999999998e-19
3,27,6.801058e-20,7.7050648e-20,8.784446199999999e-20,9.996515800000001e-20,1.1297736e-19
3,28,7.146506200000001e-20,8.001828599999999e-20,9.0384645e-20,1.0212505e-19,1.147957e-19
3,29,7.6251797e-20,8.4289821e-20,9.4203573e-20,1.0553288e-19,1.1781907e-19
3,30,8.2504671e-20,8.994720300000001e-20,9.934227099999999e-20,1.1020019e-19,1.2203807000000002e-19
3,31,9.0523326e-20,9.725840499999999e-20,1.060421e-19,1.1634831e-19,1.2765930999999998e-19
3,32,1.0065506e-19,1.0652977e-19,1.1457179e-19,1.2421560999999999e-19,1.3489969e-19
3,33,1.1329696000000002e-19,1.1811497999999998e-19,1.2524077000000002e-19,1.34071e-19,1.4399801e-19
3,34,1.2886827e-19,1.3239858e-19,1.3839274e-19,1.4621367000000003e-19,1.5521473e-19
