,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_g11,LBLk_g11,PAR_g11,LBL_g12,LBLk_g12,PAR_g12,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
62,715.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00371,0.00056,0.00056,0.04413,0.05246,0.05244,0.02866,0.02762,0.027639999999999998,0.00759,0.00763,0.007640000000000001,0.08409,0.08827,0.08827,0.00419,0.00419
63,739.5875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00212,0.00014,0.00014,0.03871,0.04647,0.046439999999999995,0.0308,0.03028,0.030289999999999997,0.008740000000000001,0.00885,0.00886,0.08038,0.08574,0.08574,0.005370000000000001,0.00536
64,763.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,2.9999999999999997e-05,2.9999999999999997e-05,0.03313,0.03937,0.039330000000000004,0.03258,0.03274,0.032760000000000004,0.00997,0.0102,0.010209999999999999,0.07687999999999999,0.08234,0.08233,0.0054600000000000004,0.00545
65,787.1375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006799999999999999,0.0,0.0,0.027719999999999998,0.0318,0.031760000000000004,0.03392,0.03494,0.03495,0.0113,0.01168,0.01169,0.07362,0.07842,0.07841000000000001,0.0048,0.00479
66,810.9125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039,0.0,0.0,0.022719999999999997,0.02443,0.024390000000000002,0.03478,0.03685,0.036860000000000004,0.01272,0.013330000000000002,0.01335,0.07061,0.07461,0.0746,0.004,0.00398
67,834.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023999999999999998,0.0,0.0,0.01825,0.017740000000000002,0.0177,0.03512,0.03833,0.03834,0.014240000000000001,0.01517,0.01518,0.06784,0.07124,0.07123,0.0034,0.0033799999999999998
68,858.4625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015,0.0,0.0,0.01438,0.0121,0.01207,0.0349,0.03926,0.03927,0.01584,0.017169999999999998,0.01718,0.06527000000000001,0.06853,0.06852000000000001,0.0032600000000000003,0.00325
69,882.2375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9e-05,0.0,0.0,0.01113,0.0077,0.007679999999999999,0.03414,0.03953,0.03954,0.017490000000000002,0.01934,0.01935,0.06286,0.06657,0.06657,0.00372,0.00371
70,906.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9999999999999995e-05,0.0,0.0,0.00847,0.00455,0.004529999999999999,0.032869999999999996,0.039080000000000004,0.039080000000000004,0.019180000000000003,0.02165,0.02167,0.060579999999999995,0.06529,0.06527999999999999,0.00471,0.0047
71,929.7875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0,0.006379999999999999,0.00248,0.00247,0.03119,0.03792,0.03791,0.020880000000000003,0.024130000000000002,0.02415,0.05849,0.06454,0.06454,0.00605,0.00605
72,953.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9999999999999997e-05,0.0,0.0,0.00475,0.00124,0.00123,0.029160000000000002,0.03603,0.03601,0.02256,0.026739999999999996,0.026760000000000003,0.05649,0.06401,0.06401,0.007509999999999999,0.007509999999999999
73,977.3375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0,0.0,0.0035299999999999997,0.00056,0.00056,0.02688,0.033460000000000004,0.03345,0.02417,0.029460000000000004,0.029480000000000003,0.0546,0.06348999999999999,0.06348999999999999,0.00889,0.00889
74,1001.1125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.00263,0.00022999999999999998,0.00022999999999999998,0.024480000000000002,0.03036,0.03034,0.0257,0.03227,0.03229,0.052820000000000006,0.06286,0.06286,0.01004,0.01004
