hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_g11,LBLk_g11,PAR_g11,LBL_g12,LBLk_g12,PAR_g12,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0.0,0.0158,0.0158,0.0158,0.07282000000000001,0.07282000000000001,0.07282000000000001,0.25065,0.25065,0.25065,0.80329,0.80329,0.80329,0.9138799999999999,0.9138799999999999,0.9138799999999999,2.8824,2.8824,2.8824,6.12235,6.12235,6.12235,6.9619800000000005,6.9619800000000005,6.9619800000000005,6.906439999999999,6.906439999999999,6.906439999999999,8.46473,8.46473,8.46473,7.9755899999999995,7.9755899999999995,7.9755899999999995,17.334570000000003,17.334570000000003,17.334570000000003,58.7045,58.7045,58.7045,0.0,0.0
0.0006,0.015780000000000002,0.015780000000000002,0.015780000000000002,0.07281,0.07281,0.07281,0.25065,0.25065,0.25065,0.80329,0.80329,0.80329,0.9138799999999999,0.9138799999999999,0.9138799999999999,2.8824,2.8824,2.8824,6.12235,6.12235,6.12235,6.9619800000000005,6.9619800000000005,6.9619800000000005,6.906439999999999,6.906439999999999,6.906439999999999,8.46473,8.46473,8.46473,7.9755899999999995,7.9755899999999995,7.9755899999999995,17.334570000000003,17.334570000000003,17.334570000000003,58.704480000000004,58.704480000000004,58.704480000000004,0.0,0.0
0.0009,0.015780000000000002,0.015780000000000002,0.015780000000000002,0.07281,0.07281,0.07281,0.25065,0.25065,0.25064000000000003,0.80329,0.80329,0.80329,0.9138799999999999,0.9138799999999999,0.9138799999999999,2.8824,2.8824,2.8824,6.12235,6.12235,6.12235,6.9619800000000005,6.9619800000000005,6.9619800000000005,6.906439999999999,6.906439999999999,6.906439999999999,8.46473,8.46473,8.46473,7.9755899999999995,7.9755899999999995,7.9755899999999995,17.334570000000003,17.334570000000003,17.334570000000003,58.70446999999999,58.70446999999999,58.70446999999999,0.0,0.0
0.0012,0.01577,0.01577,0.01577,0.07281,0.07281,0.07281,0.25064000000000003,0.25064000000000003,0.25064000000000003,0.80329,0.80329,0.80329,0.9138799999999999,0.9138799999999999,0.9138799999999999,2.8824,2.8824,2.8824,6.12235,6.12235,6.12235,6.9619800000000005,6.9619800000000005,6.9619800000000005,6.906439999999999,6.906439999999999,6.906439999999999,8.46473,8.46473,8.46473,7.9755899999999995,7.9755899999999995,7.9755899999999995,17.334570000000003,17.334570000000003,17.334570000000003,58.70446,58.70446,58.70446,0.0,0.0
0.0017,0.01576,0.01576,0.01576,0.0728,0.0728,0.0728,0.25064000000000003,0.25064000000000003,0.25064000000000003,0.80329,0.80329,0.80329,0.9138799999999999,0.9138799999999999,0.9138799999999999,2.8824,2.8824,2.8824,6.12235,6.12235,6.12235,6.9619800000000005,6.9619800000000005,6.9619800000000005,6.906439999999999,6.906439999999999,6.906439999999999,8.46473,8.46473,8.46473,7.9755899999999995,7.9755899999999995,7.9755899999999995,17.334570000000003,17.334570000000003,17.334570000000003,58.704440000000005,58.704440000000005,58.704440000000005,0.0,0.0
0.0024,0.01574,0.01574,0.01575,0.0728,0.0728,0.0728,0.25064000000000003,0.25064000000000003,0.25064000000000003,0.80329,0.80329,0.80329,0.9138799999999999,0.9138799999999999,0.9138799999999999,2.8824,2.8824,2.8824,6.12235,6.12235,6.12235,6.9619800000000005,6.9619800000000005,6.9619800000000005,6.906439999999999,6.906439999999999,6.906439999999999,8.46473,8.46473,8.46473,7.9755899999999995,7.9755899999999995,7.9755899999999995,17.334570000000003,17.334570000000003,17.334570000000003,58.70441999999999,58.70441999999999,58.70441999999999,0.0,0.0
0.0034,0.015719999999999998,0.015719999999999998,0.015719999999999998,0.07279,0.07279,0.07279,0.25064000000000003,0.25064000000000003,0.25064000000000003,0.80329,0.80329,0.80329,0.9138799999999999,0.9138799999999999,0.9138799999999999,2.8824,2.8824,2.8824,6.12235,6.12235,6.12235,6.9619800000000005,6.9619800000000005,6.9619800000000005,6.906439999999999,6.906439999999999,6.906439999999999,8.46473,8.46473,8.46473,7.9755899999999995,7.9755899999999995,7.9755899999999995,17.334570000000003,17.334570000000003,17.334570000000003,58.70438000000001,58.704390000000004,58.704390000000004,1e-05,1e-05
0.0048,0.01569,0.01569,0.01569,0.07278,0.07278,0.07278,0.25064000000000003,0.25064000000000003,0.25064000000000003,0.80329,0.80329,0.80329,0.9138799999999999,0.9138799999999999,0.9138799999999999,2.8824,2.8824,2.8824,6.12235,6.12235,6.12235,6.9619800000000005,6.9619800000000005,6.9619800000000005,6.906439999999999,6.906439999999999,6.906439999999999,8.46473,8.46473,8.46473,7.9755899999999995,7.9755899999999995,7.9755899999999995,17.334570000000003,17.334570000000003,17.334570000000003,58.70434,58.70435,58.70434,1e-05,0.0
0.0067,0.01565,0.01565,0.01565,0.07276,0.07276,0.07276,0.25063,0.25063,0.25064000000000003,0.80329,0.80329,0.80329,0.9138799999999999,0.9138799999999999,0.9138799999999999,2.8824,2.8824,2.8824,6.12235,6.12235,6.12235,6.9619800000000005,6.9619800000000005,6.9619800000000005,6.906439999999999,6.906439999999999,6.906439999999999,8.46473,8.46473,8.46473,7.9755899999999995,7.9755899999999995,7.9755899999999995,17.334570000000003,17.334570000000003,17.334570000000003,58.704269999999994,58.704280000000004,58.704280000000004,1e-05,1e-05
0.0094,0.015590000000000001,0.015590000000000001,0.015590000000000001,0.07272999999999999,0.07274,0.07274,0.25063,0.25063,0.25063,0.80329,0.80329,0.80329,0.9138799999999999,0.9138799999999999,0.9138799999999999,2.8824,2.8824,2.8824,6.12235,6.12235,6.12235,6.9619800000000005,6.9619800000000005,6.9619800000000005,6.906439999999999,6.906439999999999,6.906439999999999,8.46473,8.46473,8.46473,7.9755899999999995,7.9755899999999995,7.9755899999999995,17.334570000000003,17.334570000000003,17.334570000000003,58.70418000000001,58.7042,58.704190000000004,2e-05,1e-05
