hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_g11,LBLk_g11,PAR_g11,LBL_g12,LBLk_g12,PAR_g12,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
4.1366,1e-05,0.0,0.0,0.013590000000000001,0.00881,0.008790000000000001,0.11441,0.1144,0.11439,0.39918000000000003,0.39939,0.39939,0.45678,0.45678,0.45678,1.44105,1.44105,1.44105,3.0609900000000003,3.06103,3.06103,3.4809,3.4809300000000003,3.48092,3.45321,3.45321,3.45321,4.23236,4.23236,4.23236,3.98779,3.98779,3.98779,8.66728,8.66728,8.66728,29.30755,29.30303,29.303,-0.004520000000000001,-0.00455
5.8025,0.0,0.0,0.0,0.01031,0.00502,0.0050100000000000006,0.11027999999999999,0.11004000000000001,0.11002999999999999,0.39796,0.39826,0.39825,0.45663000000000004,0.45663000000000004,0.45663000000000004,1.4409299999999998,1.4409399999999999,1.4409399999999999,3.0609,3.0609599999999997,3.0609599999999997,3.48087,3.4809,3.4809,3.4532,3.4532,3.4532,4.23236,4.23236,4.23236,3.98779,3.98779,3.98779,8.66728,8.66728,8.66728,29.29853,29.293390000000002,29.293359999999996,-0.00514,-0.00517
8.1392,0.0,0.0,0.0,0.0071400000000000005,0.00227,0.0022600000000000003,0.10443,0.10375999999999999,0.10374000000000001,0.39596,0.39638,0.39637,0.45633999999999997,0.45633999999999997,0.45633999999999997,1.44072,1.4407299999999998,1.4407299999999998,3.06077,3.0608400000000002,3.0608400000000002,3.4808199999999996,3.48086,3.48086,3.45319,3.4532,3.4532,4.23235,4.23236,4.23236,3.98779,3.98779,3.98779,8.66728,8.66728,8.66728,29.2868,29.281809999999997,29.281779999999998,-0.00499,-0.00502
11.417,0.0,0.0,0.0,0.00432,0.00073,0.00073,0.09615,0.09471,0.09469,0.39257,0.39321,0.3932,0.45577,0.45577,0.45576000000000005,1.44032,1.4403299999999999,1.4403299999999999,3.06054,3.0606400000000002,3.0606400000000002,3.48074,3.4808,3.4808,3.45318,3.45318,3.45319,4.23235,4.23235,4.23235,3.98779,3.98779,3.98779,8.66728,8.66728,8.66728,29.271009999999997,29.266809999999996,29.26677,-0.0042,-0.00424
16.0147,0.0,0.0,0.0,0.00218,0.00014,0.00014,0.08479,0.08189,0.08185,0.3867,0.38775,0.38773,0.45464,0.45464,0.45464,1.43955,1.43957,1.43957,3.0601599999999998,3.06029,3.06029,3.48063,3.4807,3.4807,3.45316,3.4531699999999996,3.4531699999999996,4.23234,4.23235,4.23235,3.98779,3.98779,3.98779,8.66728,8.66728,8.66728,29.24922,29.24558,29.245520000000003,-0.00364,-0.0037
22.464,0.0,0.0,0.0,0.0009199999999999999,1e-05,1e-05,0.07037,0.06461,0.06457,0.3765,0.37827,0.37825,0.45243999999999995,0.45243999999999995,0.45243999999999995,1.4380700000000002,1.43812,1.43811,3.05947,3.05966,3.05966,3.48045,3.48055,3.48055,3.4531300000000003,3.4531400000000003,3.4531400000000003,4.23234,4.23234,4.23234,3.98779,3.98779,3.98779,8.66728,8.66728,8.66728,29.218759999999996,29.21422,29.21415,-0.00454,-0.00461
31.5105,0.0,0.0,0.0,0.00035,0.0,0.0,0.05425,0.04358,0.043539999999999995,0.35911,0.36178,0.36174,0.44816999999999996,0.44816000000000006,0.44815,1.4352,1.4353200000000002,1.4353200000000002,3.05824,3.05852,3.05851,3.48014,3.4802699999999995,3.4802699999999995,3.4530800000000004,3.4531,3.4531,4.23232,4.23233,4.23233,3.98779,3.98779,3.98779,8.66728,8.66728,8.66728,29.175929999999997,29.16814,29.16804,-0.007790000000000001,-0.007890000000000001
44.2001,0.0,0.0,0.0,0.00011999999999999999,0.0,0.0,0.03898,0.02254,0.0225,0.33102,0.33373,0.33366999999999997,0.43993999999999994,0.43993999999999994,0.43993000000000004,1.42969,1.42998,1.42997,3.05597,3.0564,3.0564,3.4796199999999997,3.4798,3.47979,3.453,3.4530199999999995,3.4530199999999995,4.2323,4.23231,4.23231,3.9877800000000003,3.98779,3.98779,8.66728,8.66728,8.66728,29.115709999999996,29.102790000000002,29.102659999999997,-0.01292,-0.01305
62.0,0.0,0.0,0.0,4e-05,0.0,0.0,0.027139999999999997,0.0075,0.00748,0.29004,0.28811,0.28802,0.42441,0.42436999999999997,0.42433999999999994,1.41916,1.41982,1.4198,3.05178,3.05248,3.05247,3.4786900000000003,3.47893,3.47893,3.45285,3.45289,3.45289,4.23227,4.23228,4.23228,3.9877800000000003,3.9877800000000003,3.9877800000000003,8.66728,8.66728,8.66728,29.03142,29.011440000000004,29.01127,-0.01998,-0.02015
85.775,0.0,0.0,0.0,1e-05,0.0,0.0,0.0196,0.0013599999999999999,0.00135,0.24084,0.22376999999999997,0.22365,0.39760999999999996,0.39729000000000003,0.39724,1.4004,1.40174,1.4017,3.04439,3.04557,3.04555,3.47709,3.4774300000000005,3.4774199999999995,3.45261,3.45265,3.45265,4.23221,4.23223,4.23223,3.98777,3.98777,3.98777,8.66728,8.66728,8.66728,28.91981,28.88709,28.88685,-0.03272,-0.03296
