,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_g11,LBLk_g11,PAR_g11,LBL_g12,LBLk_g12,PAR_g12,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
30,13.7158,0.0,0.0,0.0,0.0039299999999999995,0.00108,0.00107,0.02086,0.02355,0.023569999999999997,0.01078,0.010029999999999999,0.01004,0.00206,0.00207,0.00207,0.00141,0.0014,0.0014,0.0007099999999999999,0.00064,0.00065,0.00021,0.00018,0.00018,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.040010000000000004,0.03899,0.03901,-0.0010199999999999999,-0.001
31,19.2394,0.0,0.0,0.0,0.00165,0.00016999999999999999,0.00016999999999999999,0.018869999999999998,0.022609999999999998,0.022619999999999998,0.01335,0.01241,0.01242,0.00288,0.00288,0.00288,0.0019399999999999999,0.0019,0.0019,0.0008900000000000001,0.00082,0.00082,0.00023999999999999998,0.00021,0.00021,4e-05,4e-05,4e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.039869999999999996,0.04104,0.041069999999999995,0.00118,0.0012
32,26.9872,0.0,0.0,0.0,0.00053,1e-05,1e-05,0.01505,0.01963,0.01963,0.01623,0.015390000000000001,0.0154,0.00399,0.00399,0.004,0.00267,0.0026100000000000003,0.0026100000000000003,0.00115,0.00107,0.00107,0.00028,0.00025,0.00025,5e-05,4e-05,4e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.03997,0.043,0.043019999999999996,0.0030399999999999997,0.00305
33,37.8553,0.0,0.0,0.0,0.00015,0.0,0.0,0.010159999999999999,0.014,0.01399,0.018680000000000002,0.01866,0.018680000000000002,0.00547,0.00547,0.00547,0.00367,0.00355,0.0035600000000000002,0.00151,0.00141,0.00141,0.00035,0.00032,0.00032,5.9999999999999995e-05,5e-05,5e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.040060000000000005,0.04347,0.04349,0.0034100000000000003,0.00343
34,53.1,0.0,0.0,0.0,4e-05,0.0,0.0,0.00562,0.00713,0.0071200000000000005,0.01944,0.02163,0.02165,0.007370000000000001,0.007379999999999999,0.007390000000000001,0.00499,0.0048200000000000005,0.0048200000000000005,0.00199,0.00186,0.00186,0.00044,0.00041,0.00041,7e-05,5.9999999999999995e-05,5.9999999999999995e-05,2e-05,2e-05,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.03997,0.04333,0.04334,0.00335,0.00337
35,73.8875,0.0,0.0,0.0,1e-05,0.0,0.0,0.00267,0.00218,0.00218,0.01747,0.02285,0.02285,0.00951,0.009609999999999999,0.00962,0.006659999999999999,0.00642,0.00642,0.00262,0.00245,0.00246,0.00057,0.00053,0.00053,9e-05,8e-05,8e-05,2e-05,2e-05,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.03963,0.04415,0.04417,0.004520000000000001,0.00454
36,97.6625,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.00041,0.00041,0.013890000000000001,0.02119,0.0212,0.0113,0.01153,0.01154,0.00837,0.00805,0.00806,0.00331,0.0030800000000000003,0.0030800000000000003,0.0007099999999999999,0.00067,0.00067,0.00011,0.0001,0.0001,2e-05,2e-05,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.03912,0.04506,0.04508,0.00595,0.0059700000000000005
37,121.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0008900000000000001,5.9999999999999995e-05,5.9999999999999995e-05,0.01057,0.01785,0.01785,0.012459999999999999,0.01294,0.01295,0.00999,0.00962,0.00963,0.0040100000000000005,0.00372,0.00372,0.00086,0.0008,0.0008,0.00013000000000000002,0.00011999999999999999,0.00011999999999999999,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.038939999999999995,0.04515,0.04517,0.00621,0.006229999999999999
38,145.2125,0.0,0.0,0.0,0.0,0.0,0.0,0.00082,1e-05,1e-05,0.01007,0.01763,0.01762,0.01731,0.0184,0.01841,0.0156,0.015130000000000001,0.01514,0.00644,0.00596,0.0059700000000000005,0.0013800000000000002,0.0012900000000000001,0.0012900000000000001,0.0002,0.0002,0.0002,5e-05,4e-05,4e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.05189,0.05865,0.05867000000000001,0.0067599999999999995,0.00678
39,168.9875,0.0,0.0,0.0,0.0,0.0,0.0,0.00072,0.0,0.0,0.00801,0.01286,0.01285,0.02052,0.022359999999999998,0.022359999999999998,0.022180000000000002,0.02168,0.0217,0.00958,0.00883,0.00884,0.00207,0.0019100000000000002,0.0019199999999999998,0.00031,0.00029,0.00029,7e-05,5.9999999999999995e-05,5.9999999999999995e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.06347,0.06802000000000001,0.06803,0.00455,0.00456
