,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_g11,LBLk_g11,PAR_g11,LBL_g12,LBLk_g12,PAR_g12,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0,0.0003,0.19196,0.18558,0.18574000000000002,0.0792,0.07472999999999999,0.07479,0.014480000000000002,0.013680000000000001,0.01369,0.0023,0.00202,0.00202,1e-05,1e-05,1e-05,5e-05,5e-05,5e-05,0.00016999999999999999,0.00013000000000000002,0.00013000000000000002,0.0001,7e-05,7e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28828000000000004,0.27629000000000004,0.27652,-0.012,-0.011770000000000001
1,0.0008,0.19161,0.18534,0.1855,0.07927999999999999,0.07482,0.07488,0.014509999999999999,0.01371,0.01372,0.0023,0.00203,0.00203,1e-05,1e-05,1e-05,5e-05,5e-05,5e-05,0.00016999999999999999,0.00013000000000000002,0.00013000000000000002,0.0001,7e-05,7e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28807,0.27616999999999997,0.2764,-0.011890000000000001,-0.01166
2,0.0011,0.19118,0.185,0.18516,0.07947,0.075,0.07507,0.01457,0.01377,0.01378,0.00232,0.0020399999999999997,0.0020399999999999997,1e-05,1e-05,1e-05,5e-05,5e-05,5e-05,0.00016999999999999999,0.00013000000000000002,0.00013000000000000002,0.0001,7e-05,7e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2879,0.27609,0.27631999999999995,-0.01181,-0.01158
3,0.0015,0.1907,0.18463,0.18479,0.07966000000000001,0.07518999999999999,0.07525,0.01464,0.01383,0.01384,0.00233,0.00205,0.00205,1e-05,1e-05,1e-05,5e-05,5e-05,5e-05,0.00016999999999999999,0.00013000000000000002,0.00013000000000000002,0.0001,7e-05,7e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28768,0.27598,0.27621,-0.0117,-0.011470000000000001
4,0.0021,0.19013,0.18422,0.18437,0.07985,0.07537999999999999,0.07544,0.0147,0.013890000000000001,0.0139,0.00234,0.00206,0.00206,1e-05,1e-05,1e-05,5e-05,5e-05,5e-05,0.00016999999999999999,0.00013000000000000002,0.00013000000000000002,0.0001,7e-05,7e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28739000000000003,0.27583,0.27605999999999997,-0.011559999999999999,-0.01133
5,0.0029,0.18946,0.18374000000000001,0.1839,0.08002999999999999,0.07556,0.07562999999999999,0.014759999999999999,0.013940000000000001,0.01396,0.00236,0.00207,0.0020800000000000003,1e-05,1e-05,1e-05,5e-05,5e-05,5e-05,0.00016999999999999999,0.00013000000000000002,0.00013000000000000002,0.0001,7e-05,7e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28698,0.27560999999999997,0.27584000000000003,-0.01137,-0.01114
6,0.0041,0.18865,0.18317999999999998,0.18334,0.0802,0.07574,0.07581,0.014830000000000001,0.014,0.01401,0.00237,0.00209,0.00209,1e-05,1e-05,1e-05,5e-05,5e-05,5e-05,0.00018,0.00013000000000000002,0.00013000000000000002,0.0001,7e-05,7e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28642,0.2753,0.27553,-0.01112,-0.01089
7,0.0057,0.18763,0.18250999999999998,0.18266,0.08037000000000001,0.07592,0.07599,0.01489,0.01406,0.01407,0.0023899999999999998,0.0021,0.0021,1e-05,1e-05,1e-05,5e-05,5e-05,5e-05,0.00018,0.00013000000000000002,0.00013000000000000002,0.0001,7e-05,7e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28565,0.27488,0.27510999999999997,-0.01077,-0.01054
8,0.008,0.18634,0.18167,0.18182,0.08052000000000001,0.07608999999999999,0.07616,0.01496,0.014119999999999999,0.014130000000000002,0.0024,0.0021100000000000003,0.0021100000000000003,1e-05,1e-05,1e-05,5.9999999999999995e-05,5e-05,5e-05,0.00018,0.00013000000000000002,0.00013000000000000002,0.0001,7e-05,7e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28459,0.27428,0.27451,-0.01031,-0.01008
9,0.0112,0.18467,0.1806,0.18075,0.08065,0.07626000000000001,0.07632,0.015019999999999999,0.014180000000000002,0.014190000000000001,0.00242,0.00212,0.00212,1e-05,1e-05,1e-05,5.9999999999999995e-05,5e-05,5e-05,0.00018,0.00013000000000000002,0.00014,0.0001,7e-05,7e-05,2e-05,2e-05,2e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28314,0.27345,0.27368000000000003,-0.00969,-0.00946
