,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_g11,LBLk_g11,PAR_g11,LBL_g12,LBLk_g12,PAR_g12,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
16,0.1201,0.16605,0.17786,0.17797000000000002,0.10142000000000001,0.09788,0.09796,0.02065,0.01952,0.019540000000000002,0.00352,0.0031,0.0031,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,0.0001,9e-05,0.0001,0.00027,0.0002,0.0002,0.00015,0.00011,0.00011,2.9999999999999997e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.29224,0.29882,0.29904000000000003,0.00658,0.0068
17,0.1685,0.14748,0.16151,0.16161,0.10242000000000001,0.09963999999999999,0.09972,0.02174,0.02056,0.02058,0.00381,0.0033399999999999997,0.00335,4e-05,4e-05,4e-05,0.00011,0.00011,0.00011,0.0003,0.00022,0.00022,0.00016999999999999999,0.00011999999999999999,0.00011999999999999999,2.9999999999999997e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.27613000000000004,0.28558,0.28576999999999997,0.00945,0.009640000000000001
18,0.2364,0.12722,0.14231,0.14238,0.10273,0.101,0.10107999999999999,0.02292,0.02167,0.02169,0.00414,0.0036200000000000004,0.0036200000000000004,5e-05,5.9999999999999995e-05,5.9999999999999995e-05,0.00013000000000000002,0.00013000000000000002,0.00013000000000000002,0.00033999999999999997,0.00023999999999999998,0.00023999999999999998,0.00018999999999999998,0.00013000000000000002,0.00013000000000000002,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.25776,0.2692,0.26937,0.01144,0.011609999999999999
19,0.3315,0.10580999999999999,0.12035,0.12039000000000001,0.10209,0.1018,0.10188,0.02417,0.022869999999999998,0.02289,0.00451,0.00394,0.00394,7e-05,7e-05,7e-05,0.00016,0.00015,0.00015,0.00037999999999999997,0.00027,0.00027,0.00021,0.00015,0.00015,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.23745,0.24963000000000002,0.24978000000000003,0.01218,0.012329999999999999
20,0.4651,0.08407,0.09626,0.09627000000000001,0.10022,0.10177,0.10184,0.0255,0.02416,0.02418,0.0049299999999999995,0.0043,0.0043,9e-05,9e-05,9e-05,0.00018999999999999998,0.00018,0.00018,0.00043,0.0003,0.0003,0.00023999999999999998,0.00016,0.00016,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.21573,0.22726,0.22738000000000003,0.01153,0.01165
21,0.6524,0.06311,0.07141,0.0714,0.09677000000000001,0.10045,0.10052,0.0269,0.02557,0.02559,0.00541,0.00474,0.00474,0.00011999999999999999,0.00011999999999999999,0.00011999999999999999,0.00022999999999999998,0.00022,0.00022,0.00047999999999999996,0.00033999999999999997,0.00033999999999999997,0.00027,0.00018,0.00018,5e-05,4e-05,4e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.19336,0.20307999999999998,0.20317000000000002,0.00972,0.00981
22,0.9151,0.04425,0.04797,0.04795,0.09104,0.0973,0.09737,0.02804,0.0268,0.02682,0.00588,0.00517,0.00517,0.00016,0.00016999999999999999,0.00016999999999999999,0.00028,0.00026000000000000003,0.00026000000000000003,0.00054,0.00037999999999999997,0.00037999999999999997,0.0003,0.0002,0.0002,5.9999999999999995e-05,4e-05,4e-05,2e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.17056,0.17831,0.17837999999999998,0.00774,0.00782
23,1.2836,0.02858,0.0283,0.02828,0.08212,0.09125,0.09131,0.028210000000000002,0.02715,0.027180000000000003,0.0061200000000000004,0.0054,0.00541,0.00022,0.00022,0.00022,0.00032,0.0003,0.0003,0.00056,0.00039,0.00039,0.0003,0.00021,0.00021,5.9999999999999995e-05,4e-05,4e-05,2e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.1465,0.15329,0.15335,0.006790000000000001,0.00685
24,1.8006,0.01651,0.01375,0.013730000000000001,0.07066,0.08236,0.0824,0.02754,0.0268,0.02683,0.0061600000000000005,0.00551,0.00551,0.00029,0.00029,0.00029,0.00035,0.00033999999999999997,0.00033999999999999997,0.00054,0.00039,0.00039,0.00029,0.0002,0.0002,5e-05,4e-05,4e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.12243,0.1297,0.12975,0.00727,0.00732
25,2.5257,0.00821,0.005,0.00499,0.05827,0.07144,0.07147,0.026810000000000004,0.026410000000000003,0.026439999999999998,0.00627,0.005679999999999999,0.005679999999999999,0.00039,0.00039,0.00039,0.00041,0.0004,0.0004,0.00053,0.00039,0.00039,0.00027,0.00018999999999999998,0.00018999999999999998,5e-05,4e-05,4e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.10122,0.10995999999999999,0.11001,0.00875,0.008790000000000001
26,3.5428,0.00337,0.00121,0.00121,0.04607,0.05895,0.058960000000000005,0.02628,0.02628,0.0263,0.00656,0.00603,0.00604,0.00054,0.00054,0.00054,0.0005,0.00049,0.00049,0.00053,0.00041,0.00041,0.00025,0.00018,0.00018,5e-05,4e-05,4e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.08415,0.09414,0.09418,0.00999,0.010029999999999999
