hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_tot,LBLg_tot,LBLk_tot
573.1625,0.0,0.0,0.0,0.00015245,6e-08,6e-08,0.00143664,0.00057618,0.00057912,0.00586666,0.00532795,0.00531561,0.02788956,0.02733467,0.0273342,0.01273135,0.01122417,0.01127992,0.04807667,0.04446302,0.04450891
596.9375,0.0,0.0,0.0,0.0001424,4e-08,4e-08,0.00137648,0.00047445,0.00047733,0.0053442,0.00466942,0.00466266,0.02789497,0.02750063,0.02749006,0.01312503,0.01160402,0.01165228,0.04788308,0.04424856,0.04428237
620.7125,0.0,0.0,0.0,0.00013319,3e-08,3e-08,0.00132074,0.00039167,0.00039463,0.00486281,0.00408116,0.00408147,0.02784652,0.02761622,0.02759702,0.01350876,0.01197851,0.01201551,0.04767204,0.04406759,0.04408866
644.4875,0.0,0.0,0.0,0.00012475,2e-08,2e-08,0.0012689,0.00032418,0.00032678,0.00442067,0.00355858,0.00355865,0.02775025,0.0276861,0.02766856,0.01388289,0.01234801,0.01238889,0.04744746,0.0439169,0.0439429
668.2625,0.0,0.0,0.0,0.00011697,2e-08,2e-08,0.00122044,0.00026906,0.00027114,0.00401584,0.00309673,0.00309393,0.02761242,0.0277153,0.02770366,0.0142474,0.01271257,0.01276581,0.04721308,0.04379367,0.04383455
692.0375,0.0,0.0,0.0,0.00010977,1e-08,1e-08,0.0011746,0.00022392,0.00022567,0.00364584,0.00269012,0.00268729,0.02743569,0.02770569,0.02769715,0.01459942,0.01306965,0.01312947,0.04696532,0.0436894,0.04373959
715.8125,0.0,0.0,0.0,0.00010306,1e-08,1e-08,0.00113072,0.00018686,0.00018839,0.00330822,0.00233339,0.00233205,0.02722243,0.02765901,0.02765152,0.01493523,0.01341597,0.01347721,0.04669966,0.04359524,0.04364917
739.5875,0.0,0.0,0.0,9.679e-05,1e-08,1e-08,0.00108857,0.00015634,0.00015772,0.00300054,0.00202123,0.00202203,0.02697592,0.0275778,0.02756996,0.01525375,0.01375049,0.01380858,0.04641556,0.04350587,0.0435583
763.3625,0.0,0.0,0.0,9.097e-05,0.0,0.0,0.00104849,0.00013116,0.0001324,0.00272038,0.00174857,0.00175163,0.02670072,0.02746567,0.02745662,0.01555851,0.01407629,0.01412703,0.04611906,0.04342169,0.04346768
787.1375,0.0,0.0,0.0,8.563e-05,0.0,0.0,0.00101094,0.00011031,0.00011144,0.00246549,0.00151077,0.00151586,0.02640161,0.02732637,0.02731558,0.01585517,0.01439838,0.01443786,0.04581884,0.04334584,0.04338075
810.9125,0.0,0.0,0.0,8.074e-05,0.0,0.0,0.00097613,9.301e-05,9.398e-05,0.00223383,0.00130376,0.00130746,0.02608251,0.02716293,0.02715154,0.01614818,0.01472077,0.01476519,0.04552138,0.04328047,0.04331817
834.6875,0.0,0.0,0.0,7.627e-05,0.0,0.0,0.00094388,7.862e-05,7.943e-05,0.00202355,0.00112391,0.001126,0.02574612,0.0269774,0.02696541,0.01643896,0.01504481,0.01509817,0.04522877,0.04322473,0.04326901
858.4625,0.0,0.0,0.0,7.215e-05,0.0,0.0,0.00091382,6.661e-05,6.73e-05,0.00183291,0.00096798,0.00096944,0.02539423,0.02677115,0.02675798,0.01672626,0.01536942,0.0154272,0.04493938,0.04317517,0.04322192
882.2375,0.0,0.0,0.0,6.835e-05,0.0,0.0,0.00088556,5.658e-05,5.716e-05,0.00166029,0.00083306,0.00083445,0.02502838,0.02654542,0.02653065,0.01700817,0.01569294,0.01575094,0.04465075,0.04312799,0.04317321
906.0125,0.0,0.0,0.0,6.481e-05,0.0,0.0,0.00085882,4.816e-05,4.867e-05,0.00150413,0.00071649,0.00071811,0.02465022,0.02630155,0.02628492,0.01728342,0.01601422,0.01606858,0.0443614,0.04308043,0.04312029
929.7875,0.0,0.0,0.0,6.151e-05,0.0,0.0,0.00083345,4.11e-05,4.154e-05,0.00136296,0.00061591,0.00061787,0.02426144,0.026041,0.02602236,0.01755143,0.01633275,0.01637991,0.04407078,0.04303077,0.04306168
953.5625,0.0,0.0,0.0,5.842e-05,0.0,0.0,0.00080921,3.514e-05,3.552e-05,0.0012353,0.00052917,0.00053153,0.02386095,0.02576248,0.0257445,0.01780988,0.01664635,0.01668497,0.04377376,0.04297314,0.04299652
977.3375,0.0,0.0,0.0,5.554e-05,0.0,0.0,0.00078607,3.011e-05,3.045e-05,0.00111999,0.00045446,0.00045716,0.02345173,0.02546869,0.0254527,0.01805956,0.01695572,0.01698469,0.04347289,0.04290898,0.04292501
1001.1125,0.0,0.0,0.0,5.283e-05,0.0,0.0,0.000764,2.586e-05,2.616e-05,0.00101598,0.00039019,0.00039309,0.02303695,0.02516268,0.02514866,0.01830173,0.017262,0.01727824,0.04317149,0.04284074,0.04284615
