hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_tot,LBLg_tot,LBLk_tot
632.6,0.0,0.0,0.0,0.000733,0.0,0.0,0.065472,2.5e-05,2.5e-05,0.016145,0.002646,0.002655,1.62826,1.631112,1.629889,109.424889,109.489682,109.487041,111.1355,111.12347,111.11961
656.375,0.0,0.0,0.0,0.000687,0.0,0.0,0.063965,1.7e-05,1.8e-05,0.013774,0.001975,0.001982,1.575669,1.573298,1.572141,109.388105,109.455483,109.452734,111.0422,111.03077,111.02687
680.15,0.0,0.0,0.0,0.000644,0.0,0.0,0.062528,1.2e-05,1.3e-05,0.011768,0.001471,0.001478,1.524338,1.516462,1.515359,109.350492,109.4203,109.417408,110.94977,110.93824,110.93426
703.925,0.0,0.0,0.0,0.000605,0.0,0.0,0.061156,9e-06,9e-06,0.01007,0.001094,0.0011,1.474307,1.460686,1.459628,109.312085,109.384144,109.381088,110.85822,110.84593,110.84182
727.7,0.0,0.0,0.0,0.00057,0.0,0.0,0.059845,6e-06,7e-06,0.008635,0.000812,0.000817,1.425602,1.406037,1.405019,109.272913,109.347027,109.3438,110.76756,110.75388,110.74964
751.475,0.0,0.0,0.0,0.000537,0.0,0.0,0.058591,5e-06,5e-06,0.007422,0.000602,0.000606,1.378239,1.352573,1.351592,109.233006,109.308958,109.305567,110.67779,110.66214,110.65777
775.25,0.0,0.0,0.0,0.000507,0.0,0.0,0.057389,3e-06,3e-06,0.006395,0.000445,0.000449,1.332226,1.300342,1.299399,109.192396,109.26995,109.266413,110.58891,110.57074,110.56626
799.025,0.0,0.0,0.0,0.000479,0.0,0.0,0.056238,2e-06,3e-06,0.005527,0.000329,0.000332,1.287567,1.249384,1.24848,109.151113,109.230013,109.226361,110.50092,110.47973,110.47518
822.8,0.0,0.0,0.0,0.000454,0.0,0.0,0.055133,2e-06,2e-06,0.004791,0.000243,0.000246,1.244259,1.199732,1.198865,109.109192,109.189163,109.185379,110.41383,110.38914,110.38449
846.575,0.0,0.0,0.0,0.00043,0.0,0.0,0.054073,1e-06,1e-06,0.004167,0.00018,0.000181,1.202296,1.15141,1.150581,109.066673,109.14742,109.143475,110.32764,110.29901,110.29424
870.35,0.0,0.0,0.0,0.000409,0.0,0.0,0.053055,1e-06,1e-06,0.003638,0.000133,0.000134,1.161667,1.10444,1.103647,109.023599,109.104806,109.100684,110.24237,110.20938,110.20447
894.125,0.0,0.0,0.0,0.000389,0.0,0.0,0.052078,1e-06,1e-06,0.003187,9.8e-05,9.9e-05,1.12236,1.058834,1.058077,108.980012,109.061348,109.057043,110.15803,110.12028,110.11522
917.9,0.0,0.0,0.0,0.00037,0.0,0.0,0.051139,1e-06,1e-06,0.002803,7.2e-05,7.3e-05,1.084356,1.014597,1.013879,108.935952,109.017066,109.012581,110.07462,110.03174,110.02653
941.675,0.0,0.0,0.0,0.000353,0.0,0.0,0.050236,0.0,0.0,0.002475,5.3e-05,5.4e-05,1.047632,0.971732,0.971051,108.891451,108.971976,108.967325,109.99215,109.94376,109.93843
965.45,0.0,0.0,0.0,0.000337,0.0,0.0,0.049368,0.0,0.0,0.002194,3.9e-05,4e-05,1.012163,0.930234,0.929592,108.846539,108.92609,108.921294,109.9106,109.85636,109.85093
989.225,0.0,0.0,0.0,0.000322,0.0,0.0,0.048532,0.0,0.0,0.001952,2.9e-05,2.9e-05,0.977924,0.890094,0.889492,108.801242,108.879421,108.874509,109.82997,109.76954,109.76403
1013.0,0.0,0.0,0.0,0.000308,0.0,0.0,0.047727,0.0,0.0,0.001744,2.1e-05,2.2e-05,0.944885,0.851302,0.850739,108.755586,108.831977,108.826982,109.75025,109.6833,109.67774
