hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_tot,LBLg_tot,LBLk_tot
0.0003,0.16431875,0.15265885,0.15256584,0.0271903,0.02516724,0.0252088,0.00811019,0.00708289,0.00713449,3.52e-05,3.488e-05,3.857e-05,0.00042051,0.00036036,0.00037015,0.00182909,0.00155488,0.00157004,0.20190403,0.18685911,0.18688789
0.0008,0.16406256,0.15252276,0.15243037,0.02722919,0.02520556,0.02524682,0.00812843,0.00709901,0.00715057,3.55e-05,3.519e-05,3.88e-05,0.00042255,0.00036211,0.00037189,0.00183264,0.00155776,0.001573,0.20171088,0.18678238,0.18681144
0.0011,0.16379708,0.15236409,0.15227228,0.02731043,0.02528398,0.02532501,0.00816544,0.00713156,0.00718324,3.602e-05,3.57e-05,3.926e-05,0.00042667,0.0003656,0.00037542,0.00183949,0.00156364,0.00157901,0.20157513,0.18674456,0.18677422
0.0015,0.16347802,0.15217935,0.15208863,0.02739274,0.02536371,0.02540427,0.00820335,0.0071649,0.00721643,3.657e-05,3.624e-05,3.973e-05,0.00043091,0.0003692,0.00037901,0.00184663,0.00156968,0.00158512,0.20138822,0.18668309,0.18671318
0.0021,0.16308707,0.15196023,0.1518712,0.02747481,0.02544363,0.02548341,0.00824168,0.00719863,0.00724969,3.716e-05,3.683e-05,4.02e-05,0.00043525,0.00037287,0.0003826,0.00185386,0.00157581,0.00159124,0.20112983,0.18658801,0.18661835
0.0029,0.16259637,0.15169331,0.15160666,0.02755636,0.02552363,0.02556228,0.00828044,0.00723277,0.00728302,3.781e-05,3.748e-05,4.067e-05,0.00043967,0.00037662,0.00038621,0.00186116,0.00158203,0.00159738,0.2007718,0.18644584,0.18647622
0.0041,0.16196728,0.15135979,0.15127636,0.027637,0.02560362,0.0256407,0.00831967,0.00726738,0.00731639,3.854e-05,3.82e-05,4.114e-05,0.00044419,0.00038045,0.00038982,0.00186858,0.00158833,0.00160352,0.20027526,0.18623778,0.18626794
0.0057,0.16114663,0.15093344,0.15085426,0.02771626,0.0256835,0.02571846,0.00835942,0.00730255,0.00734983,3.937e-05,3.903e-05,4.162e-05,0.00044885,0.0003844,0.00039343,0.0018761,0.00159472,0.00160969,0.19958664,0.18593764,0.18596728
0.008,0.1600619,0.15037793,0.15030428,0.02779338,0.02576302,0.02579515,0.00839976,0.00733837,0.00738331,4.035e-05,4e-05,4.209e-05,0.00045365,0.00038848,0.00039706,0.00188373,0.00160121,0.00161586,0.19863277,0.18550901,0.18553775
0.0112,0.15861476,0.14964282,0.14957424,0.02786735,0.02584192,0.02587183,0.0084408,0.007375,0.00741867,4.152e-05,4.117e-05,4.289e-05,0.00045864,0.00039273,0.0004011,0.00189147,0.0016078,0.0016225,0.19731453,0.18490144,0.18493123
0.0158,0.15667382,0.14865857,0.14857566,0.02793675,0.02591982,0.02594673,0.00848266,0.00741266,0.00745716,4.296e-05,4.261e-05,4.443e-05,0.00046387,0.00039719,0.00040599,0.00189934,0.00161449,0.00162984,0.19549939,0.18404534,0.18405979
0.0221,0.15406685,0.14732987,0.14722989,0.02799957,0.02599616,0.02601862,0.00852555,0.00745164,0.00749584,4.478e-05,4.442e-05,4.634e-05,0.0004694,0.00040195,0.00041099,0.00190734,0.00162131,0.00163692,0.19301349,0.18284534,0.18283861
0.031,0.15057391,0.14552693,0.14541537,0.02805333,0.02607044,0.02608836,0.00856988,0.0074925,0.00753575,4.712e-05,4.676e-05,4.871e-05,0.00047536,0.0004071,0.00041625,0.00191552,0.00162828,0.00164399,0.18963512,0.18117201,0.18114843
0.0435,0.14589675,0.14304934,0.14293165,0.02811787,0.02616414,0.02617771,0.00862731,0.00754562,0.00758737,5.035e-05,4.998e-05,5.2e-05,0.0004832,0.00041389,0.00042302,0.00192612,0.00163733,0.00165286,0.1851016,0.17886029,0.17882462
0.0611,0.13944378,0.13938402,0.13924993,0.02844594,0.02652107,0.02652697,0.00882329,0.00772031,0.00776052,5.648e-05,5.608e-05,5.818e-05,0.00050815,0.00043495,0.00044431,0.00196417,0.0016697,0.00168547,0.17924179,0.17578613,0.17572538
0.0856,0.13091927,0.13412611,0.13397224,0.02914732,0.02724911,0.02724329,0.00922861,0.00807714,0.00811462,6.72e-05,6.674e-05,6.904e-05,0.00056071,0.00047864,0.00048833,0.00204589,0.00173922,0.00175526,0.17196899,0.17173696,0.17164277
