hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_g7,LBLg_g7,PAR_g7,LBL_g8,LBLg_g8,PAR_g8,LBL_g9,LBLg_g9,PAR_g9,LBL_g10,LBLg_g10,PAR_g10,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
240.3125,0.00357203,0.00396325,0.00396165,0.00552543,0.00559574,0.00559561,0.00387675,0.00344505,0.00344402,0.00182959,0.00160929,0.00161071,0.00039535,0.00038563,0.00038658,0.0002503,0.00024406,0.00024479,0.00014168,0.0001382,0.00013869,7.954e-05,7.836e-05,7.872e-05,4.123e-05,4.093e-05,4.115e-05,4.097e-05,3.892e-05,3.917e-05,0.01575288,0.01553944,0.01554108,-0.00021344,-0.0002118
264.0875,0.00356588,0.00390037,0.00389881,0.00631561,0.006427,0.00642421,0.00459962,0.00409612,0.00409284,0.00222489,0.0019544,0.00195544,0.00048812,0.00047572,0.00047684,0.0003104,0.00030225,0.00030315,0.00017608,0.00017149,0.00017212,9.91e-05,9.753e-05,9.803e-05,5.151e-05,5.111e-05,5.141e-05,5.139e-05,4.883e-05,4.918e-05,0.0178826,0.01752481,0.01752204,-0.00035779,-0.00036056
287.8625,0.00352304,0.00378539,0.00378302,0.00717408,0.00734079,0.00733443,0.00544671,0.00485369,0.00484825,0.00269736,0.00236378,0.00236506,0.00060023,0.00058391,0.0005855,0.00038326,0.00037237,0.00037368,0.00021786,0.00021169,0.00021259,0.00012289,0.00012079,0.00012151,6.402e-05,6.348e-05,6.393e-05,6.413e-05,6.092e-05,6.145e-05,0.02029358,0.0197568,0.01974941,-0.00053678,-0.00054416
311.6375,0.00344141,0.00361742,0.00361733,0.00810382,0.00834529,0.00834548,0.00644541,0.00574592,0.00574154,0.0032668,0.00285607,0.00285603,0.00073675,0.00071537,0.00071615,0.00047238,0.00045799,0.00045871,0.00026914,0.00026098,0.00026154,0.0001522,0.00014943,0.00014993,7.946e-05,7.874e-05,7.908e-05,7.991e-05,7.592e-05,7.63e-05,0.02304727,0.02230313,0.0223021,-0.00074414,-0.00074517
335.4125,0.00333633,0.00341386,0.00341356,0.00914986,0.00949233,0.0094837,0.0076655,0.00683956,0.00683142,0.00397687,0.00347107,0.00347125,0.0009084,0.00088089,0.00088243,0.00058497,0.00056637,0.00056775,0.00033425,0.00032369,0.00032469,0.00018955,0.00018599,0.00018688,9.918e-05,9.827e-05,9.885e-05,0.00010015,9.515e-05,9.584e-05,0.02634505,0.02536716,0.02535637,-0.00097789,-0.00098868
359.1875,0.0031951,0.00316433,0.00316402,0.01029036,0.01076496,0.01075122,0.00913462,0.00815809,0.00814682,0.00485197,0.00422781,0.00422787,0.001122,0.00108652,0.00108854,0.00072564,0.00070159,0.00070345,0.00041588,0.00040222,0.00040355,0.00023652,0.00023195,0.00023316,0.00012403,0.00012286,0.00012366,0.00012575,0.00011947,0.00012043,0.03022188,0.0289798,0.02896271,-0.00124208,-0.00125917
382.9625,0.00369151,0.00350001,0.00350024,0.01435811,0.0151841,0.01517582,0.01368626,0.01224074,0.01222804,0.00745622,0.00648431,0.0064832,0.00174542,0.00168698,0.00168876,0.00113354,0.00109395,0.00109574,0.00065153,0.00062905,0.00063043,0.00037159,0.00036411,0.00036549,0.00019527,0.00019336,0.00019431,0.00019872,0.00018879,0.00018995,0.04348818,0.04156541,0.04155199,-0.00192277,-0.00193619
406.7375,0.00408063,0.00361362,0.00361441,0.02040412,0.0219168,0.02191152,0.02146044,0.01925938,0.01924261,0.01205214,0.01046062,0.0104572,0.00285738,0.00275509,0.00275659,0.00186339,0.00179417,0.00179602,0.00107407,0.00103475,0.00103634,0.00061426,0.00060126,0.00060308,0.00032342,0.00032013,0.00032143,0.00033031,0.00031381,0.00031546,0.06506016,0.06206963,0.06205466,-0.00299053,-0.00300551
430.5125,0.00372681,0.00295116,0.00295168,0.02604771,0.02854085,0.02850529,0.03137428,0.02834903,0.02831012,0.0183105,0.01586688,0.01586032,0.0044015,0.00423204,0.00423607,0.00288251,0.0027679,0.00277248,0.00166621,0.00160104,0.00160461,0.00095548,0.00093405,0.00093806,0.00050402,0.00049862,0.00050147,0.00051651,0.00049072,0.00049434,0.09038555,0.08623231,0.08617445,-0.00415324,-0.00421109
454.2875,0.00278524,0.00184545,0.00184527,0.02987784,0.03340337,0.03336462,0.04299238,0.03929562,0.03924112,0.02635762,0.02281884,0.0228083,0.00643465,0.00616754,0.00617294,0.00423268,0.00405188,0.00405827,0.00245376,0.00235074,0.00235576,0.00141088,0.00137714,0.00138303,0.0007456,0.00073714,0.0007414,0.00076655,0.0007283,0.00073379,0.11805722,0.11277602,0.11270449,-0.0052812,-0.00535273
478.0625,0.00169432,0.00085541,0.00085488,0.03083056,0.03489884,0.03489095,0.05536065,0.05147949,0.05142894,0.03613247,0.03128514,0.03127177,0.00897879,0.00857697,0.00858123,0.00593424,0.00566151,0.00566736,0.0034506,0.00329467,0.00329964,0.00198942,0.00193846,0.00194491,0.00105321,0.00104048,0.00104531,0.00108617,0.00103202,0.00103835,0.14651044,0.14006301,0.14002335,-0.00644743,-0.00648709
501.8375,0.00084142,0.0002862,0.00028583,0.0287968,0.03236532,0.03240111,0.06721778,0.06399693,0.06397915,0.0474283,0.04112915,0.04111682,0.01203105,0.01145192,0.01145157,0.00799274,0.00759759,0.00759939,0.00466252,0.0044355,0.00443811,0.00269554,0.00262142,0.00262609,0.00142955,0.0014111,0.00141491,0.00147872,0.00140508,0.0014103,0.17457442,0.16670021,0.16672329,-0.00787421,-0.00785113
525.6125,0.00034409,6.768e-05,6.758e-05,0.0245632,0.02649557,0.02649208,0.07718182,0.07571107,0.07564661,0.05985752,0.05208055,0.05205406,0.0155532,0.01475096,0.01475327,0.0103919,0.00984006,0.00984644,0.00608308,0.00576406,0.00577028,0.00352677,0.00342255,0.00343294,0.00187368,0.00184781,0.00185605,0.0019438,0.00184714,0.00185843,0.20131905,0.19182744,0.19177773,-0.00949161,-0.00954132
