hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_g7,LBLg_g7,PAR_g7,LBL_g8,LBLg_g8,PAR_g8,LBL_g9,LBLg_g9,PAR_g9,LBL_g10,LBLg_g10,PAR_g10,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
0.0713,0.095026,0.095027,0.09502705,0.447498,0.447498,0.44749829,1.835517,1.835519,1.8355192,5.27946,5.27946,5.2794602,4.152251,4.152252,4.1522514,5.489079,5.489079,5.4890789,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49819,114.49819,114.49819,0.0,0.0
0.1,0.095016,0.095017,0.09501702,0.447493,0.447495,0.44749454,1.835515,1.835518,1.8355177,5.279459,5.27946,5.2794598,4.152251,4.152251,4.1522513,5.489079,5.489079,5.4890789,6.543077,6.543077,6.5430773,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49817,114.49818,114.49817,1e-05,0.0
0.1403,0.095001,0.095003,0.09500311,0.447488,0.447489,0.4474892,1.835512,1.835516,1.8355157,5.279458,5.279459,5.2794591,4.152251,4.152251,4.1522512,5.489079,5.489079,5.4890788,6.543077,6.543077,6.5430772,7.734032,7.734032,7.7340325,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49814,114.49815,114.49815,1e-05,1e-05
0.1968,0.094981,0.094984,0.09498385,0.447479,0.447482,0.4474816,1.835507,1.835513,1.8355127,5.279457,5.279458,5.2794582,4.152251,4.152251,4.152251,5.489079,5.489079,5.4890787,6.543077,6.543077,6.5430772,7.734032,7.734032,7.7340324,8.390131,8.390131,8.3901303,74.532116,74.532116,74.532115,114.49811,114.49812,114.49812,1e-05,1e-05
0.276,0.094954,0.094957,0.09495717,0.447468,0.447471,0.44747079,1.8355,1.835509,1.8355085,5.279455,5.279457,5.2794569,4.152251,4.152251,4.1522508,5.489078,5.489079,5.4890786,6.543077,6.543077,6.5430771,7.734032,7.734032,7.7340324,8.390131,8.390131,8.3901302,74.532116,74.532116,74.532115,114.49806,114.49808,114.49808,2e-05,2e-05
0.3871,0.094916,0.09492,0.09492026,0.447451,0.447455,0.44745543,1.835491,1.835503,1.8355025,5.279452,5.279455,5.279455,4.15225,4.152251,4.1522504,5.489078,5.489078,5.4890784,6.543077,6.543077,6.543077,7.734032,7.734032,7.7340323,8.39013,8.39013,8.3901302,74.532116,74.532116,74.532115,114.49799,114.49802,114.49802,3e-05,3e-05
0.5431,0.094863,0.094869,0.09486915,0.447428,0.447434,0.44743357,1.835477,1.835494,1.8354939,5.279447,5.279452,5.2794522,4.152249,4.15225,4.1522499,5.489078,5.489078,5.4890781,6.543077,6.543077,6.5430768,7.734032,7.734032,7.7340322,8.39013,8.39013,8.3901302,74.532116,74.532116,74.532115,114.4979,114.49793,114.49793,3e-05,3e-05
0.7617,0.09479,0.094799,0.09479849,0.447394,0.447403,0.44740259,1.835458,1.835482,1.8354817,5.279441,5.279448,5.2794482,4.152248,4.152249,4.1522492,5.489077,5.489078,5.4890777,6.543076,6.543077,6.5430766,7.734032,7.734032,7.7340321,8.39013,8.39013,8.3901301,74.532116,74.532116,74.532114,114.49776,114.49781,114.49781,5e-05,5e-05
1.0685,0.094689,0.0947,0.09469986,0.447347,0.447359,0.44735895,1.83543,1.835464,1.8354644,5.279432,5.279443,5.2794425,4.152247,4.152248,4.1522481,5.489076,5.489077,5.489077,6.543076,6.543076,6.5430762,7.734032,7.734032,7.7340319,8.39013,8.39013,8.39013,74.532116,74.532116,74.532114,114.49758,114.49765,114.49764,7e-05,6e-05
1.4988,0.094547,0.094562,0.09456122,0.447281,0.447298,0.44729793,1.835392,1.83544,1.8354402,5.279419,5.279435,5.2794346,4.152245,4.152247,4.1522467,5.489075,5.489076,5.4890762,6.543075,6.543076,6.5430757,7.734031,7.734032,7.7340316,8.39013,8.39013,8.3901298,74.532116,74.532116,74.532114,114.49731,114.49741,114.49741,0.0001,0.0001
