hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
2.1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001066,5.6e-05,5.635e-05,0.11636,0.114634,0.11463411,0.459764,0.460385,0.46038521,1.26231,1.26802,1.2680203,2.901444,2.902503,2.9025023,2.929457,2.929597,2.9295973,50.691673,50.691707,50.691706,58.36207,58.3669,58.366901,0.00483,0.004831
2.949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000193,1e-06,1.32e-06,0.082012,0.074324,0.07432445,0.429948,0.430627,0.43062686,1.245133,1.252546,1.2525461,2.898321,2.899812,2.8998121,2.92904,2.929236,2.9292366,50.691629,50.69168,50.691678,58.27628,58.27823,58.278226,0.00195,0.001946
4.1366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9e-05,0.0,0.0,0.051037,0.037084,0.03708405,0.380923,0.380234,0.38023435,1.218758,1.228233,1.2282327,2.893381,2.895457,2.8954565,2.928391,2.928666,2.9286666,50.691566,50.691641,50.691639,58.16409,58.16131,58.161314,-0.00278,-0.002776
5.8025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,0.0,0.028525,0.011774,0.01177397,0.30768,0.301564,0.30156412,1.176618,1.189292,1.1892919,2.885159,2.888177,2.8881769,2.927328,2.927738,2.9277381,50.691471,50.691582,50.69158,58.01678,58.01013,58.010125,-0.00665,-0.006655
8.1392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015708,0.001633,0.00163328,0.214576,0.194503,0.19450348,1.108097,1.125726,1.1257263,2.870883,2.875537,2.8755362,2.925503,2.926167,2.9261677,50.691318,50.691487,50.691485,57.82609,57.81505,57.815052,-0.01104,-0.011038
11.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008811,5e-05,4.995e-05,0.119534,0.085148,0.08514839,0.998954,1.023389,1.0233888,2.845352,2.85327,2.8532699,2.92226,2.923465,2.9234648,50.691062,50.691329,50.691328,57.58597,57.57665,57.57665,-0.00932,-0.00932
16.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004665,0.0,9e-08,0.046558,0.017741,0.01774143,0.838295,0.864429,0.86442891,2.79905,2.813452,2.813452,2.916363,2.918715,2.9187149,50.690622,50.691057,50.691056,57.29555,57.30539,57.305393,0.00984,0.009843
22.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002295,0.0,0.0,0.010296,0.000921,0.00092127,0.635005,0.639884,0.63988355,2.715208,2.742692,2.7426921,2.90548,2.910312,2.9103125,50.689845,50.69058,50.690579,56.95813,56.98439,56.984388,0.02626,0.026258
31.5105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001084,0.0,0.0,0.001205,3e-06,3.48e-06,0.425683,0.371628,0.37162822,2.5666,2.618014,2.6180137,2.88517,2.895202,2.8952026,50.68844,50.689718,50.689716,56.56818,56.57457,56.574564,0.00639,0.006384
44.2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000516,0.0,0.0,0.000159,0.0,0.0,0.250331,0.138159,0.13815922,2.317242,2.404863,2.4048631,2.847182,2.867825,2.8678251,50.685852,50.688132,50.688131,56.10128,56.09898,56.098978,-0.0023,-0.002302
62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000258,0.0,0.0,3.8e-05,0.0,0.0,0.132548,0.022357,0.02235747,1.939853,2.058302,2.0583021,2.777051,2.818007,2.8180072,50.68106,50.685191,50.68519,55.53081,55.58386,55.583857,0.05305,0.053047
85.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014,0.0,0.0,1.3e-05,0.0,0.0,0.074114,0.000913,0.00091336,1.473662,1.568905,1.5689053,2.658185,2.732497,2.7324975,50.672663,50.680016,50.680014,54.87878,54.98233,54.98233,0.10355,0.10355
109.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8e-05,0.0,0.0,7e-06,0.0,0.0,0.052252,1.6e-05,1.606e-05,1.098345,1.114925,1.1149252,2.518301,2.627811,2.6278112,50.662058,50.673457,50.673456,54.33105,54.41621,54.416209,0.08516,0.085159
133.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1e-05,0.0,0.0,4e-06,0.0,0.0,0.041155,0.0,1.2e-07,0.816392,0.739254,0.73925393,2.365853,2.506347,2.5063469,50.649302,50.66552,50.665519,53.87277,53.91112,53.91112,0.03835,0.03835
157.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5e-05,0.0,0.0,2e-06,0.0,0.0,0.034173,0.0,0.0,0.61315,0.458011,0.45801063,2.208902,2.37123,2.3712305,50.634519,50.656271,50.656269,53.49079,53.48551,53.48551,-0.00528,-0.00528
180.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4e-05,0.0,0.0,2e-06,0.0,0.0,0.02923,0.0,0.0,0.470261,0.265596,0.26559591,2.053357,2.225451,2.2254509,50.617738,50.64568,50.645679,53.17062,53.13673,53.136726,-0.03389,-0.033894
204.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6e-05,0.0,0.0,1e-06,0.0,0.0,0.02542,0.0,0.0,0.370485,0.14425,0.14425021,1.90181,2.07113,2.0711305,50.598694,50.633576,50.633574,52.89644,52.84896,52.848955,-0.04748,-0.047485
228.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0,0.0,1e-06,0.0,0.0,0.022308,0.0,0.0,0.300622,0.07306,0.07305995,1.75559,1.909181,1.9091811,50.57706,50.619558,50.619556,52.6556,52.6018,52.601797,-0.0538,-0.053803
252.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6e-05,0.0,0.0,1e-06,0.0,0.0,0.019703,0.0,0.0,0.25163,0.0346,0.03460036,1.616723,1.743247,1.7432467,50.552776,50.603547,50.603546,52.44085,52.38139,52.381393,-0.05946,-0.059457
275.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2e-05,0.0,0.0,0.0,0.0,0.0,0.017491,0.0,0.0,0.216974,0.015315,0.0153154,1.486732,1.576292,1.5762921,50.525874,50.585462,50.58546,52.24708,52.17707,52.177068,-0.07001,-0.070012
