,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
31,19.2394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007035,0.0,0.0,0.00707725,0.00050566,0.00050561,0.13672017,0.17873327,0.17871464,0.09738979,0.08395123,0.08394252,0.01290642,0.00982658,0.00982556,0.00085523,0.00052173,0.00052168,0.25565237,0.27353846,0.27351,0.01788609,0.01785763
32,26.9872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024922,0.0,0.0,0.00085816,1.1e-06,1.1e-06,0.08402472,0.10866377,0.10865244,0.11712092,0.10382855,0.10381779,0.01744164,0.01294029,0.01293895,0.00115273,0.00070264,0.00070257,0.22084739,0.22613636,0.22611286,0.00528897,0.00526547
33,37.8553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.238e-05,0.0,0.0,9.17e-05,0.0,0.0,0.04202971,0.03614165,0.03613789,0.12728459,0.12093226,0.12091972,0.02337376,0.01704952,0.01704775,0.00157854,0.00095713,0.00095703,0.19445068,0.17508056,0.17506239,-0.01937012,-0.01938829
34,53.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51e-05,0.0,0.0,1.135e-05,0.0,0.0,0.01591943,0.00426997,0.00426952,0.11809582,0.12709527,0.12708209,0.03035918,0.02241581,0.02241348,0.00216416,0.00132373,0.00132359,0.16658504,0.15510477,0.15508869,-0.01148027,-0.01149635
35,73.8875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.306e-05,0.0,0.0,2e-06,0.0,0.0,0.0050465,8.979e-05,8.978e-05,0.08960247,0.11079995,0.11078847,0.03692511,0.02873697,0.02873399,0.00292831,0.00181684,0.00181665,0.13451743,0.14144355,0.14142889,0.00692612,0.00691146
36,97.6625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.01e-06,0.0,0.0,5.1e-07,0.0,0.0,0.0020272,1.5e-07,1.5e-07,0.05810883,0.07640789,0.07639996,0.0403547,0.03431074,0.03430718,0.00374611,0.0023492,0.00234896,0.10424236,0.11306798,0.11305625,0.00882562,0.00881389
37,121.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19e-06,0.0,0.0,1.8e-07,0.0,0.0,0.00112445,0.0,0.0,0.03517812,0.04364104,0.04363652,0.04004654,0.03818198,0.03817802,0.00448726,0.00285445,0.00285416,0.08083874,0.08467748,0.08466869,0.00383874,0.00382995
38,145.2125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09e-06,0.0,0.0,8e-08,0.0,0.0,0.0007162,0.0,0.0,0.02050828,0.02105025,0.02104807,0.03729176,0.04033094,0.04032676,0.00515174,0.00332803,0.00332768,0.06366915,0.06470922,0.0647025,0.00104007,0.00103335
39,168.9875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-07,0.0,0.0,4e-08,0.0,0.0,0.00049248,0.0,0.0,0.01186107,0.00867469,0.00867379,0.03338194,0.04084015,0.04083591,0.0057506,0.00377961,0.00377921,0.05148673,0.05329445,0.05328892,0.00180772,0.00180219
40,192.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7e-07,0.0,0.0,2e-08,0.0,0.0,0.00035747,0.0,0.0,0.00702288,0.00309008,0.00308976,0.02920252,0.03997914,0.03997499,0.00628461,0.00421652,0.00421609,0.04286787,0.04728574,0.04728084,0.00441787,0.00441297
