,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
30,13.7158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.922e-05,0.0,0.0,0.01774306,0.0065329,0.00653223,0.17564548,0.20637288,0.20635167,0.18740891,0.16922982,0.16921231,0.04293692,0.03651802,0.03651423,0.00531633,0.00426062,0.00426018,0.00038895,0.00015963,0.00015962,0.42945886,0.42307387,0.42303023,-0.00638499,-0.00642863
31,19.2394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21e-06,0.0,0.0,0.00880415,0.00020701,0.00020699,0.09803688,0.09575928,0.09574942,0.20024054,0.19184085,0.191821,0.05658683,0.04677211,0.04676726,0.0070282,0.00538736,0.00538681,0.00049092,0.00020014,0.00020012,0.37118974,0.34016675,0.3401316,-0.03102299,-0.03105814
32,26.9872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4e-07,0.0,0.0,0.00423365,4.4e-07,4.4e-07,0.03622324,0.01903084,0.01902888,0.18299523,0.20078232,0.20076155,0.07395751,0.05967949,0.0596733,0.00936463,0.00689282,0.0068921,0.00062882,0.00025568,0.00025566,0.30740331,0.28664158,0.28661193,-0.02076173,-0.02079138
33,37.8553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-08,0.0,0.0,0.00187679,0.0,0.0,0.00737414,0.00089769,0.00089759,0.13569916,0.17939194,0.17937339,0.0939838,0.07478875,0.074781,0.01250062,0.0088477,0.00884679,0.00081238,0.00032782,0.00032779,0.25224692,0.26425391,0.26422656,0.01200699,0.01197964
34,53.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00077125,0.0,0.0,0.00092748,3.69e-06,3.69e-06,0.08148382,0.12067187,0.12065939,0.11228036,0.09174208,0.09173257,0.01649275,0.01140571,0.01140453,0.00104007,0.00042063,0.00042058,0.21299574,0.22424398,0.22422077,0.01124824,0.01122503
35,73.8875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031517,0.0,0.0,0.00015386,0.0,0.0,0.0405448,0.04970318,0.04969803,0.12065403,0.10797762,0.10796643,0.02120599,0.01463609,0.01463458,0.00131372,0.0005355,0.00053544,0.18418757,0.17285239,0.17283449,-0.01133518,-0.01135308
36,97.6625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015737,0.0,0.0,4.741e-05,0.0,0.0,0.01932699,0.01134837,0.01134719,0.1148685,0.11734182,0.11732966,0.02583797,0.01813025,0.01812837,0.00162861,0.00066516,0.00066509,0.16186686,0.1474856,0.14747032,-0.01438126,-0.01439654
37,121.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010524,0.0,0.0,2.545e-05,0.0,0.0,0.01095897,0.00165318,0.00165301,0.10225453,0.11817453,0.11816228,0.03011035,0.02181031,0.02180805,0.00201683,0.00082643,0.00082635,0.14547137,0.14246444,0.14244968,-0.00300693,-0.00302169
38,145.2125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.192e-05,0.0,0.0,1.709e-05,0.0,0.0,0.00711413,0.00015521,0.00015519,0.08820695,0.11156471,0.11155315,0.03402049,0.02559584,0.02559319,0.00248456,0.00102095,0.00102084,0.13192514,0.13833671,0.13832237,0.00641157,0.00639723
39,168.9875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.542e-05,0.0,0.0,1.17e-05,0.0,0.0,0.00489187,9.47e-06,9.46e-06,0.07392497,0.09909797,0.09908769,0.03710084,0.02905575,0.02905275,0.00297492,0.00122217,0.00122204,0.11896972,0.12938536,0.12937195,0.01041564,0.01040223
40,192.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.277e-05,0.0,0.0,8.14e-06,0.0,0.0,0.00358478,3.8e-07,3.8e-07,0.06051915,0.08361054,0.08360187,0.03932786,0.03221669,0.03221336,0.00348418,0.00143588,0.00143573,0.10697687,0.1172635,0.11725135,0.01028663,0.01027448
41,216.5375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.283e-05,0.0,0.0,5.74e-06,0.0,0.0,0.00278909,1e-08,1e-08,0.04861936,0.06758714,0.06758014,0.0407216,0.03522851,0.03522487,0.00400916,0.00167384,0.00167367,0.09618777,0.10448951,0.10447869,0.00830174,0.00829092
42,240.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.493e-05,0.0,0.0,4.09e-06,0.0,0.0,0.00226921,0.0,0.0,0.03846379,0.05200852,0.05200312,0.04130981,0.03771813,0.03771423,0.00454361,0.00191702,0.00191682,0.08662544,0.09164367,0.09163417,0.00501823,0.00500874
43,264.0875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.863e-05,0.0,0.0,2.94e-06,0.0,0.0,0.00190214,0.0,0.0,0.03009333,0.03838976,0.03838578,0.04119873,0.03982919,0.03982507,0.00508613,0.00216921,0.00216899,0.0783119,0.08038817,0.08037984,0.00207627,0.00206794
44,287.8625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.354e-05,0.0,0.0,2.13e-06,0.0,0.0,0.00162509,0.0,0.0,0.02336357,0.02719806,0.02719524,0.04049073,0.04151228,0.04150799,0.00563346,0.00243091,0.00243065,0.07113852,0.07114124,0.07113388,2.72e-06,-4.64e-06
45,311.6375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.938e-05,0.0,0.0,1.54e-06,0.0,0.0,0.00140622,0.0,0.0,0.01806213,0.01845411,0.0184522,0.039295,0.0425643,0.0425599,0.00618193,0.00269244,0.00269216,0.06496621,0.06371084,0.06370425,-0.00125537,-0.00126196
46,335.4125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.595e-05,0.0,0.0,1.12e-06,0.0,0.0,0.00122822,0.0,0.0,0.01395944,0.01210911,0.01210785,0.03772338,0.04336054,0.04335606,0.00672782,0.00296642,0.00296611,0.05965592,0.05843607,0.05843002,-0.00121985,-0.0012259
47,359.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.311e-05,0.0,0.0,8.1e-07,0.0,0.0,0.00108062,0.0,0.0,0.01083356,0.00764237,0.00764158,0.03588332,0.04366223,0.04365771,0.00726738,0.00324886,0.00324853,0.05507881,0.05455346,0.05454781,-0.00052535,-0.000531
48,382.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.077e-05,0.0,0.0,5.9e-07,0.0,0.0,0.00095634,0.0,0.0,0.00848166,0.00464242,0.00464194,0.03386601,0.04344048,0.04343599,0.00779544,0.00353544,0.00353507,0.05111081,0.05161834,0.051613,0.00050753,0.00050219
