hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
0.5431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001651,0.00018,0.00017955,0.041421,0.041299,0.04129862,0.125835,0.125852,0.12585213,0.330436,0.331409,0.33140938,0.751621,0.751773,0.75177318,0.758248,0.758267,0.75826708,13.119017,13.119023,13.119023,15.12823,15.1278,15.127803,-0.00043,-0.000427
0.7617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000537,1.1e-05,1.098e-05,0.033204,0.03157,0.03157016,0.123001,0.123003,0.12300336,0.327333,0.328802,0.32880236,0.75109,0.751349,0.75134925,0.758175,0.758209,0.75820936,13.119008,13.11902,13.11902,15.11235,15.11197,15.111965,-0.00038,-0.000385
1.0685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7e-05,0.0,1.3e-07,0.023943,0.020259,0.02025927,0.117925,0.117808,0.11780771,0.32242,0.324484,0.32448382,0.750184,0.75062,0.75061955,0.758049,0.758108,0.75810782,13.118993,13.119013,13.119013,15.09161,15.09029,15.090292,-0.00132,-0.001318
1.4988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0,0.0,0.015023,0.010074,0.01007425,0.109423,0.108931,0.10893093,0.31532,0.317877,0.31787679,0.748782,0.749472,0.74947188,0.757853,0.757948,0.75794802,13.11897,13.119003,13.119004,15.06538,15.06331,15.063305,-0.00207,-0.002075
2.1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007766,0.003435,0.00343451,0.096078,0.094528,0.0945281,0.305542,0.308188,0.30818789,0.746742,0.747738,0.74773801,0.757571,0.75771,0.75771003,13.118938,13.11899,13.11899,15.03264,15.03059,15.030589,-0.00205,-0.002051
2.949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003098,0.000644,0.00064378,0.076819,0.073017,0.07301752,0.291626,0.293907,0.29390763,0.743689,0.745064,0.74506361,0.757154,0.75735,0.75734969,13.118894,13.118972,13.118972,14.99128,14.98895,14.988954,-0.00233,-0.002326
4.1366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001013,4.4e-05,4.386e-05,0.052864,0.045142,0.04514188,0.271007,0.272468,0.27246867,0.73888,0.740749,0.7407487,0.756507,0.756781,0.75678037,13.118831,13.118946,13.118946,14.9391,14.93413,14.934129,-0.00497,-0.004971
5.8025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000332,1e-06,5.2e-07,0.028813,0.018433,0.01843257,0.240231,0.240575,0.24057522,0.730926,0.733579,0.73357852,0.755448,0.755854,0.75585368,13.118736,13.118906,13.118907,14.87449,14.86735,14.867347,-0.00714,-0.007143
8.1392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7e-05,0.0,0.0,0.010702,0.003386,0.00338596,0.19674,0.194569,0.1945687,0.71729,0.72125,0.72125009,0.753633,0.754288,0.75428835,13.118583,13.118843,13.118843,14.79704,14.79234,14.792336,-0.0047,-0.004704
11.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2e-05,0.0,0.0,0.002032,0.000139,0.00013915,0.143111,0.134628,0.13462765,0.693523,0.699908,0.69990825,0.750417,0.7516,0.75159974,13.118327,13.118738,13.118738,14.70743,14.70501,14.705013,-0.00242,-0.002417
