hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_g7,LBLg_g7,LBLk_g7,LBL_g8,LBLg_g8,LBLk_g8,LBL_g9,LBLg_g9,LBLk_g9,LBL_g10,LBLg_g10,LBLk_g10,LBL_tot,LBLg_tot,LBLk_tot
0.0221,0.00383327,0.00369361,0.00369357,0.00143401,0.00132551,0.00132441,0.00082382,0.000515,0.00051507,0.00023309,0.00014765,0.00014781,3.583e-05,2.565e-05,2.572e-05,1.951e-05,1.425e-05,1.43e-05,1.013e-05,7.52e-06,7.56e-06,5.12e-06,4.36e-06,4.39e-06,2.32e-06,2.16e-06,2.18e-06,1.88e-06,1.8e-06,1.82e-06,0.00639898,0.00573751,0.00573682
0.031,0.00382916,0.00368993,0.00368991,0.00143592,0.00132732,0.00132621,0.00082474,0.00051571,0.00051577,0.00023375,0.00014809,0.00014824,3.594e-05,2.574e-05,2.581e-05,1.959e-05,1.431e-05,1.436e-05,1.018e-05,7.56e-06,7.6e-06,5.15e-06,4.38e-06,4.41e-06,2.33e-06,2.17e-06,2.19e-06,1.9e-06,1.81e-06,1.83e-06,0.00639868,0.00573701,0.00573633
0.0435,0.00382468,0.00368596,0.00368596,0.00143796,0.00132925,0.00132817,0.00082574,0.00051648,0.00051654,0.00023446,0.00014856,0.0001487,3.607e-05,2.584e-05,2.59e-05,1.968e-05,1.438e-05,1.443e-05,1.023e-05,7.6e-06,7.63e-06,5.17e-06,4.4e-06,4.43e-06,2.35e-06,2.18e-06,2.2e-06,1.91e-06,1.82e-06,1.85e-06,0.00639826,0.00573647,0.00573581
0.0611,0.00381212,0.00367454,0.00367457,0.0014439,0.00133485,0.00133377,0.00082867,0.00051868,0.00051873,0.00023653,0.00014991,0.00015005,3.644e-05,2.612e-05,2.618e-05,1.994e-05,1.457e-05,1.461e-05,1.039e-05,7.71e-06,7.75e-06,5.25e-06,4.47e-06,4.5e-06,2.39e-06,2.22e-06,2.24e-06,1.95e-06,1.86e-06,1.88e-06,0.00639759,0.00573492,0.00573428
0.0856,0.00377901,0.00364403,0.00364412,0.0014597,0.00134967,0.00134853,0.00083664,0.00052454,0.00052458,0.00024218,0.00015353,0.00015368,3.746e-05,2.687e-05,2.693e-05,2.065e-05,1.508e-05,1.513e-05,1.083e-05,8.03e-06,8.07e-06,5.48e-06,4.66e-06,4.69e-06,2.5e-06,2.33e-06,2.35e-06,2.07e-06,1.97e-06,1.99e-06,0.00639652,0.00573071,0.00573007
0.1201,0.0037314,0.00360007,0.00360023,0.00148188,0.00137046,0.00136924,0.00084838,0.000533,0.00053303,0.00025054,0.00015884,0.00015899,3.899e-05,2.799e-05,2.805e-05,2.173e-05,1.585e-05,1.591e-05,1.15e-05,8.51e-06,8.56e-06,5.83e-06,4.95e-06,4.99e-06,2.68e-06,2.49e-06,2.51e-06,2.25e-06,2.13e-06,2.16e-06,0.00639516,0.00572431,0.00572366
0.1685,0.00368125,0.00355384,0.00355405,0.00150435,0.00139156,0.0013904,0.00086103,0.00054195,0.00054197,0.0002596,0.00016453,0.00016466,4.069e-05,2.92e-05,2.926e-05,2.294e-05,1.67e-05,1.675e-05,1.225e-05,9.05e-06,9.09e-06,6.22e-06,5.28e-06,5.31e-06,2.88e-06,2.67e-06,2.7e-06,2.45e-06,2.33e-06,2.36e-06,0.00639366,0.00571712,0.00571655
0.2364,0.00362938,0.00350616,0.00350638,0.0015266,0.00141247,0.00141153,0.00087435,0.00055124,0.00055124,0.00026923,0.00017052,0.00017063,4.254e-05,3.051e-05,3.055e-05,2.426e-05,1.761e-05,1.765e-05,1.309e-05,9.63e-06,9.66e-06,6.67e-06,5.65e-06,5.67e-06,3.11e-06,2.88e-06,2.9e-06,2.69e-06,2.56e-06,2.58e-06,0.00639192,0.00570922,0.00570879
0.3315,0.00357569,0.003457,0.00345714,0.00154852,0.00143311,0.00143258,0.00088834,0.00056087,0.00056087,0.00027948,0.00017684,0.00017691,4.456e-05,3.19e-05,3.193e-05,2.572e-05,1.86e-05,1.863e-05,1.402e-05,1.026e-05,1.028e-05,7.16e-06,6.05e-06,6.07e-06,3.37e-06,3.12e-06,3.13e-06,2.96e-06,2.81e-06,2.83e-06,0.00638983,0.00570058,0.00570036
0.4651,0.00352006,0.00340631,0.00340638,0.00156999,0.00145341,0.00145323,0.00090301,0.00057088,0.00057088,0.00029036,0.00018352,0.00018355,4.677e-05,3.34e-05,3.341e-05,2.733e-05,1.967e-05,1.968e-05,1.506e-05,1.096e-05,1.096e-05,7.72e-06,6.5e-06,6.51e-06,3.66e-06,3.38e-06,3.38e-06,3.27e-06,3.11e-06,3.12e-06,0.00638723,0.00569116,0.00569111
0.6524,0.0034626,0.00335432,0.00335474,0.0015908,0.00147318,0.00147221,0.00091825,0.00058124,0.00058119,0.00030186,0.00019056,0.00019066,4.916e-05,3.501e-05,3.506e-05,2.909e-05,2.083e-05,2.088e-05,1.621e-05,1.171e-05,1.175e-05,8.35e-06,7e-06,7.04e-06,3.98e-06,3.67e-06,3.69e-06,3.63e-06,3.45e-06,3.49e-06,0.00638392,0.00568098,0.00568071
0.9151,0.00341425,0.00331151,0.00331207,0.00160673,0.00148855,0.00148723,0.00093075,0.00058989,0.00058984,0.00031147,0.00019651,0.00019665,5.121e-05,3.639e-05,3.646e-05,3.061e-05,2.183e-05,2.19e-05,1.721e-05,1.237e-05,1.242e-05,8.9e-06,7.44e-06,7.49e-06,4.27e-06,3.93e-06,3.96e-06,3.95e-06,3.76e-06,3.81e-06,0.00637937,0.00567218,0.00567183
1.2836,0.00340203,0.00330381,0.00330426,0.00160825,0.00149064,0.00148958,0.00093226,0.00059176,0.00059171,0.00031274,0.00019766,0.00019777,5.151e-05,3.666e-05,3.671e-05,3.082e-05,2.202e-05,2.207e-05,1.734e-05,1.248e-05,1.252e-05,8.98e-06,7.51e-06,7.55e-06,4.31e-06,3.97e-06,3.99e-06,4e-06,3.8e-06,3.84e-06,0.00637223,0.00567031,0.00567001
1.8006,0.00342145,0.00332775,0.0033281,0.00159673,0.00148085,0.00147984,0.00092366,0.00058755,0.00058755,0.00030631,0.00019446,0.00019459,5.017e-05,3.591e-05,3.597e-05,2.981e-05,2.145e-05,2.15e-05,1.666e-05,1.209e-05,1.213e-05,8.61e-06,7.24e-06,7.27e-06,4.12e-06,3.8e-06,3.83e-06,3.78e-06,3.59e-06,3.63e-06,0.00636128,0.0056747,0.00567441
2.5257,0.00344437,0.00335758,0.00335798,0.0015815,0.00146798,0.00146686,0.00091285,0.00058241,0.00058238,0.00029835,0.00019057,0.00019069,4.855e-05,3.502e-05,3.507e-05,2.859e-05,2.077e-05,2.082e-05,1.585e-05,1.163e-05,1.167e-05,8.17e-06,6.91e-06,6.95e-06,3.89e-06,3.6e-06,3.63e-06,3.53e-06,3.35e-06,3.39e-06,0.00634565,0.00567982,0.00567942
