hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_g7,LBLg_g7,LBLk_g7,LBL_g8,LBLg_g8,LBLk_g8,LBL_g9,LBLg_g9,LBLk_g9,LBL_g10,LBLg_g10,LBLk_g10,LBL_tot,LBLg_tot,LBLk_tot
0.0003,0.00387303,0.00373027,0.00373007,0.00141429,0.00130701,0.00130602,0.00081454,0.000508,0.00050812,0.00022656,0.00014338,0.00014356,3.469e-05,2.479e-05,2.485e-05,1.872e-05,1.366e-05,1.371e-05,9.65e-06,7.16e-06,7.2e-06,4.87e-06,4.15e-06,4.18e-06,2.21e-06,2.04e-06,2.06e-06,1.76e-06,1.68e-06,1.7e-06,0.00640033,0.00574214,0.00574148
0.0008,0.00387135,0.00372872,0.00372853,0.00141513,0.0013078,0.0013068,0.00081493,0.0005083,0.00050842,0.00022681,0.00014356,0.00014374,3.473e-05,2.482e-05,2.489e-05,1.875e-05,1.368e-05,1.374e-05,9.66e-06,7.17e-06,7.21e-06,4.9e-06,4.15e-06,4.18e-06,2.2e-06,2.05e-06,2.07e-06,1.75e-06,1.69e-06,1.71e-06,0.00640022,0.00574195,0.00574128
0.0011,0.00386782,0.00372544,0.00372525,0.00141692,0.00130948,0.00130847,0.00081575,0.00050892,0.00050904,0.0002274,0.00014394,0.00014412,3.483e-05,2.49e-05,2.497e-05,1.882e-05,1.374e-05,1.379e-05,9.71e-06,7.2e-06,7.24e-06,4.9e-06,4.17e-06,4.2e-06,2.21e-06,2.06e-06,2.08e-06,1.77e-06,1.7e-06,1.72e-06,0.00640014,0.00574155,0.00574087
0.0015,0.00386406,0.00372196,0.00372177,0.00141882,0.00131125,0.00131024,0.00081663,0.00050958,0.0005097,0.00022801,0.00014434,0.00014452,3.494e-05,2.498e-05,2.505e-05,1.889e-05,1.379e-05,1.384e-05,9.75e-06,7.24e-06,7.28e-06,4.93e-06,4.19e-06,4.22e-06,2.23e-06,2.07e-06,2.09e-06,1.79e-06,1.71e-06,1.73e-06,0.00640006,0.00574112,0.00574044
0.0021,0.00386029,0.00371846,0.00371828,0.00142072,0.00131303,0.00131201,0.00081751,0.00051025,0.00051036,0.00022864,0.00014475,0.00014492,3.504e-05,2.506e-05,2.513e-05,1.897e-05,1.385e-05,1.39e-05,9.8e-06,7.27e-06,7.31e-06,4.95e-06,4.21e-06,4.24e-06,2.24e-06,2.08e-06,2.1e-06,1.81e-06,1.72e-06,1.74e-06,0.00639996,0.00574068,0.00574
0.0029,0.00385649,0.00371495,0.00371479,0.00142261,0.00131481,0.00131378,0.0008184,0.00051091,0.00051102,0.00022926,0.00014516,0.00014533,3.515e-05,2.515e-05,2.521e-05,1.904e-05,1.39e-05,1.396e-05,9.84e-06,7.31e-06,7.35e-06,4.97e-06,4.23e-06,4.26e-06,2.25e-06,2.09e-06,2.11e-06,1.8e-06,1.73e-06,1.75e-06,0.00639982,0.00574024,0.00573955
0.0041,0.00385267,0.00371143,0.00371127,0.00142451,0.00131659,0.00131556,0.00081929,0.00051158,0.00051169,0.00022989,0.00014556,0.00014573,3.526e-05,2.523e-05,2.529e-05,1.912e-05,1.396e-05,1.401e-05,9.89e-06,7.34e-06,7.38e-06,5e-06,4.25e-06,4.28e-06,2.26e-06,2.1e-06,2.12e-06,1.79e-06,1.74e-06,1.76e-06,0.00639968,0.00573979,0.0057391
0.0057,0.00384881,0.00370789,0.00370775,0.0014264,0.00131836,0.00131734,0.00082018,0.00051226,0.00051235,0.00023052,0.00014598,0.00014614,3.537e-05,2.531e-05,2.538e-05,1.92e-05,1.402e-05,1.407e-05,9.94e-06,7.38e-06,7.42e-06,5.02e-06,4.27e-06,4.3e-06,2.27e-06,2.11e-06,2.13e-06,1.84e-06,1.75e-06,1.77e-06,0.00639955,0.00573933,0.00573864
0.008,0.0038449,0.00370433,0.0037042,0.0014283,0.00132015,0.00131912,0.00082108,0.00051293,0.00051302,0.00023116,0.00014639,0.00014654,3.549e-05,2.54e-05,2.546e-05,1.928e-05,1.407e-05,1.412e-05,9.98e-06,7.41e-06,7.45e-06,5.05e-06,4.29e-06,4.32e-06,2.28e-06,2.12e-06,2.14e-06,1.83e-06,1.76e-06,1.78e-06,0.00639934,0.00573885,0.00573817
0.0112,0.00384093,0.00370073,0.00370063,0.00143019,0.00132193,0.00132089,0.00082199,0.00051362,0.00051369,0.0002318,0.00014681,0.00014696,3.56e-05,2.548e-05,2.554e-05,1.935e-05,1.413e-05,1.418e-05,1.003e-05,7.45e-06,7.48e-06,5.07e-06,4.31e-06,4.34e-06,2.3e-06,2.13e-06,2.15e-06,1.86e-06,1.77e-06,1.8e-06,0.00639911,0.00573837,0.00573767
0.0158,0.00383688,0.0036971,0.00369702,0.00143209,0.00132372,0.00132263,0.0008229,0.00051431,0.00051438,0.00023244,0.00014723,0.00014738,3.571e-05,2.557e-05,2.563e-05,1.943e-05,1.419e-05,1.424e-05,1.008e-05,7.48e-06,7.52e-06,5.09e-06,4.34e-06,4.37e-06,2.31e-06,2.15e-06,2.16e-06,1.87e-06,1.78e-06,1.81e-06,0.0063988,0.00573786,0.00573714
0.0221,0.0038327,0.00369342,0.00369336,0.00143398,0.00132551,0.0013244,0.00082381,0.000515,0.00051507,0.00023309,0.00014765,0.00014781,3.583e-05,2.565e-05,2.572e-05,1.951e-05,1.425e-05,1.43e-05,1.013e-05,7.52e-06,7.56e-06,5.12e-06,4.36e-06,4.39e-06,2.32e-06,2.16e-06,2.18e-06,1.88e-06,1.8e-06,1.82e-06,0.00639838,0.00573732,0.00573661
0.031,0.00382837,0.00368967,0.00368964,0.00143588,0.00132731,0.0013262,0.00082474,0.00051571,0.00051577,0.00023375,0.00014809,0.00014824,3.594e-05,2.574e-05,2.581e-05,1.959e-05,1.431e-05,1.436e-05,1.018e-05,7.56e-06,7.6e-06,5.15e-06,4.38e-06,4.41e-06,2.34e-06,2.17e-06,2.19e-06,1.9e-06,1.81e-06,1.83e-06,0.00639783,0.00573675,0.00573604
0.0435,0.00382357,0.0036856,0.00368558,0.0014379,0.00132924,0.00132816,0.00082574,0.00051648,0.00051654,0.00023446,0.00014856,0.0001487,3.607e-05,2.584e-05,2.59e-05,1.968e-05,1.438e-05,1.443e-05,1.023e-05,7.6e-06,7.63e-06,5.17e-06,4.4e-06,4.43e-06,2.35e-06,2.18e-06,2.2e-06,1.91e-06,1.82e-06,1.85e-06,0.00639708,0.0057361,0.00573542
0.0611,0.00381057,0.00367404,0.00367405,0.00144382,0.00133483,0.00133376,0.00082866,0.00051868,0.00051873,0.00023653,0.00014991,0.00015005,3.644e-05,2.612e-05,2.618e-05,1.994e-05,1.457e-05,1.461e-05,1.039e-05,7.71e-06,7.75e-06,5.25e-06,4.47e-06,4.5e-06,2.39e-06,2.22e-06,2.24e-06,1.95e-06,1.86e-06,1.88e-06,0.00639596,0.00573441,0.00573375
0.0856,0.00377689,0.00364334,0.00364341,0.00145959,0.00134965,0.0013485,0.00083663,0.00052453,0.00052457,0.00024218,0.00015353,0.00015368,3.745e-05,2.687e-05,2.693e-05,2.065e-05,1.508e-05,1.513e-05,1.083e-05,8.03e-06,8.07e-06,5.48e-06,4.66e-06,4.69e-06,2.5e-06,2.33e-06,2.35e-06,2.07e-06,1.97e-06,1.99e-06,0.00639427,0.00573,0.00572933
