hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_g7,LBLg_g7,LBLk_g7,LBL_g8,LBLg_g8,LBLk_g8,LBL_g9,LBLg_g9,LBLk_g9,LBL_g10,LBLg_g10,LBLk_g10,LBL_tot,LBLg_tot,LBLk_tot
680.15,0.0,0.0,0.0,0.014016,0.000742,0.000752,1.163542,1.084115,1.08633,7.838407,8.090959,8.093221,7.351389,7.390989,7.391401,10.147452,10.176267,10.176382,12.37027,12.387511,12.387488,14.78374,14.789455,14.789161,16.125153,16.126572,16.126297,143.907301,143.911656,143.911242,213.70127,213.95827,213.96228
703.925,0.0,0.0,0.0,0.008983,0.000226,0.00023,0.994553,0.878108,0.88026,7.478821,7.749412,7.752004,7.227027,7.275408,7.275922,10.059018,10.09486,10.095018,12.31667,12.338334,12.338321,14.751915,14.759128,14.758769,16.108015,16.109808,16.109468,143.889179,143.894413,143.893896,212.83418,213.0997,213.10389
727.7,0.0,0.0,0.0,0.005775,6.4e-05,6.5e-05,0.848989,0.700508,0.70253,7.114915,7.396517,7.399418,7.093926,7.151863,7.152483,9.963181,10.006955,10.007158,12.258192,12.284936,12.284935,14.717052,14.725998,14.725569,16.0892,16.091426,16.091015,143.86923,143.875426,143.874795,211.96046,212.23369,212.23797
751.475,0.0,0.0,0.0,0.003731,1.7e-05,1.7e-05,0.725376,0.551503,0.553325,6.753058,7.037866,7.041025,6.953639,7.021745,7.022468,9.860818,9.913378,9.913629,12.195286,12.227763,12.227776,14.679388,14.690306,14.689811,16.068827,16.071547,16.071067,143.847572,143.854805,143.854063,211.08769,211.36893,211.37318
775.25,0.0,0.0,0.0,0.002426,4e-06,4e-06,0.621471,0.429409,0.43098,6.398683,6.678653,6.681997,6.807788,6.886491,6.88731,9.75289,9.815018,9.815321,12.128459,12.167304,12.167335,14.639197,14.652327,14.651779,16.047037,16.050312,16.049775,143.824346,143.832683,143.831847,210.2223,210.5122,210.51635
799.025,0.0,0.0,0.0,0.001591,1e-06,1e-06,0.534756,0.331412,0.332706,6.056305,6.323655,6.327093,6.658065,6.747596,6.748499,9.640455,9.71284,9.713198,12.05829,12.104106,12.10416,14.596803,14.612374,14.611797,16.023997,16.027888,16.027314,143.799722,143.809221,143.80832,209.36998,209.66909,209.67309
822.8,0.0,0.0,0.0,0.001055,0.0,0.0,0.462685,0.254108,0.255176,5.729333,5.976944,5.980456,6.506112,6.606504,6.607489,9.524587,9.607811,9.60822,11.985387,12.038729,12.038804,14.552548,14.570779,14.57016,15.999886,16.004452,16.003828,143.773885,143.784594,143.783607,208.53548,208.84392,208.84774
846.575,0.0,0.0,0.0,0.000708,0.0,0.0,0.40288,0.193987,0.194879,5.420131,5.64184,5.645425,6.353469,6.464574,6.465642,9.406346,9.500877,9.501333,11.910363,11.971733,11.971824,14.506786,14.527882,14.527197,15.974892,15.980186,15.979492,143.747032,143.758986,143.757879,207.72261,208.04007,208.04367
870.35,0.0,0.0,0.0,0.000482,0.0,0.0,0.353292,0.147801,0.148548,5.130502,5.321297,5.324939,6.201727,6.323224,6.324369,9.286899,9.393077,9.393573,11.833923,11.903753,11.903855,14.459933,14.484077,14.48331,15.949239,15.955311,15.954532,143.719399,143.732623,143.731373,206.9354,207.26116,207.2645
894.125,0.0,0.0,0.0,0.000334,0.0,0.0,0.312096,0.112612,0.113234,4.861084,5.017129,5.020801,6.052124,6.183563,6.184778,9.167208,9.285263,9.285793,11.756666,11.835324,11.835432,14.412353,14.439705,14.438851,15.923123,15.930019,15.929149,143.691197,143.705704,143.704303,206.17619,206.50932,206.51234
917.9,0.0,0.0,0.0,0.000236,0.0,0.0,0.277968,0.086099,0.086614,4.613431,4.73226,4.735931,5.906635,6.047412,6.048686,9.0489,9.178886,9.179444,11.679649,11.767379,11.767492,14.364697,14.395375,14.394436,15.896904,15.904656,15.903699,143.662815,143.678601,143.677053,205.45124,205.79067,205.79336
941.675,0.0,0.0,0.0,0.00017,0.0,0.0,0.24976,0.06629,0.066713,4.388393,4.46889,4.472525,5.767095,5.916486,5.917803,8.933586,9.075379,9.07596,11.603949,11.700859,11.700974,14.317643,14.351715,14.350701,15.870956,15.879586,15.878552,143.634663,143.651704,143.650026,204.76621,205.11091,205.11325
965.45,0.0,0.0,0.0,0.000125,0.0,0.0,0.226187,0.051393,0.051736,4.183486,4.225234,4.2288,5.633324,5.790624,5.79197,8.821269,8.974725,8.975323,11.529607,11.635786,11.635904,14.271228,14.308754,14.307683,15.845304,15.85483,15.853736,143.606769,143.625041,143.62326,204.1173,204.46639,204.46841
989.225,0.0,0.0,0.0,9.4e-05,0.0,0.0,0.206275,0.040109,0.040385,3.996413,3.999507,4.002975,5.505054,5.669577,5.670939,8.711867,8.876827,8.87744,11.456603,11.572125,11.572246,14.225448,14.266485,14.265377,15.819948,15.830389,15.829254,143.579137,143.598617,143.596766,203.50084,203.85363,203.85538
1013.0,0.0,0.0,0.0,7.2e-05,0.0,0.0,0.189292,0.031503,0.031724,3.825194,3.790109,3.793454,5.382031,5.553111,5.554475,8.605299,8.78159,8.782215,11.384913,11.509839,11.509965,14.1803,14.224896,14.223774,15.794887,15.806259,15.805107,143.551768,143.572431,143.570548,202.91376,203.26974,203.27126
