hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_g7,LBLg_g7,LBLk_g7,LBL_g8,LBLg_g8,LBLk_g8,LBL_g9,LBLg_g9,LBLk_g9,LBL_g10,LBLg_g10,LBLk_g10,LBL_tot,LBLg_tot,LBLk_tot
216.5375,0.00345062,0.00380491,0.00380289,0.00578746,0.0059206,0.00591579,0.00409471,0.00364598,0.00364362,0.00190203,0.00167878,0.00167995,0.00040473,0.00039582,0.0003968,0.00025566,0.00025017,0.00025093,0.00014494,0.00014194,0.00014243,8.134e-05,8.033e-05,8.069e-05,4.21e-05,4.185e-05,4.207e-05,4.174e-05,3.965e-05,3.99e-05,0.01620533,0.01600003,0.01599505
240.3125,0.00494785,0.00517283,0.00517317,0.0112424,0.01169483,0.01168657,0.00864578,0.00777128,0.00776331,0.00416414,0.00368755,0.0036874,0.00090199,0.00088492,0.00088616,0.00057359,0.00056274,0.00056381,0.00032681,0.00032078,0.00032154,0.00018425,0.00018221,0.00018286,9.574e-05,9.522e-05,9.564e-05,9.553e-05,9.076e-05,9.126e-05,0.03117808,0.03046312,0.03045171
264.0875,0.00504269,0.00462227,0.00462581,0.01828395,0.01954231,0.0195237,0.01621989,0.01474025,0.01471831,0.00816407,0.00724847,0.00724556,0.00180105,0.00177032,0.00177249,0.00115259,0.0011325,0.00113457,0.00065977,0.00064845,0.00064999,0.0003736,0.00036976,0.00037119,0.00019482,0.00019383,0.00019478,0.00019554,0.00018577,0.00018695,0.05208795,0.05045393,0.05042334
287.8625,0.00344517,0.00237092,0.00237519,0.02463622,0.02720024,0.02717199,0.02740514,0.02528023,0.02523621,0.01462891,0.01302153,0.01301648,0.00329262,0.00323918,0.00324426,0.00212041,0.00208467,0.00208943,0.00121924,0.00119886,0.00120232,0.00069333,0.00068642,0.00068961,0.00036274,0.00036093,0.00036307,0.00036603,0.00034775,0.0003504,0.07816981,0.07579073,0.07573897
311.6375,0.00145887,0.00058839,0.00059088,0.02714617,0.03051537,0.0305204,0.04192441,0.03951969,0.03946732,0.02429308,0.02169559,0.02167357,0.00559786,0.0055068,0.00550591,0.00362876,0.0035668,0.00356763,0.00209603,0.00206032,0.00206174,0.00119691,0.0011848,0.00118725,0.00062813,0.00062495,0.00062689,0.00063699,0.00060521,0.00060789,0.10860721,0.10586792,0.10580946
335.4125,0.00034556,5.765e-05,5.8e-05,0.0243062,0.02630436,0.02630404,0.05805959,0.05643658,0.05634392,0.03774788,0.03388196,0.0338515,0.00895493,0.00880272,0.00880785,0.00584744,0.00574233,0.00574917,0.00339382,0.00333256,0.00333824,0.00194619,0.00192545,0.00193216,0.0010244,0.00101895,0.00102382,0.00104373,0.00099172,0.00099811,0.14266974,0.13849429,0.1384068
359.1875,4.038e-05,1.75e-06,1.77e-06,0.01750532,0.01626396,0.01628198,0.07167414,0.07252841,0.07241516,0.05451241,0.04931318,0.04927009,0.01341979,0.01317492,0.01318492,0.00883747,0.00866565,0.00867801,0.00515656,0.00505511,0.0050649,0.00297004,0.00293574,0.00294715,0.00156797,0.00155896,0.00156724,0.00160474,0.00152495,0.00153584,0.17728882,0.17102264,0.17094706
382.9625,2.12e-06,1e-08,1e-08,0.00989165,0.00668613,0.00671058,0.07571087,0.08014664,0.08008091,0.07022687,0.06424395,0.06417974,0.0181082,0.01774883,0.01774779,0.01204453,0.01178718,0.01179179,0.00707021,0.00691592,0.00692144,0.00409129,0.00403906,0.00404898,0.00216644,0.00215275,0.00216074,0.00222693,0.00211653,0.0021278,0.2015391,0.195837,0.19576978
406.7375,6e-08,0.0,0.0,0.00477927,0.00193398,0.00194499,0.07422706,0.08192387,0.0819031,0.08717713,0.08095905,0.08086924,0.02379249,0.02327835,0.0232652,0.01601343,0.01563504,0.0156316,0.00946502,0.00923388,0.00923512,0.00550469,0.00542616,0.00543543,0.00292401,0.00290347,0.00291194,0.00301856,0.00286954,0.00288235,0.22690172,0.22416334,0.22407896
430.5125,0.0,0.0,0.0,0.00194335,0.00037252,0.00037526,0.06766115,0.07680876,0.07678957,0.10425046,0.09872693,0.09861549,0.03049133,0.02978055,0.02977834,0.02081496,0.02027175,0.02028144,0.01240257,0.01206307,0.01207393,0.0072532,0.00713713,0.00715837,0.00386563,0.00383531,0.00385264,0.00400776,0.003811,0.00383566,0.2526904,0.25280703,0.2527607
