hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_g7,LBLg_g7,LBLk_g7,LBL_g8,LBLg_g8,LBLk_g8,LBL_g9,LBLg_g9,LBLk_g9,LBL_g10,LBLg_g10,LBLk_g10,LBL_tot,LBLg_tot,LBLk_tot
4.9695,0.00368676,0.00359342,0.0035934,0.00147155,0.00136765,0.00136653,0.00084532,0.00054293,0.00054299,0.00024979,0.0001636,0.00016376,3.929e-05,2.91e-05,2.917e-05,2.187e-05,1.651e-05,1.656e-05,1.153e-05,8.85e-06,8.89e-06,5.89e-06,5.1e-06,5.13e-06,2.72e-06,2.55e-06,2.57e-06,2.29e-06,2.18e-06,2.21e-06,0.00633702,0.00573189,0.00573121
6.9709,0.00367021,0.00359298,0.00359261,0.00146581,0.00136504,0.00136415,0.0008434,0.00054643,0.00054665,0.00024902,0.0001652,0.00016544,3.934e-05,2.949e-05,2.958e-05,2.188e-05,1.673e-05,1.68e-05,1.152e-05,8.95e-06,9e-06,5.9e-06,5.15e-06,5.18e-06,2.73e-06,2.57e-06,2.59e-06,2.3e-06,2.19e-06,2.22e-06,0.0063121,0.00573473,0.00573421
9.7781,0.00363373,0.00357873,0.00357844,0.00146483,0.00136786,0.00136697,0.00084438,0.00055381,0.00055394,0.00025053,0.00016903,0.00016922,3.988e-05,3.038e-05,3.045e-05,2.222e-05,1.728e-05,1.734e-05,1.17e-05,9.25e-06,9.29e-06,6.02e-06,5.3e-06,5.33e-06,2.8e-06,2.64e-06,2.66e-06,2.37e-06,2.25e-06,2.28e-06,0.00627845,0.00573653,0.00573592
13.7158,0.0035764,0.00355057,0.0035498,0.0014679,0.00137571,0.00137518,0.00084797,0.00056549,0.00056583,0.00025421,0.00017528,0.00017558,4.093e-05,3.182e-05,3.192e-05,2.289e-05,1.819e-05,1.826e-05,1.208e-05,9.75e-06,9.8e-06,6.24e-06,5.56e-06,5.6e-06,2.92e-06,2.78e-06,2.8e-06,2.5e-06,2.38e-06,2.4e-06,0.00623404,0.00573753,0.00573716
19.2394,0.00349267,0.00350323,0.00350254,0.00147672,0.0013905,0.00139002,0.00085519,0.00058294,0.00058318,0.00026091,0.00018482,0.00018506,4.266e-05,3.403e-05,3.411e-05,2.403e-05,1.959e-05,1.965e-05,1.273e-05,1.053e-05,1.058e-05,6.63e-06,5.98e-06,6.01e-06,3.13e-06,2.99e-06,3.01e-06,2.71e-06,2.58e-06,2.6e-06,0.00617738,0.00573719,0.00573676
26.9872,0.00337282,0.00342541,0.00342419,0.0014959,0.00141672,0.00141672,0.00086863,0.00060887,0.00060933,0.00027261,0.00019935,0.0001997,4.552e-05,3.741e-05,3.752e-05,2.593e-05,2.176e-05,2.183e-05,1.382e-05,1.176e-05,1.181e-05,7.25e-06,6.65e-06,6.68e-06,3.46e-06,3.33e-06,3.35e-06,3.05e-06,2.9e-06,2.92e-06,0.006109,0.00573417,0.00573406
37.8553,0.00321442,0.00331078,0.00330974,0.00152695,0.00145596,0.00145627,0.00088968,0.00064519,0.0006456,0.00029055,0.00022012,0.00022041,4.982e-05,4.232e-05,4.24e-05,2.879e-05,2.492e-05,2.498e-05,1.548e-05,1.357e-05,1.36e-05,8.21e-06,7.64e-06,7.66e-06,3.97e-06,3.85e-06,3.86e-06,3.57e-06,3.39e-06,3.4e-06,0.00603144,0.00572775,0.00572793
53.1,0.00302204,0.00315854,0.00315698,0.00156808,0.00150654,0.00150681,0.0009184,0.00069278,0.00069328,0.00031505,0.00024784,0.00024824,5.577e-05,4.905e-05,4.919e-05,3.276e-05,2.928e-05,2.937e-05,1.779e-05,1.606e-05,1.612e-05,9.53e-06,9.02e-06,9.06e-06,4.68e-06,4.57e-06,4.59e-06,4.29e-06,4.08e-06,4.1e-06,0.00594839,0.00571775,0.00571772
73.8875,0.00280187,0.00296762,0.00296526,0.00161849,0.0015671,0.00156713,0.00095562,0.00075186,0.00075229,0.00034694,0.00028306,0.00028357,6.368e-05,5.791e-05,5.811e-05,3.803e-05,3.502e-05,3.517e-05,2.086e-05,1.936e-05,1.945e-05,1.13e-05,1.085e-05,1.091e-05,5.62e-06,5.52e-06,5.56e-06,5.26e-06,5e-06,5.04e-06,0.00586768,0.00570329,0.00570249
97.6625,0.00259082,0.00276935,0.00276776,0.00166878,0.00162619,0.00162571,0.0009959,0.00081248,0.00081225,0.00038159,0.00032025,0.00032043,7.246e-05,6.762e-05,6.775e-05,4.39e-05,4.134e-05,4.145e-05,2.429e-05,2.299e-05,2.307e-05,1.327e-05,1.288e-05,1.294e-05,6.68e-06,6.59e-06,6.63e-06,6.35e-06,6.03e-06,6.07e-06,0.00580403,0.00568573,0.00568407
121.4375,0.00243726,0.00261811,0.00261602,0.00172999,0.0016936,0.00169319,0.00104494,0.00087574,0.0008755,0.00041883,0.00035825,0.0003585,8.184e-05,7.771e-05,7.788e-05,5.013e-05,4.791e-05,4.804e-05,2.79e-05,2.677e-05,2.686e-05,1.536e-05,1.501e-05,1.507e-05,7.79e-06,7.71e-06,7.75e-06,7.49e-06,7.11e-06,7.16e-06,0.00582153,0.00572791,0.00572597
145.2125,0.00314713,0.00339336,0.00338928,0.00245181,0.00240904,0.00240856,0.00150198,0.00128401,0.00128413,0.00062576,0.00054202,0.00054279,0.00012533,0.0001204,0.00012079,7.745e-05,7.472e-05,7.501e-05,4.331e-05,4.189e-05,4.207e-05,2.396e-05,2.352e-05,2.364e-05,1.223e-05,1.213e-05,1.22e-05,1.187e-05,1.127e-05,1.135e-05,0.00802083,0.00791236,0.00790983
168.9875,0.00383206,0.00414887,0.00414485,0.0032837,0.00323707,0.00323589,0.00204581,0.00177428,0.00177406,0.00088183,0.00076995,0.00077075,0.00018049,0.00017471,0.00017517,0.00011236,0.00010906,0.00010939,6.307e-05,6.132e-05,6.153e-05,3.506e-05,3.449e-05,3.464e-05,1.798e-05,1.785e-05,1.794e-05,1.758e-05,1.67e-05,1.679e-05,0.01046992,0.01034429,0.01034101
192.7625,0.00452062,0.00491414,0.00491113,0.00427191,0.00422433,0.00422313,0.00271428,0.00237786,0.00237732,0.00120598,0.00105787,0.00105845,0.00025168,0.00024476,0.00024514,0.00015767,0.00015355,0.00015383,8.878e-05,8.656e-05,8.674e-05,4.954e-05,4.88e-05,4.893e-05,2.552e-05,2.534e-05,2.542e-05,2.51e-05,2.384e-05,2.393e-05,0.01331108,0.01315704,0.01315402
216.5375,0.0048644,0.0053055,0.00529973,0.0050772,0.00503562,0.00503135,0.00329833,0.00290867,0.00290652,0.00150609,0.00132387,0.0013248,0.00031989,0.00031183,0.00031263,0.00020151,0.00019651,0.00019712,0.00011378,0.00011103,0.00011143,6.369e-05,6.277e-05,6.306e-05,3.292e-05,3.269e-05,3.287e-05,3.256e-05,3.093e-05,3.112e-05,0.01551037,0.01531943,0.01531064
240.3125,0.00509954,0.00557404,0.0055691,0.00587907,0.00584782,0.00584326,0.00391366,0.0034645,0.00346066,0.00183211,0.00161063,0.00161073,0.00039546,0.00038572,0.00038636,0.00025033,0.00024408,0.00024461,0.00014169,0.00013821,0.00013858,7.954e-05,7.836e-05,7.866e-05,4.124e-05,4.093e-05,4.112e-05,4.097e-05,3.892e-05,3.914e-05,0.01767361,0.01742322,0.01741222
264.0875,0.00534238,0.00584554,0.00584065,0.00680555,0.00678954,0.00678154,0.00465294,0.00412551,0.00411887,0.00222873,0.0019565,0.00195594,0.00048829,0.00047587,0.0004766,0.00031045,0.00030229,0.00030295,0.00017609,0.0001715,0.00017199,9.91e-05,9.754e-05,9.795e-05,5.151e-05,5.111e-05,5.137e-05,5.14e-05,4.883e-05,4.914e-05,0.02020645,0.01986423,0.019847
287.8625,0.00556696,0.00609099,0.00608472,0.00784675,0.00785382,0.00784121,0.00552359,0.00489735,0.0048879,0.00270318,0.00236703,0.00236638,0.00060051,0.00058415,0.00058526,0.00038335,0.00037244,0.00037344,0.00021788,0.00021171,0.00021243,0.0001229,0.0001208,0.00012142,6.402e-05,6.348e-05,6.388e-05,6.413e-05,6.092e-05,6.14e-05,0.02309326,0.02262267,0.02259804
311.6375,0.00576804,0.0063026,0.00630023,0.00901967,0.00906208,0.00905567,0.00655616,0.00581007,0.00580093,0.00327558,0.00286104,0.00285866,0.00073717,0.00071574,0.00071594,0.00047251,0.0004581,0.00045845,0.00026918,0.00026101,0.00026136,0.00015221,0.00014944,0.00014982,7.946e-05,7.875e-05,7.902e-05,7.991e-05,7.592e-05,7.624e-05,0.02640989,0.02577473,0.02575632
335.4125,0.00597012,0.00650437,0.00650205,0.01039327,0.01048899,0.01047192,0.00782576,0.00693365,0.00691979,0.00399014,0.00347862,0.00347597,0.00090906,0.00088147,0.00088229,0.00058517,0.00056654,0.00056747,0.00033431,0.00032374,0.00032447,0.00018956,0.000186,0.00018674,9.918e-05,9.827e-05,9.877e-05,0.00010015,9.515e-05,9.576e-05,0.03039674,0.0295568,0.02952523
359.1875,0.00615204,0.00667099,0.0066691,0.01196961,0.01214252,0.01211828,0.00936712,0.00829575,0.00827758,0.00487204,0.00423928,0.00423588,0.00112304,0.00108742,0.00108856,0.00072596,0.00070187,0.00070316,0.00041596,0.00040229,0.00040329,0.00023655,0.00023197,0.00023299,0.00012404,0.00012287,0.00012357,0.00012575,0.00011947,0.00012033,0.03511211,0.03401443,0.03397273
382.9625,0.00780458,0.00840234,0.00840234,0.01723785,0.01760837,0.01758615,0.01412189,0.01249977,0.01247669,0.00749551,0.00650673,0.00650033,0.0017475,0.0016888,0.0016892,0.00113419,0.00109452,0.00109542,0.00065171,0.0006292,0.00063007,0.00037164,0.00036416,0.00036523,0.00019528,0.00019337,0.00019416,0.00019872,0.00018879,0.00018979,0.05095888,0.04917606,0.04912939
406.7375,0.00988216,0.01050254,0.01050638,0.02569107,0.02652125,0.02649656,0.02236221,0.01979656,0.0197633,0.01213758,0.01050919,0.01049721,0.00286204,0.00275914,0.00275839,0.00186486,0.00179544,0.00179583,0.00107448,0.0010351,0.00103584,0.00061437,0.00060136,0.00060269,0.00032345,0.00032015,0.00032119,0.00033032,0.00031382,0.0003152,0.07714254,0.07415454,0.07409258
