,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
45,311.6375,0.0,0.0,0.0,8.8e-07,0.0,0.0,0.00031523,1e-08,1e-08,0.00081844,0.00010676,0.00010675,0.02063572,0.02374032,0.02373787,0.0135189,0.01280556,0.01280423,0.03528917,0.03665264,0.03664885,0.00136347,0.00135968
46,335.4125,0.0,0.0,0.0,7.2e-07,0.0,0.0,0.00028537,0.0,0.0,0.00055243,4.537e-05,4.536e-05,0.01965877,0.02287532,0.02287296,0.01411476,0.01353442,0.01353302,0.03461204,0.03645511,0.03645134,0.00184307,0.0018393
47,359.1875,0.0,0.0,0.0,6e-07,0.0,0.0,0.00026165,0.0,0.0,0.00036948,1.857e-05,1.857e-05,0.01864909,0.02185273,0.02185047,0.01469959,0.01426524,0.01426376,0.0339804,0.03613654,0.03613281,0.00215614,0.00215241
48,382.9625,0.0,0.0,0.0,5e-07,0.0,0.0,0.00024092,0.0,0.0,0.00024475,7.36e-06,7.36e-06,0.01761264,0.0206896,0.02068746,0.01524896,0.01496536,0.01496381,0.03334777,0.03566232,0.03565863,0.00231455,0.00231086
49,406.7375,0.0,0.0,0.0,4.1e-07,0.0,0.0,0.00022256,0.0,0.0,0.0001608,2.82e-06,2.82e-06,0.01657177,0.01945349,0.01945148,0.01576251,0.01566688,0.01566526,0.03271806,0.03512319,0.03511956,0.00240513,0.0024015
50,430.5125,0.0,0.0,0.0,3.5e-07,0.0,0.0,0.00020622,0.0,0.0,0.00010496,1.05e-06,1.05e-06,0.01554439,0.01818705,0.01818518,0.01624216,0.0163937,0.016392,0.03209808,0.03458181,0.03457823,0.00248373,0.00248015
51,454.2875,0.0,0.0,0.0,2.9e-07,0.0,0.0,0.00019159,0.0,0.0,6.821e-05,3.8e-07,3.8e-07,0.01454134,0.0168815,0.01687976,0.0166876,0.01709329,0.01709152,0.03148903,0.03397517,0.03397166,0.00248614,0.00248263
52,478.0625,0.0,0.0,0.0,2.4e-07,0.0,0.0,0.00017841,0.0,0.0,4.424e-05,1.4e-07,1.4e-07,0.01357035,0.01556789,0.01556628,0.01709858,0.01776735,0.01776551,0.03089182,0.03333537,0.03333193,0.00244355,0.00244011
53,501.8375,0.0,0.0,0.0,2.1e-07,0.0,0.0,0.00016647,0.0,0.0,2.87e-05,5e-08,5e-08,0.01263672,0.01427165,0.01427018,0.01747489,0.01841912,0.01841722,0.03030699,0.03269083,0.03268744,0.00238384,0.00238045
54,525.6125,0.0,0.0,0.0,1.7e-07,0.0,0.0,0.00015561,0.0,0.0,1.867e-05,2e-08,2e-08,0.01174387,0.01302875,0.0130274,0.01781634,0.01911464,0.01911267,0.02973466,0.03214341,0.03214008,0.00240875,0.00240542
