,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
39,168.9875,0.0,0.0,0.0,3.57e-06,0.0,0.0,0.00085288,5.839e-05,5.839e-05,0.00640348,0.00594976,0.00594914,0.02302662,0.02390088,0.02389841,0.00966019,0.00872129,0.00872039,0.03994674,0.03863032,0.03862633,-0.00131642,-0.00132041
40,192.7625,0.0,0.0,0.0,2.4e-06,0.0,0.0,0.00068877,1.334e-05,1.334e-05,0.00476384,0.00356546,0.00356509,0.02347866,0.0248063,0.02480374,0.01046953,0.00947899,0.00947801,0.0394032,0.0378641,0.03786019,-0.0015391,-0.00154301
41,216.5375,0.0,0.0,0.0,1.72e-06,0.0,0.0,0.00058371,2.89e-06,2.89e-06,0.00347956,0.00198975,0.00198955,0.02357199,0.02539875,0.02539613,0.01131307,0.01033385,0.01033278,0.03895004,0.03772525,0.03772135,-0.00122479,-0.00122869
42,240.3125,0.0,0.0,0.0,1.26e-06,0.0,0.0,0.00050433,6.1e-07,6.1e-07,0.00249558,0.00104338,0.00104328,0.02332636,0.02555418,0.02555154,0.01213625,0.01116577,0.01116461,0.03846378,0.03776394,0.03776003,-0.00069984,-0.00070375
43,264.0875,0.0,0.0,0.0,9.3e-07,0.0,0.0,0.00044065,1.2e-07,1.2e-07,0.00175779,0.00051822,0.00051816,0.02280767,0.02537865,0.02537603,0.01292768,0.01200235,0.01200111,0.03793472,0.03789934,0.03789543,-3.538e-05,-3.929e-05
44,287.8625,0.0,0.0,0.0,6.9e-07,0.0,0.0,0.00038847,3e-08,3e-08,0.00121616,0.0002452,0.00024518,0.02208222,0.02490823,0.02490566,0.01368681,0.01283588,0.01283455,0.03737435,0.03798934,0.03798542,0.00061499,0.00061107
45,311.6375,0.0,0.0,0.0,5.2e-07,0.0,0.0,0.00034501,1e-08,1e-08,0.00082668,0.00011099,0.00011098,0.02120513,0.02413535,0.02413286,0.01441183,0.01362107,0.01361966,0.03678918,0.03786741,0.0378635,0.00107823,0.00107432
46,335.4125,0.0,0.0,0.0,4e-07,0.0,0.0,0.00030835,0.0,0.0,0.00055232,4.826e-05,4.825e-05,0.02022356,0.02321881,0.02321641,0.01510117,0.01444368,0.01444219,0.03618579,0.03771075,0.03770685,0.00152496,0.00152106
47,359.1875,0.0,0.0,0.0,3e-07,0.0,0.0,0.00027707,0.0,0.0,0.00036292,2.025e-05,2.025e-05,0.01917647,0.02212567,0.02212339,0.01575341,0.01524867,0.01524709,0.03557018,0.03739459,0.03739072,0.00182441,0.00182054
48,382.9625,0.0,0.0,0.0,2.3e-07,0.0,0.0,0.00025015,0.0,0.0,0.00023472,8.22e-06,8.22e-06,0.01809513,0.02089129,0.02088913,0.01636728,0.01602018,0.01601852,0.03494752,0.03691969,0.03691588,0.00197217,0.00196836
49,406.7375,0.0,0.0,0.0,1.8e-07,0.0,0.0,0.00022669,0.0,0.0,0.00014953,3.24e-06,3.24e-06,0.01699761,0.01958732,0.0195853,0.01693502,0.01679135,0.01678961,0.03430902,0.03638191,0.03637815,0.00207289,0.00206913
50,430.5125,0.0,0.0,0.0,1.4e-07,0.0,0.0,0.00020617,0.0,0.0,9.398e-05,1.24e-06,1.24e-06,0.01590933,0.01825824,0.01825636,0.01746078,0.01758542,0.0175836,0.0336704,0.0358449,0.03584119,0.0021745,0.00217079
51,454.2875,0.0,0.0,0.0,1.1e-07,0.0,0.0,0.0001881,0.0,0.0,5.837e-05,4.6e-07,4.6e-07,0.01484499,0.01689643,0.01689469,0.01794484,0.01834914,0.01834724,0.03303641,0.03524604,0.0352424,0.00220963,0.00220599
52,478.0625,0.0,0.0,0.0,8e-08,0.0,0.0,0.00017211,0.0,0.0,3.588e-05,1.7e-07,1.7e-07,0.01381429,0.01553395,0.01553235,0.01838698,0.01908417,0.0190822,0.03240934,0.03461829,0.03461472,0.00220895,0.00220538
53,501.8375,0.0,0.0,0.0,7e-08,0.0,0.0,0.0001579,0.0,0.0,2.188e-05,6e-08,6e-08,0.01282413,0.01419675,0.01419528,0.01878781,0.01979454,0.01979249,0.0317918,0.03399135,0.03398784,0.00219955,0.00219603
