,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
23,1.2836,0.05037665,0.05620524,0.05619929,0.05843946,0.06011334,0.06010691,0.02612636,0.02335657,0.02335417,0.00074248,0.00074597,0.00074589,0.00261444,0.00220618,0.00220595,0.0059123,0.00508249,0.00508196,0.14421168,0.14770979,0.14769418,0.00349811,0.0034825
24,1.8006,0.03228999,0.03015943,0.03015623,0.05345903,0.0569901,0.056984,0.0255838,0.0231691,0.02316671,0.00091831,0.00092567,0.00092557,0.00261078,0.0022382,0.00223797,0.00571179,0.00491526,0.00491475,0.12057371,0.11839776,0.11838525,-0.00217595,-0.00218846
25,2.5257,0.01866924,0.01263118,0.01262984,0.04761026,0.05289676,0.05289111,0.02494158,0.0229179,0.02291554,0.00117125,0.00117473,0.0011746,0.00262215,0.00228631,0.00228608,0.00545916,0.00470174,0.00470125,0.10047365,0.09660862,0.09659842,-0.00386503,-0.00387523
26,3.5428,0.0094583,0.003749,0.00374861,0.04135064,0.04804068,0.04803554,0.02449471,0.02289307,0.02289071,0.00154141,0.00155147,0.00155131,0.00271575,0.00241696,0.00241671,0.00522566,0.004504,0.00450353,0.08478646,0.08315519,0.08314642,-0.00163127,-0.00164004
27,4.9695,0.00405833,0.00069636,0.00069629,0.03497901,0.04230958,0.04230506,0.02438033,0.02315587,0.02315349,0.00207602,0.00207673,0.00207651,0.00293118,0.00265019,0.00264992,0.00503165,0.00434377,0.00434332,0.07345651,0.0752325,0.07522458,0.00177599,0.00176807
28,6.9709,0.00140803,6.881e-05,6.88e-05,0.02874639,0.03564591,0.03564211,0.02468826,0.02383166,0.02382921,0.00283927,0.00285178,0.00285148,0.00330582,0.00304365,0.00304334,0.00488255,0.00422506,0.00422463,0.06587031,0.06966688,0.06965956,0.00379657,0.00378925
29,9.7781,0.0003648,2.94e-06,2.94e-06,0.02277898,0.02800745,0.02800445,0.02547172,0.02485626,0.02485371,0.00391903,0.00391533,0.00391493,0.00389074,0.00361392,0.00361355,0.0047866,0.00415065,0.00415022,0.06121187,0.06454655,0.06453979,0.00333468,0.00332792
30,13.7158,6.149e-05,4e-08,4e-08,0.01701951,0.01978524,0.01978313,0.02661932,0.02628537,0.02628267,0.00542878,0.00543631,0.00543575,0.00475273,0.0044544,0.00445394,0.0047543,0.00413224,0.00413181,0.05863613,0.06009362,0.06008734,0.00145749,0.00145121
31,19.2394,5.61e-06,0.0,0.0,0.01143924,0.01183968,0.01183841,0.02762815,0.02785073,0.02784786,0.00750133,0.00748659,0.00748581,0.00597737,0.00560386,0.00560328,0.00480144,0.00417834,0.0041779,0.05735313,0.0569592,0.05695327,-0.00039393,-0.00039986
32,26.9872,2.6e-07,0.0,0.0,0.00646388,0.00549763,0.00549704,0.02736423,0.02922633,0.02922333,0.0102452,0.01027796,0.01027688,0.00766287,0.00719469,0.00719395,0.00494772,0.00431323,0.00431278,0.05668416,0.05650984,0.05650398,-0.00017432,-0.00018018
33,37.8553,1e-08,0.0,0.0,0.00296519,0.00174081,0.00174063,0.02449206,0.02942731,0.02942428,0.01364875,0.01381047,0.01380903,0.00991866,0.00928974,0.00928878,0.00522375,0.00455166,0.00455119,0.05624841,0.05881999,0.05881391,0.00257158,0.0025655
34,53.1,0.0,0.0,0.0,0.00119954,0.00031563,0.0003156,0.01874418,0.0270898,0.02708701,0.0173533,0.01800225,0.01800037,0.01280851,0.0120088,0.01200755,0.00563687,0.00492543,0.00492492,0.0557424,0.06234191,0.06233545,0.00659951,0.00659305
35,73.8875,0.0,0.0,0.0,0.00049639,2.766e-05,2.766e-05,0.01192045,0.02113704,0.02113487,0.02018571,0.02194049,0.0219382,0.01630043,0.01532579,0.0153242,0.00624227,0.00547492,0.00547435,0.05514525,0.06390589,0.06389927,0.00876064,0.00875402
36,97.6625,0.0,0.0,0.0,0.00024253,1.35e-06,1.35e-06,0.0069512,0.01366041,0.01365901,0.02062851,0.02370428,0.02370181,0.01976848,0.01864432,0.01864238,0.00702191,0.00615901,0.00615837,0.05461263,0.06216938,0.06216293,0.00755675,0.0075503
37,121.4375,0.0,0.0,0.0,0.00015368,7e-08,7e-08,0.00446535,0.00777476,0.00777396,0.0190989,0.02288259,0.0228802,0.02275434,0.02166155,0.0216593,0.00792216,0.0069537,0.00695298,0.05439444,0.05927266,0.05926651,0.00487822,0.00487207
38,145.2125,0.0,0.0,0.0,0.00011321,0.0,0.0,0.00327184,0.00404618,0.00404577,0.01683143,0.02036616,0.02036404,0.02528316,0.02437381,0.02437128,0.00888999,0.00781451,0.0078137,0.05438964,0.05660067,0.05659479,0.00221103,0.00220515
39,168.9875,0.0,0.0,0.0,8.667e-05,0.0,0.0,0.00259484,0.00198685,0.00198664,0.01448181,0.01707258,0.0170708,0.02735684,0.02666147,0.02665871,0.0098476,0.00865473,0.00865384,0.05436776,0.05437563,0.05436999,7.87e-06,2.23e-06
40,192.7625,0.0,0.0,0.0,6.776e-05,0.0,0.0,0.00216363,0.00093618,0.00093608,0.01225641,0.01363788,0.01363646,0.02900162,0.02857968,0.02857672,0.01079252,0.00949427,0.00949329,0.05428193,0.05264801,0.05264254,-0.00163392,-0.00163939
41,216.5375,0.0,0.0,0.0,5.368e-05,0.0,0.0,0.00185914,0.00042712,0.00042708,0.01024043,0.01045859,0.0104575,0.03024608,0.03021784,0.03021471,0.01172314,0.01037454,0.01037347,0.05412246,0.05147809,0.05147275,-0.00264437,-0.00264971
42,240.3125,0.0,0.0,0.0,4.291e-05,0.0,0.0,0.00162657,0.00019155,0.00019153,0.00845694,0.00772544,0.00772463,0.03110222,0.03146229,0.03145903,0.01262975,0.01122163,0.01122047,0.05385839,0.0506009,0.05059565,-0.00325749,-0.00326274
43,264.0875,0.0,0.0,0.0,3.456e-05,0.0,0.0,0.00144114,8.465e-05,8.464e-05,0.00691434,0.00552473,0.00552415,0.03162302,0.03241483,0.03241147,0.01351735,0.01207156,0.01207031,0.05353041,0.05009578,0.05009058,-0.00343463,-0.00343983
44,287.8625,0.0,0.0,0.0,2.802e-05,0.0,0.0,0.00128886,3.714e-05,3.714e-05,0.00560017,0.00384033,0.00383993,0.03184695,0.03308492,0.03308149,0.01438538,0.01291954,0.0129182,0.05314938,0.04988193,0.04987676,-0.00326745,-0.00327262
45,311.6375,0.0,0.0,0.0,2.286e-05,0.0,0.0,0.00116118,1.631e-05,1.631e-05,0.00449508,0.00260124,0.00260097,0.03181038,0.03341679,0.03341333,0.01523237,0.01371991,0.01371849,0.05272187,0.04975425,0.04974909,-0.00296762,-0.00297278
46,335.4125,0.0,0.0,0.0,1.875e-05,0.0,0.0,0.00105249,7.13e-06,7.13e-06,0.00357699,0.00172126,0.00172108,0.03154917,0.0335848,0.03358132,0.01605694,0.01456024,0.01455873,0.05225433,0.04987343,0.04986826,-0.0023809,-0.00238607
47,359.1875,0.0,0.0,0.0,1.546e-05,0.0,0.0,0.00095887,3.13e-06,3.13e-06,0.00282294,0.00111602,0.0011159,0.03109775,0.03350786,0.03350439,0.01685781,0.01538444,0.01538285,0.05175283,0.05001145,0.05000627,-0.00174138,-0.00174656
48,382.9625,0.0,0.0,0.0,1.281e-05,0.0,0.0,0.00087728,1.39e-06,1.39e-06,0.00220999,0.00071046,0.00071039,0.03048271,0.03319476,0.03319132,0.01763036,0.01617647,0.0161748,0.05121315,0.05008309,0.0500779,-0.00113006,-0.00113525
49,406.7375,0.0,0.0,0.0,1.066e-05,0.0,0.0,0.00080555,6.2e-07,6.2e-07,0.00171696,0.00044445,0.00044441,0.02973218,0.03271861,0.03271522,0.01837159,0.01697034,0.01696859,0.05063696,0.05013402,0.05012883,-0.00050294,-0.00050813
50,430.5125,0.0,0.0,0.0,8.92e-06,0.0,0.0,0.00074231,2.8e-07,2.8e-07,0.00132486,0.00027362,0.00027359,0.02888286,0.03212464,0.03212131,0.01908586,0.01779044,0.0177886,0.0500448,0.05018898,0.05018378,0.00014418,0.00013898
51,454.2875,0.0,0.0,0.0,7.49e-06,0.0,0.0,0.0006862,1.3e-07,1.3e-07,0.00101587,0.0001663,0.00016628,0.02795838,0.03137362,0.03137037,0.01977243,0.01858354,0.01858162,0.04944036,0.05012359,0.05011839,0.00068323,0.00067803
