hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
85.775,0.0,0.0,0.0,0.002269,4e-06,3.71e-06,0.128872,0.081679,0.08167914,0.38121,0.375085,0.37508438,2.789919,2.796642,2.7966416,109.946874,109.954163,109.95416,113.24914,113.20757,113.20757,-0.04157,-0.04157
109.55,0.0,0.0,0.0,0.001561,0.0,1.8e-07,0.107581,0.043719,0.04371936,0.323586,0.309731,0.30973081,2.733183,2.742925,2.7429246,109.925911,109.935767,109.93577,113.09182,113.03214,113.03214,-0.05968,-0.05968
133.325,0.0,0.0,0.0,0.001154,0.0,1e-08,0.094168,0.02196,0.02195995,0.269504,0.245933,0.24593298,2.668158,2.680859,2.6808585,109.902571,109.915277,109.91528,112.93556,112.86403,112.86403,-0.07153,-0.07153
157.1,0.0,0.0,0.0,0.000896,0.0,0.0,0.08502,0.010519,0.01051926,0.2214,0.188249,0.18824909,2.596354,2.611646,2.6116462,109.87692,109.892739,109.89274,112.78059,112.70315,112.70315,-0.07744,-0.07744
180.875,0.0,0.0,0.0,0.00072,0.0,0.0,0.078218,0.004865,0.00486515,0.179989,0.139369,0.13936908,2.519095,2.536437,2.536437,109.84897,109.868151,109.86815,112.62699,112.54882,112.54882,-0.07817,-0.07817
204.65,0.0,0.0,0.0,0.000589,0.0,0.0,0.072731,0.002195,0.00219486,0.14508,0.100145,0.1001448,2.43746,2.456115,2.4561146,109.818597,109.841421,109.84142,112.47446,112.39988,112.39988,-0.07458,-0.07458
228.425,0.0,0.0,0.0,0.000486,0.0,0.0,0.068048,0.000976,0.00097636,0.116045,0.070045,0.07004499,2.352419,2.371254,2.3712541,109.785672,109.812274,109.81227,112.32267,112.25455,112.25455,-0.06812,-0.06812
252.2,0.0,0.0,0.0,0.000405,0.0,0.0,0.063953,0.00043,0.00043004,0.092148,0.047815,0.04781467,2.265011,2.282917,2.2829169,109.750222,109.780772,109.78077,112.17174,112.11193,112.11193,-0.05981,-0.05981
275.975,0.0,0.0,0.0,0.000339,0.0,0.0,0.060324,0.000189,0.00018869,0.072661,0.031922,0.03192188,2.17618,2.191914,2.1919137,109.712302,109.7469,109.7469,112.02181,111.97092,111.97092,-0.05089,-0.05089
299.75,0.0,0.0,0.0,0.000286,0.0,0.0,0.057075,8.3e-05,8.284e-05,0.056909,0.020879,0.0208792,2.086754,2.099036,2.0990354,109.671971,109.710665,109.71067,111.87299,111.83066,111.83066,-0.04233,-0.04233
323.525,0.0,0.0,0.0,0.000242,0.0,0.0,0.054145,3.6e-05,3.638e-05,0.044285,0.013403,0.01340341,1.997459,2.00523,2.0052295,109.629288,109.672202,109.6722,111.72542,111.69087,111.69087,-0.03455,-0.03455
347.3,0.0,0.0,0.0,0.000206,0.0,0.0,0.051485,1.6e-05,1.608e-05,0.034252,0.00846,0.00845973,1.908921,1.910953,1.9109531,109.584319,109.631402,109.6314,111.57918,111.55083,111.55083,-0.02835,-0.02835
371.075,0.0,0.0,0.0,0.000176,0.0,0.0,0.049058,7e-06,7.16e-06,0.026341,0.005257,0.00525671,1.821667,1.816892,1.8168919,109.537132,109.588313,109.58831,111.43437,111.41047,111.41047,-0.0239,-0.0239
394.85,0.0,0.0,0.0,0.000151,0.0,0.0,0.046834,3e-06,3.21e-06,0.020153,0.003219,0.00321933,1.736138,1.723709,1.7237087,109.487797,109.543026,109.54303,111.29107,111.26996,111.26996,-0.02111,-0.02111
418.625,0.0,0.0,0.0,0.000131,0.0,0.0,0.044788,1e-06,1.45e-06,0.015348,0.001946,0.00194594,1.652721,1.63186,1.63186,109.436412,109.495541,109.49554,111.1494,111.12935,111.12935,-0.02005,-0.02005
442.4,0.0,0.0,0.0,0.000113,0.0,0.0,0.0429,1e-06,6.6e-07,0.011643,0.001163,0.00116276,1.571699,1.541676,1.5416753,109.383061,109.44579,109.44579,111.00942,110.98863,110.98863,-0.02079,-0.02079
466.175,0.0,0.0,0.0,9.8e-05,0.0,0.0,0.041154,0.0,3.1e-07,0.008804,0.000687,0.00068729,1.493282,1.453597,1.4535971,109.327827,109.393855,109.39386,110.87117,110.84814,110.84814,-0.02303,-0.02303
489.95,0.0,0.0,0.0,8.6e-05,0.0,0.0,0.039533,0.0,1.4e-07,0.006641,0.000402,0.00040209,1.417624,1.367985,1.3679849,109.2708,109.339816,109.33982,110.73468,110.7082,110.7082,-0.02648,-0.02648
513.725,0.0,0.0,0.0,7.5e-05,0.0,0.0,0.038026,0.0,7e-08,0.005001,0.000233,0.00023297,1.344827,1.285122,1.2851217,109.212066,109.283739,109.28374,110.59999,110.56909,110.56909,-0.0309,-0.0309
537.5,0.0,0.0,0.0,6.6e-05,0.0,0.0,0.03662,0.0,3e-08,0.003764,0.000134,0.000134,1.274952,1.205126,1.2051261,109.151712,109.225501,109.2255,110.46711,110.43076,110.43076,-0.03635,-0.03635
561.275,0.0,0.0,0.0,5.8e-05,0.0,0.0,0.035307,0.0,2e-08,0.002833,7.7e-05,7.655e-05,1.208023,1.12819,1.1281896,109.089824,109.165168,109.16517,110.33604,110.29343,110.29343,-0.04261,-0.04261
585.05,0.0,0.0,0.0,5.2e-05,0.0,0.0,0.034077,0.0,1e-08,0.002135,4.3e-05,4.344e-05,1.144037,1.05445,1.05445,109.026485,109.102804,109.1028,110.20678,110.1573,110.1573,-0.04948,-0.04948
608.825,0.0,0.0,0.0,4.6e-05,0.0,0.0,0.032922,0.0,0.0,0.001613,2.4e-05,2.45e-05,1.082965,0.983998,0.98399776,108.961778,109.038464,109.03846,110.07932,110.02249,110.02249,-0.05683,-0.05683
632.6,0.0,0.0,0.0,4.1e-05,0.0,0.0,0.031837,0.0,0.0,0.001223,1.4e-05,1.373e-05,1.024762,0.916884,0.91688371,108.895787,108.972204,108.9722,109.95365,109.8891,109.8891,-0.06455,-0.06455
