hPa,LBLx1,PARx1,PARx1 - LBLx1,LBLx2,PARx2,PARx2 - LBLx2
0.0,113.8745,113.8745,0.0,113.8745,113.8745,0.0
0.0006,113.87448,113.87448,0.0,113.87446000000001,113.87447,2e-05
0.0009,113.87447,113.87447,0.0,113.87445,113.87445,0.0
0.0012,113.87446000000001,113.87446000000001,0.0,113.87443,113.87443,0.0
0.0017,113.87443999999999,113.87443999999999,0.0,113.8744,113.87441000000001,2e-05
0.0024,113.87441000000001,113.87442,1e-05,113.87435,113.87437,2e-05
0.0034,113.87438,113.87438999999999,1e-05,113.8743,113.87431000000001,2e-05
0.0048,113.87433,113.87433999999999,1e-05,113.87421,113.87423999999999,2.9999999999999997e-05
0.0067,113.87426,113.87428,2e-05,113.8741,113.87413000000001,2.9999999999999997e-05
0.0094,113.87416,113.87418999999998,2.9999999999999997e-05,113.87393999999999,113.87398,4e-05
0.0131,113.87402,113.87406000000001,4e-05,113.87371999999999,113.87378000000001,5.9999999999999995e-05
0.0184,113.87383,113.87388999999999,5.9999999999999995e-05,113.87341,113.87348999999999,8e-05
0.0258,113.87357,113.87364,7e-05,113.87298,113.87308,0.0001
0.0362,113.8732,113.8733,0.0001,113.87238,113.87252,0.00014
0.0508,113.87268,113.87281999999999,0.00014,113.87156,113.87173999999999,0.00018
0.0713,113.87196999999999,113.87216000000001,0.00018999999999999998,113.87043999999999,113.87066999999999,0.00022999999999999998
0.1,113.87098999999999,113.87123000000001,0.00023999999999999998,113.86893,113.86918999999999,0.00026000000000000003
0.1403,113.86963999999999,113.86995,0.00031,113.86688999999998,113.86717,0.00028
0.1968,113.8678,113.86818000000001,0.00037999999999999997,113.86419,113.86443,0.00023999999999999998
0.276,113.8653,113.86575,0.00045,113.86063,113.86078,0.00015
0.3871,113.86193999999999,113.86243999999999,0.0005,113.856,113.85598,-2e-05
0.5431,113.85746999999999,113.85797,0.0005,113.85003,113.84975,-0.00028
0.7617,113.85157,113.85202,0.00045,113.84239,113.84185,-0.00054
1.0685,113.84386,113.84419,0.00033999999999999997,113.83263999999998,113.83197,-0.00067
1.4988,113.83393999999998,113.83406000000001,0.00011999999999999999,113.8204,113.81983000000001,-0.00056
2.1024,113.8214,113.82122,-0.00018,113.80528000000001,113.805,-0.00028
2.949,113.80576,113.80516000000001,-0.0006,113.78669,113.78665,-4e-05
4.1366,113.78638000000001,113.78513999999998,-0.00124,113.76382,113.76328000000001,-0.00053
