,hPa,LBLx1,PARx1,PARx1 - LBLx1,LBLx2,PARx2,PARx2 - LBLx2
0,0.0003,29.94175,30.349490000000003,0.40774,42.28096,40.59646,-1.6845
1,0.0008,13.821829999999999,11.56655,-2.25529,20.74643,18.158820000000002,-2.5876200000000003
2,0.0011,12.04756,10.03518,-2.01238,18.53351,17.15429,-1.3792200000000001
3,0.0015,10.67884,9.34791,-1.33093,16.56333,15.979729999999998,-0.5836
4,0.0021,9.55268,8.83741,-0.71526,14.676079999999999,14.551229999999999,-0.12485
5,0.0029,8.55355,8.242980000000001,-0.31056999999999996,12.78192,12.913689999999999,0.13177
6,0.0041,7.600910000000001,7.5204699999999995,-0.08044,10.861080000000001,11.176,0.31492
7,0.0057,6.64722,6.69216,0.04493,8.965010000000001,9.48189,0.51689
8,0.008,5.68039,5.8132,0.13280999999999998,7.1970600000000005,7.943739999999999,0.74668
9,0.0112,4.72431,4.9586,0.2343,5.66625,6.57955,0.9133
10,0.0158,3.82979,4.18692,0.35713,4.4342,5.32482,0.8906200000000001
11,0.0221,3.05178,3.50205,0.45027,3.4946,4.1368599999999995,0.64226
12,0.031,2.4225,2.8688700000000003,0.44637,2.7972900000000003,3.08359,0.28629
13,0.0435,1.9408400000000001,2.26759,0.32675,2.28537,2.285,-0.00037
14,0.0611,1.59948,1.7426400000000002,0.14315999999999998,1.93524,1.81538,-0.11986
15,0.0856,1.38572,1.36745,-0.018269999999999998,1.7327099999999998,1.63883,-0.09387999999999999
16,0.1201,1.24793,1.1598600000000001,-0.08807000000000001,1.60735,1.60086,-0.006490000000000001
17,0.1685,1.14176,1.0762,-0.06556000000000001,1.4955100000000001,1.55653,0.06101
18,0.2364,1.05298,1.0422,-0.01077,1.38032,1.4508299999999998,0.07051
19,0.3315,0.96995,0.9937799999999999,0.02383,1.25773,1.28326,0.02554
20,0.4651,0.8862700000000001,0.9086799999999999,0.02241,1.13662,1.1002399999999999,-0.03637
21,0.6524,0.80513,0.8006,-0.004529999999999999,1.0316,0.97575,-0.05585
22,0.9151,0.7237899999999999,0.6944899999999999,-0.0293,0.93681,0.9195399999999999,-0.017269999999999997
23,1.2837,0.6328,0.6117100000000001,-0.02109,0.83089,0.85708,0.026189999999999998
24,1.8006,0.55138,0.56038,0.009,0.73259,0.76778,0.03519
25,2.5257,0.4946,0.5192,0.0246,0.65982,0.67804,0.01822
26,3.5428,0.45436000000000004,0.47828999999999994,0.02393,0.60147,0.61431,0.01284
27,4.9695,0.42099,0.43377,0.012790000000000001,0.5458,0.56097,0.01517
28,6.9708,0.38711999999999996,0.39483,0.00771,0.48593000000000003,0.49145,0.005520000000000001
29,9.7781,0.34876,0.3454,-0.00335,0.41993,0.39918000000000003,-0.02075
