,hPa,LBL_g1,PAR_g1,LBL_g2,PAR_g2,LBL_g3,PAR_g3,LBL_g4,PAR_g4,LBL_g5,PAR_g5,LBL_g6,PAR_g6,LBL_g7,PAR_g7,LBL_g8,PAR_g8,LBL_g9,PAR_g9,LBL_g10,PAR_g10,LBL_tot,PAR_tot,PAR - LBL
47,359.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.776e-05,0.0,0.00112667,0.0,0.01219844,0.01509418,0.01085976,0.01108586,0.02426263,0.02618004,0.00191741
48,382.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.668e-05,0.0,0.00099567,0.0,0.01054656,0.01154729,0.01120585,0.01203299,0.02281476,0.02358028,0.00076552
49,406.7375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.724e-05,0.0,0.00088847,0.0,0.0090901,0.00860376,0.0114614,0.01299157,0.02149721,0.02159533,9.812e-05
50,430.5125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.923e-05,0.0,0.00079873,0.0,0.00781873,0.00625314,0.0116311,0.01397372,0.02029779,0.02022686,-7.093e-05
51,454.2875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.243e-05,0.0,0.00072226,0.0,0.00671753,0.00441515,0.01171916,0.01496242,0.01920138,0.01937757,0.00017619
52,478.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.666e-05,0.0,0.00065626,0.0,0.00577097,0.00303231,0.01173193,0.01595147,0.01819582,0.01898378,0.00078796
53,501.8375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.175e-05,0.0,0.0005988,0.0,0.00496362,0.0020283,0.01167846,0.01693788,0.01727263,0.01896618,0.00169355
54,525.6125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.759e-05,0.0,0.00054842,0.0,0.00427991,0.00132704,0.01156931,0.01793344,0.01642523,0.01926047,0.00283524
55,549.3875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.405e-05,0.0,0.000504,0.0,0.00370434,0.00084496,0.01141511,0.0189344,0.01564749,0.01977936,0.00413187
56,573.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.103e-05,0.0,0.00046461,0.0,0.00322198,0.00052405,0.01122579,0.01993784,0.0149334,0.02046189,0.00552849
57,596.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.845e-05,0.0,0.00042946,0.0,0.00281895,0.00031684,0.01101043,0.02094145,0.01427729,0.02125829,0.006981
58,620.7125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.623e-05,0.0,0.00039795,0.0,0.00248272,0.00018686,0.0107771,0.02194307,0.01367401,0.02212993,0.00845592
59,644.4875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.433e-05,0.0,0.00036956,0.0,0.00220222,0.00010774,0.01053278,0.02295569,0.01311888,0.02306343,0.00994455
60,668.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.269e-05,0.0,0.00034381,0.0,0.00196759,6.065e-05,0.01028196,0.02397621,0.01260604,0.02403687,0.01143083
61,692.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.126e-05,0.0,0.00032041,0.0,0.00177081,3.328e-05,0.01003011,0.02499201,0.01213259,0.02502529,0.0128927
62,715.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.002e-05,0.0,0.00029909,0.0,0.00160515,1.781e-05,0.00978191,0.02600122,0.01169617,0.02601904,0.01432287
63,739.5875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.95e-06,0.0,0.0002796,0.0,0.00146483,9.3e-06,0.00953995,0.02700182,0.01129333,0.02701112,0.01571779
64,763.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.01e-06,0.0,0.00026173,0.0,0.00134506,4.75e-06,0.00930579,0.02799112,0.0109206,0.02799587,0.01707527
65,787.1375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.18e-06,0.0,0.00024529,0.0,0.00124192,2.36e-06,0.0090798,0.02896481,0.01057419,0.02896717,0.01839298
66,810.9125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.46e-06,0.0,0.00023007,0.0,0.00115208,1.15e-06,0.00886083,0.02994437,0.01024943,0.02994552,0.01969609
67,834.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.81e-06,0.0,0.00021587,0.0,0.00107279,5.5e-07,0.00864641,0.03089871,0.00994088,0.03089926,0.02095838
68,858.4625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.24e-06,0.0,0.00020255,0.0,0.00100193,2.6e-07,0.00843463,0.03180315,0.00964435,0.03180341,0.02215906
69,882.2375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.73e-06,0.0,0.00019007,0.0,0.00093819,1.2e-07,0.00822626,0.03265557,0.00935925,0.03265568,0.02329643
70,906.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29e-06,0.0,0.00017846,0.0,0.00088078,5e-08,0.0080244,0.03346424,0.00908793,0.03346429,0.02437636
71,929.7875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89e-06,0.0,0.00016774,0.0,0.00082909,2e-08,0.00783194,0.03423997,0.00883267,0.03423999,0.02540732
72,953.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54e-06,0.0,0.00015787,0.0,0.00078248,1e-08,0.0076502,0.03499014,0.00859409,0.03499015,0.02639606
73,977.3375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23e-06,0.0,0.0001488,0.0,0.00074031,0.0,0.00747926,0.03571861,0.0083716,0.03571861,0.02734701
74,1001.1125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.96e-06,0.0,0.00014044,0.0,0.000702,0.0,0.00731866,0.03642948,0.00816405,0.03642948,0.02826543
