,hPa,LBL_g1,PAR_g1,LBL_g2,PAR_g2,LBL_g3,PAR_g3,LBL_g4,PAR_g4,LBL_g5,PAR_g5,LBL_g6,PAR_g6,LBL_g7,PAR_g7,LBL_g8,PAR_g8,LBL_g9,PAR_g9,LBL_g10,PAR_g10,LBL_tot,PAR_tot,PAR - LBL
0,0.0003,10.75928167,10.871883,7.75883274,8.28747,10.89971088,9.5771402,1.18859681,1.0469174,0.24001466,0.2101102,0.00701675,0.00837372,0.03909566,0.0333008,0.00453903,0.00399169,0.00056513,0.00049433,7.04e-05,5.186e-05,30.89772372,30.039733,-0.85799072
1,0.0008,0.19482907,7.96e-05,4.83809506,5.929654,9.68642023,9.0812646,1.18420551,1.0478631,0.24086052,0.2108145,0.00711668,0.00842063,0.03924245,0.03341822,0.00456361,0.00401073,0.00056789,0.00049657,7.072e-05,5.21e-05,16.19597173,16.316074,0.12010227
2,0.0011,0.04913944,4.7e-07,3.81713667,4.7522821,8.97760492,8.7653526,1.18669747,1.0533522,0.24270299,0.2123632,0.00725284,0.00852035,0.03954125,0.03366802,0.00461275,0.00405121,0.0005734,0.00050132,7.142e-05,5.26e-05,14.32533314,14.830144,0.50481086
3,0.0015,0.00830323,0.0,2.85730298,3.4726547,8.10017393,8.3352181,1.18746455,1.0585474,0.2446702,0.21399616,0.00741158,0.00862611,0.03986498,0.03393291,0.0046661,0.00409413,0.00057942,0.00050636,7.215e-05,5.314e-05,12.45050912,13.127629,0.67711988
4,0.0021,0.00080191,0.0,1.99817518,2.2280773,7.06179685,7.7609115,1.1851684,1.0627303,0.24665193,0.21561801,0.00759328,0.00873214,0.04019831,0.03419845,0.00472125,0.00413717,0.00058567,0.00051142,7.291e-05,5.367e-05,10.54576569,11.31497,0.76920431
5,0.0029,3.553e-05,0.0,1.27517979,1.191786,5.90311118,7.0156304,1.17863816,1.0654669,0.24864082,0.21722058,0.0078063,0.00883835,0.04054279,0.03446438,0.00477855,0.00418029,0.00059219,0.00051648,7.371e-05,5.421e-05,8.65939901,9.5381576,0.87875859
6,0.0041,5.3e-07,0.0,0.72141119,0.49471791,4.69988885,6.0842634,1.16635711,1.0661594,0.25062874,0.21879438,0.00806252,0.00894474,0.04090092,0.03473065,0.00483858,0.00422349,0.00059905,0.00052156,7.452e-05,5.475e-05,6.89276201,7.9124103,1.01964829
7,0.0057,0.0,0.0,0.3520139,0.14448012,3.5499498,4.9786373,1.14642123,1.0639771,0.25260403,0.2203259,0.00837854,0.00905128,0.04127622,0.0349972,0.00490211,0.00426677,0.00060634,0.00052664,7.537e-05,5.528e-05,5.35622754,6.4563176,1.10009006
8,0.008,0.0,0.0,0.14542132,0.02598087,2.54283814,3.7556876,1.11656915,1.0577784,0.25455055,0.22179633,0.00877767,0.00915798,0.04167361,0.03526398,0.00497026,0.00431013,0.0006142,0.00053173,7.627e-05,5.582e-05,4.11549118,5.1105629,0.99507172
9,0.0112,0.0,0.0,0.05040456,0.00240188,1.72982671,2.5293007,1.07433985,1.0473996,0.25644493,0.22371497,0.00929255,0.00944072,0.04209984,0.0355958,0.00504455,0.00436517,0.0006228,0.00053835,7.722e-05,5.648e-05,3.16815301,3.8528137,0.68466069
10,0.0158,0.0,0.0,0.01453354,8.928e-05,1.11716666,1.4540297,1.01745947,1.0322534,0.2582557,0.22670856,0.00996891,0.01013608,0.04256436,0.03606774,0.00512712,0.00444563,0.0006324,0.00054825,7.824e-05,5.737e-05,2.46578641,2.764336,0.29854959
11,0.0221,0.0,0.0,0.00343421,9.6e-07,0.68280288,0.67025323,0.94451877,1.0076774,0.25994323,0.23009547,0.01087095,0.01107501,0.04308059,0.03658884,0.00522102,0.00453549,0.00064337,0.00055919,7.936e-05,5.829e-05,1.95059438,1.9608438,0.01024942
12,0.031,0.0,0.0,0.00063799,0.0,0.39462847,0.22747147,0.8558893,0.97018238,0.26145921,0.2339121,0.01208863,0.01229785,0.04366737,0.03717623,0.00533049,0.00463769,0.00065619,0.00057154,8.06e-05,5.925e-05,1.57443826,1.4863085,-0.08812976
