hPa,LBL_g1,PAR_g1,LBL_g2,PAR_g2,LBL_g3,PAR_g3,LBL_g4,PAR_g4,LBL_g5,PAR_g5,LBL_g6,PAR_g6,LBL_g7,PAR_g7,LBL_g8,PAR_g8,LBL_g9,PAR_g9,LBL_g10,PAR_g10,LBL_tot,PAR_tot,PAR - LBL
371.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000141,0.0,0.012976,0.0,0.108648,0.00516447,12.885854,12.886833,13.00762,12.891997,-0.115623
394.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000119,0.0,0.012062,0.0,0.099539,0.00263806,12.863046,12.853253,12.97477,12.855891,-0.118879
418.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000101,0.0,0.011246,0.0,0.092019,0.00128874,12.84046,12.817045,12.94382,12.818333,-0.125487
442.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5e-05,0.0,0.010513,0.0,0.085777,0.00060093,12.818243,12.778154,12.91462,12.778755,-0.135865
466.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3e-05,0.0,0.009852,0.0,0.080557,0.00026777,12.796509,12.736575,12.88699,12.736843,-0.150147
489.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2e-05,0.0,0.009255,0.0,0.076148,0.00011415,12.775338,12.69232,12.8608,12.692434,-0.168366
513.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3e-05,0.0,0.008714,0.0,0.072379,4.66e-05,12.754775,12.64541,12.83592,12.645456,-0.190464
537.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6e-05,0.0,0.008223,0.0,0.069116,1.816e-05,12.734838,12.595833,12.81222,12.595851,-0.216369
561.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.007775,0.0,0.066256,6.76e-06,12.715524,12.543592,12.78959,12.543598,-0.245992
585.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4e-05,0.0,0.007366,0.0,0.063718,2.41e-06,12.696814,12.488695,12.76793,12.488697,-0.279233
608.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-05,0.0,0.006992,0.0,0.061441,8.2e-07,12.67868,12.431159,12.74714,12.43116,-0.31598
632.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6e-05,0.0,0.006649,0.0,0.059379,2.7e-07,12.66109,12.37101,12.72714,12.37101,-0.35613
656.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3e-05,0.0,0.006333,0.0,0.057496,8e-08,12.644008,12.308235,12.70786,12.308235,-0.399625
680.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0,0.006043,0.0,0.055765,2e-08,12.627401,12.242834,12.68923,12.242834,-0.446396
