,hPa,LBL_g1,PAR_g1,LBL_g2,PAR_g2,LBL_g3,PAR_g3,LBL_g4,PAR_g4,LBL_g5,PAR_g5,LBL_g6,PAR_g6,LBL_g7,PAR_g7,LBL_g8,PAR_g8,LBL_g9,PAR_g9,LBL_g10,PAR_g10,LBL_tot,PAR_tot,PAR - LBL
0,0.0003,35.94465808,39.653772,10.10997851,9.156331,11.60330202,8.5609917,1.19313169,0.93448675,0.24009461,0.18448546,0.00701695,0.00817489,0.03909696,0.02846742,0.00453904,0.00346959,0.00056513,0.00042512,7.038e-05,3.705e-05,59.14245337,58.530641,-0.61181237
1,0.0008,5.5201995,4.0153903,8.66221786,8.4758287,11.24931364,8.4663446,1.19506123,0.93702643,0.24105303,0.18511118,0.00711716,0.00822026,0.03924558,0.02856762,0.00456364,0.00348573,0.00056788,0.00042706,7.073e-05,3.722e-05,26.91941026,22.120439,-4.79897126
2,0.0011,2.94547846,1.049787,7.90459177,8.0695006,11.02551457,8.413284,1.20191883,0.94314061,0.24297452,0.18645141,0.00725353,0.00831671,0.03954566,0.02878064,0.00461279,0.00352002,0.00057341,0.00043119,7.145e-05,3.757e-05,23.37253498,18.70325,-4.66928498
3,0.0015,1.40783278,0.16417038,7.0047797,7.5131463,10.7183581,8.3333128,1.20878655,0.94949487,0.24505366,0.18787088,0.00741256,0.008419,0.03987119,0.02900655,0.00466615,0.00355639,0.00057942,0.00043557,7.214e-05,3.796e-05,20.63741226,17.189451,-3.44796126
4,0.0021,0.57652813,0.01273093,5.99339281,6.7752788,10.30294126,8.2149439,1.21497233,0.95565282,0.24719382,0.18929118,0.00759467,0.00852156,0.04020708,0.02923306,0.00472132,0.00359287,0.00058567,0.00043996,7.294e-05,3.834e-05,18.38821003,16.189723,-2.19848703
5,0.0029,0.19031727,0.00037938,4.9269807,5.8412008,9.75341315,8.0443032,1.22015719,0.96151775,0.24940685,0.19070968,0.00780829,0.00862432,0.04055514,0.02945998,0.00477866,0.00362941,0.00059219,0.00044436,7.371e-05,3.872e-05,16.39408315,15.080308,-1.31377515
6,0.0041,0.04661044,3.04e-06,3.87106213,4.7271274,9.04635328,7.8035538,1.22390967,0.9669613,0.25171174,0.1921245,0.00806535,0.00872725,0.04091835,0.0296873,0.00483873,0.00366601,0.00059905,0.00044877,7.451e-05,3.91e-05,14.49414326,13.732338,-0.76180526
7,0.0057,0.00755255,0.0,2.88238432,3.5001399,8.1685553,7.470768,1.22563749,0.97180177,0.25413487,0.1935329,0.00838258,0.00883037,0.0413008,0.02991498,0.00490233,0.00370269,0.00060634,0.00045318,7.537e-05,3.949e-05,12.59353195,12.179183,-0.41434895
8,0.008,0.00068865,0.0,2.00230024,2.2878686,7.12788797,7.0208429,1.2245393,0.9757843,0.25671333,0.19493135,0.00878345,0.00893368,0.04170829,0.03014307,0.00497058,0.00373944,0.0006142,0.0004576,7.627e-05,3.987e-05,10.66828228,10.522741,-0.14554128
9,0.0112,2.822e-05,0.0,1.26594139,1.2562608,5.96428075,6.4306694,1.21954487,0.98008801,0.25949785,0.19686436,0.00930082,0.00921235,0.04214878,0.03043075,0.005045,0.00378695,0.00062281,0.00046341,7.722e-05,4.034e-05,8.76648771,8.9078164,0.14132869
10,0.0158,3.8e-07,0.0,0.70650857,0.54092297,4.75344539,5.6823487,1.20926925,0.98608929,0.26255926,0.20003089,0.00998077,0.00990244,0.04263342,0.03084945,0.00512776,0.00385828,0.00063241,0.00047224,7.824e-05,4.098e-05,6.99023545,7.4545152,0.46427975
11,0.0221,0.0,0.0,0.33798728,0.16612905,3.59420009,4.7710738,1.19199673,0.99132675,0.2659977,0.20383147,0.01088799,0.01083679,0.04317805,0.03132373,0.00522192,0.00393964,0.00064338,0.0004822,7.936e-05,4.163e-05,5.4501925,6.178985,0.7287925
12,0.031,0.0,0.0,0.13578552,0.03199607,2.57839815,3.7284181,1.1657272,0.99502053,0.26995302,0.20837468,0.01211322,0.01205571,0.04380487,0.03186967,0.00533178,0.00403377,0.00065621,0.00049364,8.06e-05,4.232e-05,4.21185057,5.0123045,0.80045393
13,0.0435,0.0,0.0,0.0453277,0.0032451,1.7605375,2.634748,1.12890798,0.99722692,0.27476435,0.21422612,0.01379193,0.01375572,0.04456881,0.03254995,0.0054672,0.00415155,0.00067208,0.00050784,8.209e-05,4.31e-05,3.27411963,3.9004543,0.62633467
14,0.0611,0.0,0.0,0.01250929,0.00013645,1.15953268,1.6214703,1.09620151,1.0100263,0.28530393,0.22491903,0.0163717,0.01630675,0.04628423,0.03394681,0.00576178,0.0043889,0.00070695,0.000537,8.575e-05,4.503e-05,2.62275783,2.9117767,0.28901887
15,0.0856,0.0,0.0,0.00267545,1.61e-06,0.74958602,0.82144141,1.09013262,1.0531573,0.31035292,0.24724137,0.02064803,0.02057427,0.05052213,0.03718752,0.0064731,0.00493438,0.00079321,0.00060596,9.56e-05,5.033e-05,2.23127907,2.1851942,-0.04608487
16,0.1201,0.0,0.0,0.00034982,0.0,0.46556228,0.31036929,1.08805905,1.1061358,0.34855537,0.28022855,0.02702058,0.0268229,0.05735256,0.04221898,0.00762136,0.00578752,0.00093764,0.00071687,0.00011243,5.932e-05,1.99557109,1.7723392,-0.22323189
17,0.1685,0.0,0.0,1.872e-05,0.0,0.26862881,0.07603023,1.05252885,1.1309683,0.39339676,0.31970802,0.0357221,0.03529241,0.06599884,0.04843091,0.0090954,0.00685567,0.00113029,0.00085919,0.00013498,7.094e-05,1.82665474,1.6182157,-0.20843904
18,0.2364,0.0,0.0,2.2e-07,0.0,0.14241956,0.0100402,0.97135681,1.103021,0.44413865,0.36575865,0.04759053,0.04665237,0.07682625,0.05604356,0.01098033,0.00818494,0.0013856,0.00104069,0.00016513,8.587e-05,1.69486308,1.5908273,-0.10403578
19,0.3315,0.0,0.0,0.0,0.0,0.06748613,0.00055215,0.83926236,0.99624089,0.49896175,0.4182882,0.06379534,0.0619459,0.09037073,0.06544681,0.01340726,0.00985415,0.00172546,0.00127412,0.00020581,0.00010513,1.57521486,1.5537073,-0.02150756
20,0.4651,0.0,0.0,0.0,0.0,0.02561587,8.72e-06,0.66229623,0.79589246,0.55297735,0.47670257,0.08586814,0.08285832,0.1072273,0.07749371,0.01654562,0.01204023,0.002179,0.00158925,0.00026105,0.00013192,1.45297056,1.4467172,-0.00625336
21,0.6524,0.0,0.0,0.0,0.0,0.0059797,2e-08,0.4620008,0.52236623,0.59707633,0.53763019,0.11582054,0.11170061,0.12812964,0.09404546,0.02063084,0.01516667,0.00278676,0.00206319,0.00033662,0.00017704,1.33276123,1.2831494,-0.04961183
22,0.9151,0.0,0.0,0.0,0.0,0.00054618,0.0,0.26963206,0.24870306,0.6064,0.57915773,0.15392391,0.14847221,0.14969784,0.11203786,0.02515677,0.01861502,0.00347081,0.0025868,0.00042119,0.00022314,1.20924877,1.1097958,-0.09945297
23,1.2836,0.0,0.0,0.0,0.0,9.51e-06,0.0,0.12368365,0.07293506,0.55316738,0.56689805,0.19600083,0.18916174,0.1608328,0.12471972,0.02790462,0.0210426,0.00385795,0.0029256,0.00045792,0.00023855,1.06591468,0.97792131,-0.08799337
24,1.8006,0.0,0.0,0.0,0.0,1e-08,0.0,0.04139962,0.01141707,0.45766605,0.50205947,0.24295947,0.23722704,0.16385034,0.1344649,0.02907977,0.02295313,0.00395967,0.00314353,0.00044509,0.00023135,0.93936002,0.9114965,-0.02786352
25,2.5257,0.0,0.0,0.0,0.0,0.0,0.0,0.00870801,0.00078665,0.34249679,0.3980411,0.29730879,0.2920453,0.17128555,0.14699031,0.03114174,0.02555376,0.00416235,0.00342785,0.00043624,0.00022627,0.85553946,0.86707123,0.01153177
26,3.5428,0.0,0.0,0.0,0.0,0.0,0.0,0.0011633,1.675e-05,0.22018168,0.26889517,0.34848721,0.35167791,0.18747972,0.16578074,0.03511107,0.02969518,0.00461081,0.00388242,0.00044759,0.00023215,0.79748138,0.82018032,0.02269894
27,4.9695,0.0,0.0,0.0,0.0,0.0,0.0,0.0001327,6e-08,0.1140776,0.13781387,0.37115774,0.3909472,0.21354504,0.18979587,0.04166442,0.03548544,0.00538778,0.00450865,0.00048442,0.00024994,0.7464497,0.75880103,0.01235133
