,hPa,LBL_g1,PAR_g1,LBL_g2,PAR_g2,LBL_g3,PAR_g3,LBL_g4,PAR_g4,LBL_g5,PAR_g5,LBL_g6,PAR_g6,LBL_g7,PAR_g7,LBL_g8,PAR_g8,LBL_g9,PAR_g9,LBL_g10,PAR_g10,LBL_tot,PAR_tot,PAR - LBL
0,0.0003,35.94465808,40.458584,10.10997851,9.7802994,11.60330202,9.8507848,1.19313169,1.0482094,0.24009461,0.21012971,0.00701695,0.00837374,0.03909696,0.0333009,0.00453904,0.00399169,0.00056513,0.00049433,7.038e-05,5.186e-05,59.14245337,61.39422,2.25176663
1,0.0008,5.5201995,2.8299103,8.66221786,9.0008517,11.24931364,9.722312,1.19506123,1.0509727,0.24105303,0.21086115,0.00711716,0.00842067,0.03924558,0.03341844,0.00456364,0.00401073,0.00056788,0.00049657,7.073e-05,5.21e-05,26.91941026,22.861306,-4.05810426
2,0.0011,2.94547846,0.6139751,7.90459177,8.5354624,11.02551457,9.6456788,1.20191883,1.0577471,0.24297452,0.21242915,0.00725353,0.00852041,0.03954566,0.03366834,0.00461279,0.00405121,0.00057341,0.00050132,7.145e-05,5.26e-05,23.37253498,20.112086,-3.26044898
3,0.0015,1.40783278,0.0744944,7.0047797,7.9026193,10.7183581,9.5334276,1.20878655,1.0647682,0.24505366,0.21408961,0.00741256,0.00862618,0.03987119,0.03393335,0.00466615,0.00409413,0.00057942,0.00050636,7.214e-05,5.314e-05,20.63741226,18.836612,-1.80080026
4,0.0021,0.57652813,0.00409265,5.99339281,7.0704048,10.30294126,9.371114,1.21497233,1.0715397,0.24719382,0.21575062,0.00759467,0.00873225,0.04020708,0.03419908,0.00472132,0.00413717,0.00058567,0.00051142,7.294e-05,5.367e-05,18.38821003,17.780535,-0.60767503
5,0.0029,0.19031727,7.623e-05,4.9269807,6.0280999,9.75341315,9.1410836,1.22015719,1.0779412,0.24940685,0.21740894,0.00780829,0.00883851,0.04055514,0.03446527,0.00477866,0.0041803,0.00059219,0.00051648,7.371e-05,5.421e-05,16.39408315,16.512665,0.11858185
6,0.0041,0.04661044,3.2e-07,3.87106213,4.8024535,9.04635328,8.8210094,1.22390967,1.0838114,0.25171174,0.21906212,0.00806535,0.00894496,0.04091835,0.03473192,0.00483873,0.0042235,0.00059905,0.00052156,7.451e-05,5.475e-05,14.49414326,14.974813,0.48066974
7,0.0057,0.00755255,0.0,2.88238432,3.4783867,8.1685553,8.3841559,1.22563749,1.0889225,0.25413487,0.2207066,0.00838258,0.00905159,0.0413008,0.034999,0.00490233,0.00426678,0.00060634,0.00052664,7.537e-05,5.528e-05,12.59353195,13.221071,0.62753905
8,0.008,0.00068865,0.0,2.00230024,2.2044614,7.12788797,7.8012578,1.2245393,1.0929548,0.25671333,0.22233774,0.00878345,0.00915843,0.04170829,0.03526654,0.00497058,0.00431015,0.0006142,0.00053173,7.627e-05,5.582e-05,10.66828228,11.370334,0.70205172
9,0.0112,2.822e-05,0.0,1.26594139,1.159313,5.96428075,7.0472709,1.21954487,1.0969209,0.25949785,0.22448705,0.00930082,0.00944137,0.04214878,0.03559945,0.005045,0.00436519,0.00062281,0.00053835,7.722e-05,5.648e-05,8.76648771,9.5779927,0.81150499
