hPa,LBL_g1,PAR_g1,LBL_g2,PAR_g2,LBL_g3,PAR_g3,LBL_g4,PAR_g4,LBL_g5,PAR_g5,LBL_g6,PAR_g6,LBL_g7,PAR_g7,LBL_g8,PAR_g8,LBL_g9,PAR_g9,LBL_g10,PAR_g10,LBL_tot,PAR_tot,PAR - LBL
0.0,0.000804,0.00080422,0.001635,0.00163471,0.009604,0.00960379,0.023339,0.02333896,0.062986,0.0629855,0.129177,0.12917701,0.335439,0.33543926,0.752369,0.75236878,0.758344,0.75834386,13.119028,13.119028,15.19272,15.192724,4e-06
0.0006,8e-06,1e-08,0.001061,0.00105463,0.008798,0.00898583,0.023251,0.02326991,0.062968,0.06297186,0.129176,0.12917641,0.335436,0.33543715,0.752368,0.75236853,0.758344,0.75834383,13.119028,13.119028,15.19044,15.190636,0.000196
0.0009,3e-06,0.0,0.000917,0.00088352,0.008509,0.00874807,0.023216,0.02324207,0.062961,0.06296634,0.129176,0.12917616,0.335435,0.3354363,0.752368,0.75236842,0.758344,0.75834382,13.119028,13.119028,15.18996,15.190193,0.000233
0.0012,1e-06,0.0,0.000757,0.00068825,0.008134,0.00842456,0.023166,0.0232028,0.06295,0.06295855,0.129176,0.12917581,0.335434,0.3354351,0.752368,0.75236827,0.758344,0.7583438,13.119028,13.119028,15.18936,15.189625,0.000265
0.0017,0.0,0.0,0.00059,0.00048373,0.007659,0.00798985,0.023097,0.02314744,0.062936,0.06294755,0.129176,0.12917532,0.335431,0.3354334,0.752368,0.75236807,0.758344,0.75834377,13.119028,13.119028,15.18863,15.188917,0.000287
0.0024,0.0,0.0,0.000425,0.00029407,0.007079,0.00741645,0.022999,0.02306944,0.062916,0.06293199,0.129175,0.12917462,0.335428,0.33543099,0.752367,0.75236777,0.758344,0.75834374,13.119028,13.119028,15.18776,15.188057,0.000297
0.0034,0.0,0.0,0.000278,0.00014565,0.006398,0.00667928,0.022863,0.02295969,0.062887,0.06291001,0.129174,0.12917362,0.335423,0.3354276,0.752367,0.75236735,0.758344,0.75834369,13.119028,13.119028,15.18676,15.187035,0.000275
0.0048,0.0,0.0,0.000162,5.403e-05,0.005638,0.00576516,0.022675,0.02280553,0.062847,0.06287896,0.129173,0.12917221,0.335417,0.33542279,0.752366,0.75236676,0.758344,0.75834361,13.119028,13.119028,15.18565,15.185837,0.000187
0.0067,0.0,0.0,8.2e-05,1.333e-05,0.004832,0.0046877,0.022414,0.02258951,0.062789,0.06283511,0.129171,0.12917021,0.335407,0.33541601,0.752365,0.75236592,0.758343,0.75834351,13.119028,13.119028,15.18443,15.184449,1.9e-05
0.0094,0.0,0.0,3.6e-05,1.85e-06,0.004023,0.00350468,0.022059,0.02228783,0.062708,0.0627732,0.129168,0.12916736,0.335394,0.33540641,0.752363,0.75236473,0.758343,0.75834337,13.119028,13.119028,15.18312,15.182878,-0.000242
0.0131,0.0,0.0,1.3e-05,1.1e-07,0.00325,0.00232822,0.021579,0.02186788,0.062594,0.06268556,0.129164,0.12916325,0.335375,0.33539283,0.752361,0.75236304,0.758343,0.75834316,13.119028,13.119028,15.18171,15.181172,-0.000538
0.0184,0.0,0.0,4e-06,0.0,0.002551,0.00130937,0.020942,0.02128523,0.062432,0.06256081,0.129158,0.12915705,0.335349,0.33537351,0.752358,0.75236062,0.758343,0.75834286,13.119028,13.119028,15.18016,15.179418,-0.000742
0.0258,0.0,0.0,1e-06,0.0,0.001951,0.00058233,0.020113,0.02048324,0.062204,0.06238283,0.129148,0.12914753,0.335311,0.33534599,0.752353,0.75235716,0.758342,0.75834244,13.119028,13.119028,15.17845,15.17767,-0.00078
0.0362,0.0,0.0,0.0,0.0,0.001465,0.000186,0.019058,0.01939233,0.061882,0.06212825,0.129133,0.12913268,0.335257,0.33530673,0.752347,0.75235219,0.758341,0.75834183,13.119028,13.119028,15.17651,15.175868,-0.000642
0.0508,0.0,0.0,0.0,0.0,0.001087,3.721e-05,0.017753,0.0179323,0.061427,0.06176248,0.129109,0.12910891,0.33518,0.33525048,0.752337,0.75234501,0.75834,0.75834095,13.119028,13.119028,15.17426,15.173805,-0.000455
0.0713,0.0,0.0,0.0,0.0,0.00079,3.8e-06,0.016157,0.01600016,0.060776,0.06122671,0.12907,0.12906939,0.335069,0.33516821,0.752323,0.75233437,0.758338,0.75833965,13.119028,13.119028,15.17155,15.17117,-0.00038
0.1,0.0,0.0,0.0,0.0,0.000538,1.4e-07,0.014178,0.01345771,0.059804,0.06040736,0.129,0.12899947,0.334898,0.33504182,0.752301,0.75231759,0.758336,0.75833759,13.119027,13.119028,15.16808,15.167589,-0.000491
0.1403,0.0,0.0,0.0,0.0,0.000317,0.0,0.011762,0.01027382,0.058318,0.05912148,0.128872,0.12887168,0.334628,0.33484062,0.752265,0.75228998,0.758331,0.75833417,13.119027,13.119027,15.16352,15.162759,-0.000761
0.1968,0.0,0.0,0.0,0.0,0.000143,0.0,0.009004,0.00672756,0.056068,0.05710599,0.128635,0.12863607,0.334192,0.33451706,0.752204,0.7522441,0.758324,0.75832842,13.119026,13.119027,15.1576,15.156586,-0.001014
0.276,0.0,0.0,0.0,0.0,3.9e-05,0.0,0.006149,0.00345483,0.052729,0.05397866,0.128194,0.12820004,0.333486,0.33399235,0.752101,0.75216728,0.758311,0.75831865,13.119024,13.119026,15.15003,15.149138,-0.000892
0.3871,0.0,0.0,0.0,0.0,4e-06,0.0,0.003575,0.00120625,0.047941,0.04923123,0.127371,0.12739116,0.332331,0.33313449,0.751925,0.75203761,0.758288,0.75830188,13.119022,13.119025,15.14046,15.140327,-0.000133
