hPa,LBL_g1,PAR_g1,LBL_g2,PAR_g2,LBL_g3,PAR_g3,LBL_g4,PAR_g4,LBL_g5,PAR_g5,LBL_g6,PAR_g6,LBL_g7,PAR_g7,LBL_g8,PAR_g8,LBL_g9,PAR_g9,LBL_g10,PAR_g10,LBL_tot,PAR_tot,PAR - LBL
0.0,0.003107,0.0031075,0.006316,0.00631649,0.037109,0.03710893,0.090181,0.09018146,0.243375,0.24337521,0.499138,0.49913837,1.296133,1.2961331,2.907144,2.9071437,2.930231,2.9302313,50.691764,50.691763,58.7045,58.704499,-1e-06
0.0006,0.000449,0.00011468,0.005569,0.00559302,0.036251,0.03638024,0.090093,0.09010392,0.243357,0.24335966,0.499138,0.49913775,1.29613,1.2961307,2.907143,2.9071434,2.930231,2.9302313,50.691764,50.691763,58.70013,58.699957,-0.000173
0.0009,0.000284,3.037e-05,0.005311,0.00532484,0.035916,0.03609056,0.090058,0.09007261,0.24335,0.24335338,0.499138,0.4991375,1.296129,1.2961297,2.907143,2.9071433,2.930231,2.9302313,50.691764,50.691763,58.69932,58.699276,-4.4e-05
0.0012,0.000161,4.71e-06,0.00498,0.00496819,0.035455,0.03568753,0.090007,0.09002841,0.24334,0.2433445,0.499137,0.49913714,1.296127,1.2961283,2.907143,2.9071431,2.930231,2.9302312,50.691764,50.691762,58.69835,58.698436,8.6e-05
0.0017,7.9e-05,3.5e-07,0.00457,0.00450495,0.034827,0.03512869,0.089937,0.08996599,0.243326,0.24333195,0.499137,0.49913664,1.296125,1.2961263,2.907143,2.9071428,2.930231,2.9302312,50.691764,50.691762,58.69714,58.697331,0.000191
0.0024,3.1e-05,1e-08,0.004077,0.00392364,0.03398,0.03435822,0.089837,0.08987789,0.243305,0.24331421,0.499136,0.49913592,1.296122,1.2961235,2.907142,2.9071425,2.930231,2.9302312,50.691764,50.691762,58.69563,58.69587,0.00024
0.0034,9e-06,0.0,0.003509,0.00322842,0.032855,0.03330398,0.089696,0.08975357,0.243277,0.24328914,0.499135,0.4991349,1.296117,1.2961195,2.907142,2.907142,2.930231,2.9302311,50.691764,50.691762,58.69374,58.693965,0.000225
0.0048,2e-06,0.0,0.002883,0.00245147,0.031392,0.0318769,0.089498,0.08957823,0.243236,0.2432537,0.499134,0.49913345,1.296111,1.2961139,2.907141,2.9071413,2.930231,2.930231,50.691764,50.691762,58.69139,58.691542,0.000152
0.0067,0.0,0.0,0.002229,0.00166213,0.029538,0.0299743,0.08922,0.08933113,0.243178,0.24320362,0.499132,0.4991314,1.296101,1.2961059,2.90714,2.9071404,2.930231,2.9302309,50.691764,50.691762,58.68853,58.688542,1.2e-05
0.0094,0.0,0.0,0.001591,0.00096041,0.027269,0.02749104,0.08883,0.08898322,0.243097,0.24313284,0.499129,0.49912848,1.296088,1.2960947,2.907138,2.907139,2.930231,2.9302307,50.691764,50.691762,58.68514,58.684923,-0.000217
0.0131,0.0,0.0,0.001026,0.00044278,0.024607,0.02434444,0.088286,0.08849345,0.242981,0.24303261,0.499125,0.49912427,1.296069,1.2960788,2.907136,2.9071371,2.93023,2.9302305,50.691764,50.691762,58.68122,58.680646,-0.000574
0.0184,0.0,0.0,0.000584,0.00014837,0.02163,0.02051906,0.087528,0.08780331,0.242816,0.24288992,0.499119,0.49911792,1.296042,1.2960562,2.907133,2.9071343,2.93023,2.9302301,50.691764,50.691762,58.67685,58.675662,-0.001188
0.0258,0.0,0.0,0.000287,3.168e-05,0.018472,0.01613332,0.086481,0.08683234,0.242583,0.24268637,0.499109,0.49910819,1.296004,1.2960241,2.907128,2.9071303,2.93023,2.9302297,50.691764,50.691762,58.67206,58.669938,-0.002122
0.0362,0.0,0.0,0.00012,3.58e-06,0.015295,0.01150189,0.085045,0.08546956,0.24225,0.24239527,0.499094,0.49909303,1.29595,1.2959782,2.907122,2.9071246,2.930229,2.930229,50.691763,50.691762,58.66687,58.663557,-0.003313
0.0508,0.0,0.0,4.1e-05,1.6e-07,0.012252,0.00714232,0.083094,0.08356204,0.241775,0.24197703,0.499071,0.49906882,1.295873,1.2959127,2.907112,2.9071163,2.930228,2.9302279,50.691763,50.691762,58.66121,58.65677,-0.00444
0.0713,0.0,0.0,1.1e-05,0.0,0.009441,0.00363999,0.080436,0.08086717,0.241083,0.24136353,0.499031,0.49902863,1.295761,1.2958171,2.907098,2.9071041,2.930226,2.9302264,50.691763,50.691762,58.65485,58.649809,-0.005041
0.1,0.0,0.0,2e-06,0.0,0.006892,0.00138738,0.076729,0.07695274,0.240028,0.24042033,0.498961,0.49895756,1.295589,1.2956702,2.907076,2.9070849,2.930223,2.9302241,50.691763,50.691762,58.64726,58.642459,-0.004801
0.1403,0.0,0.0,0.0,0.0,0.004671,0.00034463,0.071538,0.07123442,0.238365,0.23892353,0.498832,0.49882758,1.295316,1.2954363,2.90704,2.9070533,2.930219,2.9302201,50.691762,50.691761,58.63774,58.633801,-0.003939
0.1968,0.0,0.0,0.0,0.0,0.002873,4.584e-05,0.064495,0.06312743,0.235733,0.23653367,0.498593,0.49858758,1.294874,1.2950596,2.906979,2.9070005,2.930211,2.9302135,50.691761,50.691761,58.62552,58.622329,-0.003191
0.276,0.0,0.0,0.0,0.0,0.001537,2.45e-06,0.055378,0.05221598,0.231564,0.23270968,0.498146,0.49814227,1.294153,1.2944478,2.906876,2.9069121,2.930198,2.9302023,50.69176,50.69176,58.60961,58.606392,-0.003218
0.3871,0.0,0.0,0.0,0.0,0.000649,3e-08,0.044332,0.03871845,0.224997,0.22659972,0.497307,0.49731237,1.292964,1.293446,2.9067,2.9067626,2.930175,2.930183,50.691757,50.691758,58.58888,58.58478,-0.0041
0.5431,0.0,0.0,0.0,0.0,0.000175,0.0,0.032093,0.02408625,0.214779,0.21685888,0.49572,0.4957506,1.290982,1.2917802,2.906394,2.9065059,2.930135,2.9301491,50.691752,50.691754,58.56203,58.556885,-0.005145
0.7617,0.0,0.0,0.0,0.0,2e-05,0.0,0.02013,0.01128588,0.199317,0.20148874,0.492721,0.49278526,1.287664,1.2889394,2.90586,2.9060501,2.930063,2.9300871,50.691743,50.691748,58.52752,58.522384,-0.005136
