,hPa,LBL_g1,PAR_g1,LBL_g2,PAR_g2,LBL_g3,PAR_g3,LBL_g4,PAR_g4,LBL_g5,PAR_g5,LBL_g6,PAR_g6,LBL_g7,PAR_g7,LBL_g8,PAR_g8,LBL_g9,PAR_g9,LBL_g10,PAR_g10,LBL_tot,PAR_tot,PAR - LBL
0,0.0003,10.75928167,10.871755,7.75883274,7.8418292,10.89971088,8.3539835,1.18859681,0.93346016,0.24001466,0.18447046,0.00701675,0.00817487,0.03909566,0.02846735,0.00453903,0.00346959,0.00056513,0.00042512,7.04e-05,3.705e-05,30.89772372,28.226072,-2.67165172
1,0.0008,0.19482907,0.00039327,4.83809506,5.7429621,9.68642023,7.9796241,1.18420551,0.93455477,0.24086052,0.18507526,0.00711668,0.00822022,0.03924245,0.02856746,0.00456361,0.00348572,0.00056789,0.00042706,7.072e-05,3.722e-05,16.19597173,14.883347,-1.31262473
2,0.0011,0.04913944,3.52e-06,3.81713667,4.6733761,8.97760492,7.7425324,1.18669747,0.93964662,0.24270299,0.18640064,0.00725284,0.00831666,0.03954125,0.02878041,0.00461275,0.00352002,0.0005734,0.00043119,7.142e-05,3.757e-05,14.32533314,13.583045,-0.74228814
3,0.0015,0.00830323,2e-08,2.85730298,3.4889573,8.10017393,7.4159459,1.18746455,0.94454823,0.2446702,0.18779894,0.00741158,0.00841892,0.03986498,0.02900622,0.0046661,0.00355639,0.00057942,0.00043557,7.215e-05,3.796e-05,12.45050912,12.078705,-0.37180412
4,0.0021,0.00080191,0.0,1.99817518,2.3068248,7.06179685,6.9740758,1.1851684,0.94864559,0.24665193,0.18918911,0.00759328,0.00852146,0.04019831,0.0292326,0.00472125,0.00359286,0.00058567,0.00043996,7.291e-05,3.834e-05,10.54576569,10.460561,-0.08520469
5,0.0029,3.553e-05,0.0,1.27517979,1.286847,5.90311118,6.3918417,1.17863816,0.95159161,0.24864082,0.19056472,0.0078063,0.00862417,0.04054279,0.02945933,0.00477855,0.0036294,0.00059219,0.00044436,7.371e-05,3.872e-05,8.65939901,8.863041,0.20364199
6,0.0041,5.3e-07,0.0,0.72141119,0.56635403,4.69988885,5.6503154,1.16635711,0.95290789,0.25062874,0.19191849,0.00806252,0.00872704,0.04090092,0.02968637,0.00483858,0.00366601,0.00059905,0.00044877,7.452e-05,3.91e-05,6.89276201,7.4040631,0.51130109
7,0.0057,0.0,0.0,0.3520139,0.17935823,3.5499498,4.7480476,1.14642123,0.95192804,0.25260403,0.19324005,0.00837854,0.00883007,0.04127622,0.02991367,0.00490211,0.00370268,0.00060634,0.00045318,7.537e-05,3.949e-05,5.35622754,6.115513,0.75928546
8,0.008,0.0,0.0,0.14542132,0.036059,2.54283814,3.7164958,1.11656915,0.94773307,0.25455055,0.19451499,0.00877767,0.00893325,0.04167361,0.0301412,0.00497026,0.00373943,0.0006142,0.0004576,7.627e-05,3.987e-05,4.11549118,4.9381142,0.82262302
9,0.0112,0.0,0.0,0.05040456,0.00388428,1.72982671,2.6348457,1.07433985,0.94053479,0.25644493,0.19627047,0.00929255,0.00921173,0.04209984,0.03042809,0.00504455,0.00378694,0.0006228,0.00046341,7.722e-05,4.034e-05,3.16815301,3.8194657,0.65131269
10,0.0158,0.0,0.0,0.01453354,0.00017801,1.11716666,1.6267478,1.01745947,0.93030228,0.2582557,0.19917715,0.00996891,0.00990148,0.04256436,0.03084563,0.00512712,0.00385825,0.0006324,0.00047224,7.824e-05,4.098e-05,2.46578641,2.8015239,0.33573749
11,0.0221,0.0,0.0,0.00343421,2.54e-06,0.68280288,0.82756806,0.94451877,0.91287054,0.25994323,0.20259773,0.01087095,0.01083525,0.04308059,0.03131822,0.00522102,0.0039396,0.00064337,0.0004822,7.936e-05,4.163e-05,1.95059438,1.9896558,0.03906142
12,0.031,0.0,0.0,0.00063799,1e-08,0.39462847,0.32160948,0.8558893,0.88523783,0.26145921,0.20658164,0.01208863,0.01205315,0.04366737,0.03186172,0.00533049,0.00403371,0.00065619,0.00049364,8.06e-05,4.232e-05,1.57443826,1.4619135,-0.11252476
