hPa,LBL_g1,PAR_g1,LBL_g2,PAR_g2,LBL_g3,PAR_g3,LBL_g4,PAR_g4,LBL_g5,PAR_g5,LBL_g6,PAR_g6,LBL_g7,PAR_g7,LBL_g8,PAR_g8,LBL_g9,PAR_g9,LBL_g10,PAR_g10,LBL_tot,PAR_tot,PAR - LBL
0.0,0.001554,0.00155375,0.003158,0.00315825,0.018554,0.01855446,0.045091,0.04509073,0.121688,0.1216876,0.249569,0.24956918,0.648067,0.64806657,1.453572,1.4535718,1.465116,1.4651157,25.345882,25.345881,29.35225,29.352249,-1e-06
0.0006,7.9e-05,4.88e-06,0.002483,0.00251725,0.017715,0.01792659,0.045003,0.04502163,0.12167,0.12167396,0.249569,0.24956858,0.648064,0.64806447,1.453572,1.4535716,1.465116,1.4651156,25.345882,25.345881,29.34915,29.349346,0.000196
0.0009,3.8e-05,4.8e-07,0.002278,0.00229684,0.017397,0.0176795,0.044967,0.04499374,0.121663,0.12166844,0.249568,0.24956833,0.648063,0.64806361,1.453571,1.4535715,1.465116,1.4651156,25.345882,25.345881,29.34854,29.348839,0.000299
0.0012,1.5e-05,2e-08,0.002033,0.00201829,0.016969,0.01733801,0.044917,0.04495438,0.121653,0.12166065,0.249568,0.24956799,0.648061,0.64806241,1.453571,1.4535713,1.465116,1.4651156,25.345882,25.345881,29.34778,29.34817,0.00039
0.0017,5e-06,0.0,0.001749,0.00168158,0.016402,0.01686902,0.044847,0.04489882,0.121638,0.12164964,0.249568,0.24956749,0.648059,0.64806071,1.453571,1.4535711,1.465116,1.4651156,25.345882,25.345881,29.34684,29.347295,0.000455
0.0024,1e-06,0.0,0.001437,0.00129967,0.015664,0.01623116,0.044748,0.04482045,0.121618,0.12163408,0.249567,0.24956679,0.648055,0.64805831,1.453571,1.4535708,1.465116,1.4651155,25.345882,25.345881,29.34566,29.346178,0.000518
0.0034,0.0,0.0,0.001112,0.00090344,0.014732,0.01537504,0.044609,0.04470996,0.121589,0.12161209,0.249566,0.2495658,0.648051,0.64805491,1.45357,1.4535704,1.465115,1.4651155,25.345882,25.345881,29.34423,29.344788,0.000558
0.0048,0.0,0.0,0.000794,0.00054071,0.013594,0.01424728,0.044414,0.04455432,0.121548,0.12158102,0.249565,0.24956439,0.648044,0.64805011,1.453569,1.4535698,1.465115,1.4651154,25.345882,25.345881,29.34253,29.343104,0.000574
0.0067,0.0,0.0,0.000513,0.000262,0.012262,0.01280043,0.044142,0.04433538,0.121491,0.12153713,0.249563,0.24956238,0.648035,0.64804332,1.453568,1.453569,1.465115,1.4651153,25.345882,25.345881,29.34057,29.341106,0.000536
0.0094,0.0,0.0,0.000293,9.423e-05,0.010778,0.01101148,0.043765,0.04402792,0.121409,0.12147512,0.24956,0.24955954,0.648021,0.64803372,1.453567,1.4535678,1.465115,1.4651152,25.345882,25.345881,29.33839,29.338766,0.000376
