hPa,LBL_g1,PAR_g1,LBL_g2,PAR_g2,LBL_g3,PAR_g3,LBL_g4,PAR_g4,LBL_g5,PAR_g5,LBL_g6,PAR_g6,LBL_g7,PAR_g7,LBL_g8,PAR_g8,LBL_g9,PAR_g9,LBL_g10,PAR_g10,LBL_tot,PAR_tot,PAR - LBL
0.0,0.001554,0.00155375,0.003158,0.00315825,0.018554,0.01855446,0.045091,0.04509073,0.121688,0.1216876,0.249569,0.24956918,0.648067,0.64806657,1.453572,1.4535718,1.465116,1.4651157,25.345882,25.345881,29.35225,29.352249,-1e-06
0.0006,7.9e-05,2.12e-06,0.002483,0.00247621,0.017715,0.01783293,0.045003,0.04501322,0.12167,0.12167206,0.249569,0.24956856,0.648064,0.64806411,1.453572,1.4535715,1.465116,1.4651156,25.345882,25.345881,29.34915,29.349198,4.8e-05
0.0009,3.8e-05,1.5e-07,0.002278,0.00224444,0.017397,0.01755007,0.044967,0.04498194,0.121663,0.12166578,0.249568,0.24956831,0.648063,0.64806311,1.453571,1.4535714,1.465116,1.4651156,25.345882,25.345881,29.34854,29.348642,0.000102
0.0012,1.5e-05,0.0,0.002033,0.00195385,0.016969,0.01716029,0.044917,0.04493781,0.121653,0.1216569,0.249568,0.24956796,0.648061,0.64806171,1.453571,1.4535713,1.465116,1.4651156,25.345882,25.345881,29.34778,29.347907,0.000127
0.0017,5e-06,0.0,0.001749,0.00160648,0.016402,0.01662706,0.044847,0.04487552,0.121638,0.12164435,0.249568,0.24956745,0.648059,0.64805972,1.453571,1.453571,1.465116,1.4651156,25.345882,25.345881,29.34684,29.346948,0.000108
0.0024,1e-06,0.0,0.001437,0.00121863,0.015664,0.01590571,0.044748,0.04478768,0.121618,0.12162662,0.249567,0.24956673,0.648055,0.64805691,1.453571,1.4535707,1.465116,1.4651155,25.345882,25.345881,29.34566,29.34573,7e-05
0.0034,0.0,0.0,0.001112,0.00082504,0.014732,0.01494459,0.044609,0.04466386,0.121589,0.12160155,0.249566,0.24956572,0.648051,0.64805293,1.45357,1.4535702,1.465115,1.4651154,25.345882,25.345881,29.34423,29.344221,-9e-06
0.0048,0.0,0.0,0.000794,0.00047572,0.013594,0.01369127,0.044414,0.04448952,0.121548,0.12156613,0.249565,0.24956427,0.648044,0.64804731,1.453569,1.4535695,1.465115,1.4651154,25.345882,25.345881,29.34253,29.3424,-0.00013
0.0067,0.0,0.0,0.000513,0.00021869,0.012262,0.0121057,0.044142,0.04424441,0.121491,0.12151607,0.249563,0.24956221,0.648035,0.64803937,1.453568,1.4535685,1.465115,1.4651152,25.345882,25.345881,29.34057,29.340251,-0.000319
0.0094,0.0,0.0,0.000293,7.301e-05,0.010778,0.01018296,0.043765,0.04390045,0.121409,0.12144536,0.24956,0.2495593,0.648021,0.64802814,1.453567,1.4535672,1.465115,1.4651151,25.345882,25.345881,29.33839,29.337753,-0.000637
0.0131,0.0,0.0,0.000145,1.552e-05,0.009209,0.0079853,0.043245,0.04341852,0.121294,0.12134525,0.249556,0.24955508,0.648002,0.64801225,1.453564,1.4535652,1.465115,1.4651148,25.345882,25.345881,29.33601,29.334893,-0.001117
0.0184,0.0,0.0,6.1e-05,1.74e-06,0.007637,0.00567292,0.042534,0.04274394,0.121131,0.12120281,0.24955,0.24954873,0.647976,0.64798966,1.453561,1.4535624,1.465114,1.4651145,25.345882,25.345881,29.33345,29.331718,-0.001732
0.0258,0.0,0.0,2.2e-05,8e-08,0.006139,0.00350703,0.041572,0.04180381,0.120899,0.12099975,0.24954,0.249539,0.647938,0.64795751,1.453556,1.4535584,1.465114,1.465114,25.345882,25.345881,29.33066,29.328361,-0.002299
0.0362,0.0,0.0,6e-06,0.0,0.004783,0.0017825,0.040293,0.04050193,0.12057,0.12070964,0.249525,0.24952385,0.647884,0.64791169,1.45355,1.4535527,1.465113,1.4651133,25.345882,25.345881,29.32761,29.324977,-0.002633
0.0508,0.0,0.0,1e-06,0.0,0.003615,0.00068734,0.03862,0.03871426,0.120102,0.12029344,0.249502,0.24949964,0.647807,0.64784617,1.45354,1.4535445,1.465112,1.4651123,25.345881,25.345881,29.32418,29.321579,-0.002601
0.0713,0.0,0.0,0.0,0.0,0.002642,0.00017852,0.036445,0.03625746,0.119425,0.11968424,0.249462,0.24945946,0.647695,0.64775053,1.453526,1.4535323,1.46511,1.4651108,25.345881,25.345881,29.32019,29.317854,-0.002336
0.1,0.0,0.0,0.0,0.0,0.001833,2.593e-05,0.033571,0.03283228,0.1184,0.11875066,0.249392,0.24938841,0.647524,0.64760375,1.453504,1.4535131,1.465107,1.4651084,25.345881,25.345881,29.31521,29.313103,-0.002107
0.1403,0.0,0.0,0.0,0.0,0.001173,1.6e-06,0.029796,0.02813408,0.116803,0.11727664,0.249263,0.24925849,0.647251,0.64736994,1.453468,1.4534814,1.465103,1.4651045,25.34588,25.34588,29.30874,29.306507,-0.002233
0.1968,0.0,0.0,0.0,0.0,0.000656,3e-08,0.025067,0.02209476,0.114315,0.11494223,0.249025,0.24901869,0.646812,0.64699352,1.453407,1.4534287,1.465095,1.4650979,25.345879,25.345879,29.30026,29.297455,-0.002805
0.276,0.0,0.0,0.0,0.0,0.000286,0.0,0.019529,0.0151168,0.11047,0.11125578,0.24858,0.24857408,0.646096,0.64638237,1.453304,1.4533403,1.465082,1.4650866,25.345878,25.345878,29.28923,29.285634,-0.003596
0.3871,0.0,0.0,0.0,0.0,7.7e-05,0.0,0.013632,0.00831168,0.104628,0.10549028,0.247746,0.24774653,0.644919,0.64538218,1.453128,1.4531908,1.46506,1.4650673,25.345875,25.345876,29.27506,29.271065,-0.003995
0.5431,0.0,0.0,0.0,0.0,8e-06,0.0,0.008124,0.00321656,0.096012,0.0966158,0.246178,0.24619291,0.642968,0.64372089,1.452823,1.4529341,1.465019,1.4650334,25.34587,25.345873,29.257,29.253587,-0.003413
0.7617,0.0,0.0,0.0,0.0,0.0,0.0,0.003855,0.00070619,0.083951,0.08340562,0.243238,0.24325651,0.639728,0.64089284,1.45229,1.4524785,1.464947,1.4649714,25.345862,25.345867,29.23387,29.231578,-0.002292
1.0685,0.0,0.0,0.0,0.0,0.0,0.0,0.001302,6.437e-05,0.068481,0.06539978,0.237835,0.23780616,0.634483,0.63619136,1.451378,1.4516941,1.464821,1.4648623,25.345846,25.345855,29.20415,29.201873,-0.002277
1.4988,0.0,0.0,0.0,0.0,0.0,0.0,0.000256,1.73e-06,0.05109,0.04460689,0.228409,0.22822092,0.626704,0.62899085,1.449963,1.4504672,1.464625,1.4646918,25.345823,25.345838,29.16687,29.162818,-0.004052
2.1024,0.0,0.0,0.0,0.0,0.0,0.0,2.2e-05,1e-08,0.033874,0.02473681,0.212626,0.21183155,0.615751,0.61841465,1.447898,1.4486305,1.464342,1.4644404,25.345791,25.345815,29.1203,29.113869,-0.006431
2.949,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.019148,0.00983622,0.187273,0.18490135,0.599893,0.60268772,1.4448,1.4458191,1.463925,1.4640631,25.345747,25.345783,29.06079,29.053091,-0.007699
4.1366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091,0.00220227,0.150059,0.14338235,0.57589,0.57853916,1.439907,1.4413016,1.463277,1.4634695,25.345684,25.345738,28.98392,28.974632,-0.009288
5.8025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004023,0.00018013,0.103402,0.08906316,0.538492,0.54098575,1.431781,1.4337878,1.462215,1.462503,25.345589,25.345668,28.8855,28.872188,-0.013312
