,hPa,LBL_g1,PAR_g1,LBL_g2,PAR_g2,LBL_g3,PAR_g3,LBL_g4,PAR_g4,LBL_g5,PAR_g5,LBL_g6,PAR_g6,LBL_g7,PAR_g7,LBL_g8,PAR_g8,LBL_g9,PAR_g9,LBL_g10,PAR_g10,LBL_tot,PAR_tot,PAR - LBL
0,0.0003,19.94442157,20.938452,9.1267597,8.6654067,11.34853339,8.4879402,1.19154399,0.93412813,0.24006669,0.18448022,0.00701688,0.00817488,0.03909651,0.02846739,0.00453904,0.00346959,0.00056513,0.00042512,7.04e-05,3.705e-05,41.9026133,39.250981,-2.6516323
1,0.0008,1.35100009,0.147824,6.87646052,7.397528,10.66672878,8.2930847,1.19125217,0.93616267,0.24098578,0.18509864,0.00711699,0.00822025,0.03924449,0.02856757,0.00456363,0.00348573,0.00056789,0.00042706,7.072e-05,3.722e-05,20.37799106,17.000436,-3.37755506
2,0.0011,0.55206477,0.01102916,5.87999533,6.6662056,10.24334052,8.172664,1.19656755,0.94191915,0.24287966,0.18643368,0.00725329,0.00831669,0.03954412,0.02878056,0.00461277,0.00352002,0.0005734,0.00043119,7.143e-05,3.757e-05,18.16690285,16.019338,-2.14756485
3,0.0015,0.18187879,0.00031186,4.83285242,5.744153,9.68554897,8.00066,1.20127018,0.94776472,0.24491966,0.18784576,0.00741222,0.00841897,0.03986902,0.02900643,0.00466613,0.00355639,0.00057942,0.00043557,7.216e-05,3.796e-05,16.19906897,14.922191,-1.27687797
4,0.0021,0.0444394,2.33e-06,3.79611447,4.6450666,8.9695507,7.7581877,1.20442632,0.95320024,0.2470044,0.18925553,0.00759419,0.00852153,0.04020402,0.0292329,0.0047213,0.00359287,0.00058567,0.00043996,7.291e-05,3.834e-05,14.31471336,13.587538,-0.72717536
5,0.0029,0.0071787,0.0,2.82523151,3.4356195,8.08321203,7.4232718,1.20538905,0.95804008,0.24913895,0.19065905,0.00780759,0.00862426,0.04055083,0.02945976,0.00477862,0.00362941,0.00059219,0.00044436,7.371e-05,3.872e-05,12.42395319,12.049787,-0.37416619
6,0.0041,0.00065142,0.0,1.96109459,2.2421114,7.03608658,6.9708204,1.20329066,0.96203074,0.25133276,0.19205254,0.00806436,0.00872718,0.04091226,0.02968697,0.00483868,0.00366601,0.00059905,0.00044877,7.452e-05,3.91e-05,10.50694487,10.409583,-0.09736187
7,0.0057,2.649e-05,0.0,1.23888083,1.2281886,5.87028698,6.3758151,1.19697554,0.96481543,0.2535987,0.19343059,0.00838117,0.00883026,0.04129221,0.02991453,0.00490226,0.00370269,0.00060634,0.00045318,7.538e-05,3.949e-05,8.6150259,8.8051899,0.190164
8,0.008,3.5e-07,0.0,0.69130487,0.52706943,4.66321064,5.6200485,1.18494474,0.96589582,0.2559549,0.19478587,0.00878143,0.00893353,0.04169618,0.03014242,0.00497047,0.00373943,0.0006142,0.0004576,7.627e-05,3.987e-05,6.85155405,7.3511125,0.49955845
9,0.0112,0.0,0.0,0.33130644,0.16121179,3.51354738,4.7052014,1.16532188,0.96609014,0.25842544,0.19665679,0.00929793,0.00921213,0.04213168,0.03042982,0.00504484,0.00378695,0.00062281,0.00046341,7.722e-05,4.034e-05,5.32577562,6.0730928,0.74731718
