,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
21,0.6524,0.0,0.0,0.0,0.0,0.0,0.0,0.00018851,0.0,0.0,0.08750921,0.05943515,0.05942898,0.23667395,0.2476488,0.24762111,0.05687259,0.05608091,0.0560751,0.06269402,0.05077446,0.05076925,0.01030124,0.00819515,0.0081943,0.00139395,0.00111538,0.00111526,0.00016841,0.0001063,0.00010629,0.45580186,0.42335615,0.42331029,-0.03244571,-0.03249157
22,0.9151,0.0,0.0,0.0,0.0,0.0,0.0,3.18e-06,0.0,0.0,0.03798007,0.0123636,0.01236237,0.21761428,0.24416216,0.24413487,0.07455219,0.0740871,0.07407942,0.07238319,0.06024512,0.06023893,0.01254642,0.01005446,0.01005342,0.00173589,0.00139802,0.00139787,0.00021072,0.00013398,0.00013396,0.41702594,0.40244443,0.40240084,-0.01458151,-0.0146251
23,1.2836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01140301,0.00105196,0.00105187,0.1756598,0.20665416,0.20663107,0.09287586,0.0930181,0.09300846,0.07661693,0.06627351,0.0662667,0.01389543,0.01128207,0.0112809,0.00192919,0.00156877,0.00156861,0.00022909,0.00014323,0.00014321,0.37260931,0.3799918,0.37995083,0.00738249,0.00734152
24,1.8006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019049,2.764e-05,2.764e-05,0.12505601,0.14658612,0.14656976,0.11112747,0.11362696,0.11361518,0.07697295,0.07018002,0.07017281,0.01445891,0.01216268,0.01216142,0.00197972,0.00166579,0.00166562,0.00022267,0.00013891,0.00013889,0.33172262,0.34438812,0.34435133,0.0126655,0.01262871
25,2.5257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013164,1.5e-07,1.5e-07,0.07715062,0.08312375,0.0831145,0.1278162,0.13351502,0.13350117,0.07951521,0.07520308,0.07519535,0.01546413,0.01339518,0.01339379,0.00208076,0.00179866,0.00179847,0.00021823,0.00013586,0.00013584,0.30237679,0.3071717,0.30713928,0.00479491,0.00476249
26,3.5428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25e-06,0.0,0.0,0.03816104,0.03341336,0.03340967,0.13467937,0.14759839,0.14758309,0.08587512,0.08299091,0.08298237,0.01741161,0.01544263,0.01544103,0.00230459,0.0020264,0.00202619,0.00022391,0.00013939,0.00013937,0.27866089,0.28161108,0.28158173,0.00295019,0.00292084
27,4.9695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7e-07,0.0,0.0,0.0140316,0.00748897,0.00748816,0.12159023,0.13971599,0.13970152,0.09553722,0.09250051,0.09249101,0.02061784,0.01836479,0.01836288,0.00269225,0.00235254,0.0023523,0.00024233,0.00015007,0.00015005,0.25471164,0.26057288,0.26054593,0.00586124,0.00583429
28,6.9709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00440943,0.00063773,0.00063767,0.08833137,0.10071071,0.10070029,0.10552267,0.10338221,0.10337159,0.02541648,0.02266215,0.0226598,0.00329246,0.0028354,0.00283511,0.00027633,0.00017141,0.00017139,0.22724875,0.23039962,0.23037585,0.00315087,0.0031271
29,9.7781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00153136,1.02e-05,1.02e-05,0.04829746,0.04290689,0.04290246,0.10911689,0.11069701,0.11068563,0.03212971,0.02829671,0.02829377,0.00416749,0.00347671,0.00347635,0.00032917,0.00020314,0.00020312,0.19557208,0.18559065,0.18557152,-0.00998143,-0.01000056
30,13.7158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00049891,1e-08,1e-08,0.01699611,0.00739377,0.00739301,0.09774238,0.10861051,0.10859934,0.0408452,0.03571011,0.0357064,0.00539034,0.00435063,0.00435018,0.00040435,0.00024966,0.00024963,0.16187729,0.15631468,0.15629858,-0.00556261,-0.00557871
