ig,ip,t1,t2,t3,t4,t5
1,52,1.9925771999999996e-21,2.0292959000000003e-21,2.0474011e-21,2.0487313e-21,2.0589071e-21
2,1,1.6908715e-21,1.9460074e-21,2.227322e-21,2.513284e-21,2.7852791e-21
2,2,1.7025777999999997e-21,1.9591232e-21,2.241125e-21,2.5267994e-21,2.7977786e-21
2,3,1.7140273e-21,1.9722332e-21,2.2548309e-21,2.540125e-21,2.8100761000000005e-21
2,4,1.7256610000000002e-21,1.9854731e-21,2.2686122999999998e-21,2.5534807e-21,2.8223708e-21
2,5,1.737494e-21,1.9988558e-21,2.2824807e-21,2.5668764000000004e-21,2.8346714000000003e-21
2,6,1.7496429e-21,2.0125082e-21,2.2965645e-21,2.5804347e-21,2.8470895999999998e-21
2,7,1.7615464e-21,2.0257903e-21,2.310199e-21,2.5935137e-21,2.8590365e-21
2,8,1.7764901999999997e-21,2.0423853000000003e-21,2.3271717e-21,2.6097477e-21,2.8738312999999998e-21
2,9,1.7948006e-21,2.0625970000000003e-21,2.3477484e-21,2.6293582000000004e-21,2.8916528e-21
2,10,1.820913e-21,2.0912469e-21,2.3767710000000005e-21,2.6569057e-21,2.9166050000000003e-21
2,11,1.8502420999999997e-21,2.1231051000000005e-21,2.4088006999999997e-21,2.6871300999999996e-21,2.9438557000000003e-21
2,12,1.8818023e-21,2.1570159e-21,2.4426172e-21,2.7188407000000002e-21,2.9723042999999998e-21
2,13,1.9149723e-21,2.192256e-21,2.4774639000000002e-21,2.7513057e-21,3.0012795e-21
2,14,1.9498616e-21,2.2289043e-21,2.5133964999999998e-21,2.7845634e-21,3.0298856999999997e-21
2,15,1.9859319e-21,2.2663091e-21,2.5496803e-21,2.8179267e-21,3.0584697000000004e-21
2,16,2.0232313999999997e-21,2.3044598999999995e-21,2.5862454e-21,2.851327e-21,3.0874796000000002e-21
2,17,2.0622231000000003e-21,2.3438725e-21,2.6236862e-21,2.8852939000000004e-21,3.1168144000000003e-21
2,18,2.098591e-21,2.3801018000000002e-21,2.6577447000000004e-21,2.9159481000000004e-21,3.1431243000000003e-21
2,19,2.1281003e-21,2.4089052999999996e-21,2.6844477e-21,2.9397357999999998e-21,3.163394e-21
2,20,2.1331060000000006e-21,2.4124513e-21,2.6869543e-21,2.9414821000000004e-21,3.1646493000000004e-21
2,21,2.1285879e-21,2.4058727e-21,2.679596e-21,2.934145e-21,3.1580244e-21
2,22,2.1154262e-21,2.3897815e-21,2.6627795e-21,2.9179816000000003e-21,3.1436696e-21
2,23,2.1023852000000004e-21,2.3728395999999996e-21,2.6445834e-21,2.9002150999999997e-21,3.1277392e-21
2,24,2.0934636e-21,2.3588958999999997e-21,2.6285272000000002e-21,2.8839756000000002e-21,3.1130369e-21
2,25,2.0894637999999998e-21,2.3483849e-21,2.6146831e-21,2.8692627e-21,3.1003705000000004e-21
2,26,2.0953937999999997e-21,2.3464222e-21,2.6081066e-21,2.8606524e-21,3.0912055e-21
2,27,2.1153225000000002e-21,2.3571061e-21,2.6127321e-21,2.8617636000000002e-21,3.0902879999999995e-21
2,28,2.1512298e-21,2.3822682e-21,2.6302411e-21,2.8741275e-21,3.0989875000000004e-21
2,29,2.2079622e-21,2.4269778e-21,2.6656185999999997e-21,2.9023965e-21,3.1214811000000003e-21
2,30,2.2843319e-21,2.4894094e-21,2.7167339000000003e-21,2.9444391999999996e-21,3.1558164e-21
2,31,2.3823229000000003e-21,2.5712487e-21,2.7849597e-21,3.0013636999999996e-21,3.2029061e-21
2,32,2.5021465e-21,2.6731501e-21,2.870553e-21,3.0730678e-21,3.2625289e-21
2,33,2.6444677999999998e-21,2.7957249e-21,2.9739111e-21,3.1596822999999998e-21,3.3346003000000002e-21
2,34,2.8093507e-21,2.9388459999999997e-21,3.0950625000000002e-21,3.2611745000000003e-21,3.4188489e-21
2,35,2.9934465e-21,3.1004379e-21,3.2327694000000004e-21,3.3766082e-21,3.5142874e-21
2,36,3.1866304e-21,3.271973e-21,3.3797292999999995e-21,3.4996032e-21,3.6152032e-21
2,37,3.3730313e-21,3.4397948e-21,3.5240907000000006e-21,3.6198696e-21,3.7126096e-21
2,38,3.53112e-21,3.5852172e-21,3.6495421999999995e-21,3.7232621e-21,3.7942770000000006e-21
2,39,3.635523e-21,3.6860248000000005e-21,3.7368442e-21,3.7931868e-21,3.8458557e-21
2,40,3.6608528000000004e-21,3.7184472999999994e-21,3.7647721e-21,3.8108579e-21,3.8506645e-21
2,41,3.5895698000000005e-21,3.6626966e-21,3.7136045e-21,3.7573751e-21,3.7909217e-21
2,42,3.4281954999999996e-21,3.516385e-21,3.5765658e-21,3.6231345000000005e-21,3.6551230999999995e-21
2,43,3.1905426e-21,3.2878506000000003e-21,3.3566411e-21,3.4074449e-21,3.4404727e-21
2,44,2.8912302e-21,2.9918831e-21,3.0663989e-21,3.1210331e-21,3.1564920000000002e-21
2,45,2.5578447999999996e-21,2.6553411e-21,2.731017e-21,2.7870619000000003e-21,2.8242271999999998e-21
2,46,2.2176139e-21,2.3078892999999997e-21,2.3792075000000002e-21,2.4326479e-21,2.4692100999999995e-21
2,47,1.9057535000000002e-21,1.9827636000000003e-21,2.0438359000000002e-21,2.0895408000000002e-21,2.1213019e-21
