hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_g7,LBLg_g7,PAR_g7,LBL_g8,LBLg_g8,PAR_g8,LBL_g9,LBLg_g9,PAR_g9,LBL_g10,LBLg_g10,PAR_g10
0.1968,0.36721,0.367213,0.36721253,1.729135,1.729137,1.7291373,7.092421,7.092427,7.0924272,20.399768,20.39977,20.39977,16.044248,16.044249,16.044248,21.209733,21.209733,21.209733,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
0.276,0.367182,0.367186,0.36718583,1.729124,1.729127,1.7291265,7.092415,7.092423,7.092423,20.399766,20.399769,20.399769,16.044248,16.044248,16.044248,21.209733,21.209733,21.209733,25.28237,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
0.3871,0.367144,0.367149,0.36714889,1.729107,1.729111,1.7291112,7.092405,7.092417,7.092417,20.399763,20.399767,20.399767,16.044248,16.044248,16.044247,21.209733,21.209733,21.209733,25.282369,25.28237,25.28237,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
0.5431,0.367091,0.367098,0.36709772,1.729083,1.729089,1.7290893,7.092392,7.092409,7.0924084,20.399759,20.399764,20.399764,16.044247,16.044248,16.044247,21.209732,21.209733,21.209733,25.282369,25.282369,25.282369,29.884206,29.884206,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
0.7617,0.367018,0.367027,0.36702694,1.72905,1.729058,1.7290583,7.092372,7.092396,7.0923961,20.399753,20.39976,20.39976,16.044246,16.044247,16.044246,21.209732,21.209732,21.209732,25.282369,25.282369,25.282369,29.884205,29.884205,29.884206,32.419361,32.419361,32.41936,287.991176,287.991176,287.99117
1.0685,0.366916,0.366928,0.36692808,1.729003,1.729015,1.7290147,7.092345,7.092379,7.0923789,20.399744,20.399754,20.399754,16.044244,16.044246,16.044245,21.209731,21.209732,21.209732,25.282368,25.282369,25.282369,29.884205,29.884205,29.884205,32.41936,32.41936,32.419359,287.991176,287.991176,287.99117
1.4988,0.366773,0.36679,0.36678898,1.728937,1.728954,1.7289536,7.092307,7.092355,7.0923547,20.399731,20.399747,20.399746,16.044242,16.044244,16.044244,21.20973,21.209731,21.209731,25.282368,25.282368,25.282368,29.884205,29.884205,29.884205,32.41936,32.41936,32.419359,287.991175,287.991175,287.99117
2.1024,0.36657,0.366593,0.3665927,1.728845,1.728868,1.7288685,7.092254,7.092321,7.092321,20.399714,20.399736,20.399735,16.04424,16.044242,16.044242,21.209728,21.209729,21.209729,25.282367,25.282368,25.282368,29.884204,29.884205,29.884205,32.41936,32.41936,32.419359,287.991175,287.991175,287.99117
2.949,0.366284,0.366316,0.36631519,1.728717,1.72875,1.7287499,7.092181,7.092274,7.092274,20.39969,20.39972,20.39972,16.044236,16.04424,16.044239,21.209726,21.209728,21.209728,25.282366,25.282367,25.282367,29.884204,29.884204,29.884204,32.41936,32.41936,32.419359,287.991175,287.991175,287.99117
4.1366,0.365881,0.365924,0.36592294,1.728539,1.728585,1.7285848,7.092078,7.092209,7.0922085,20.399658,20.399699,20.399699,16.044231,16.044236,16.044235,21.209723,21.209726,21.209726,25.282364,25.282366,25.282365,29.884203,29.884203,29.884203,32.419359,32.419359,32.419358,287.991175,287.991175,287.99117
5.8025,0.365313,0.365371,0.36536925,1.728292,1.728355,1.7283548,7.091936,7.092117,7.0921168,20.399613,20.39967,20.39967,16.044223,16.04423,16.04423,21.209718,21.209722,21.209722,25.282362,25.282364,25.282364,29.884202,29.884202,29.884202,32.419359,32.419359,32.419358,287.991174,287.991174,287.99117
8.1392,0.364514,0.364592,0.36458929,1.727947,1.728034,1.7280339,7.091738,7.091989,7.0919881,20.399551,20.399629,20.399629,16.044213,16.044223,16.044222,21.209713,21.209718,21.209718,25.282359,25.282361,25.282361,29.8842,29.884201,29.884201,32.419358,32.419358,32.419357,287.991173,287.991174,287.99117
11.417,0.363397,0.363497,0.36349317,1.727466,1.727585,1.7275852,7.091462,7.091807,7.0918062,20.399465,20.399572,20.399571,16.044199,16.044212,16.044212,21.209705,21.209712,21.209712,25.282354,25.282358,25.282358,29.884198,29.884199,29.884199,32.419357,32.419357,32.419356,287.991173,287.991173,287.99117
16.0147,0.361842,0.361963,0.36195835,1.726794,1.726956,1.7269559,7.091075,7.091549,7.0915476,20.399344,20.399489,20.399488,16.04418,16.044197,16.044196,21.209694,21.209703,21.209703,25.282348,25.282353,25.282353,29.884195,29.884196,29.884196,32.419356,32.419356,32.419355,287.991171,287.991171,287.99117
22.464,0.359692,0.359826,0.35981905,1.725852,1.726071,1.7260698,7.090531,7.091178,7.0911764,20.399173,20.399368,20.399367,16.044152,16.044175,16.044174,21.209678,21.20969,21.20969,25.28234,25.282346,25.282346,29.88419,29.884192,29.884192,32.419353,32.419354,32.419353,287.991169,287.99117,287.99116
31.5105,0.356745,0.356866,0.35685731,1.724525,1.724817,1.7248149,7.089763,7.09064,7.0906374,20.398927,20.399189,20.399188,16.044111,16.044141,16.04414,21.209654,21.20967,21.20967,25.282327,25.282335,25.282335,29.884184,29.884186,29.884186,32.41935,32.419351,32.41935,287.991167,287.991167,287.99116
44.2001,0.352748,0.352803,0.35279246,1.722647,1.72303,1.7230256,7.088672,7.089848,7.0898447,20.398569,20.398918,20.398916,16.044049,16.044089,16.044088,21.209618,21.20964,21.209639,25.282308,25.282319,25.282318,29.884173,29.884177,29.884177,32.419345,32.419346,32.419345,287.991162,287.991163,287.99116
62.0,0.347392,0.347284,0.3472707,1.719974,1.720466,1.7204594,7.087109,7.088671,7.0886648,20.398038,20.3985,20.398497,16.043955,16.044006,16.044005,21.209563,21.20959,21.20959,25.282278,25.282292,25.282291,29.884158,29.884162,29.884161,32.419337,32.419338,32.419337,287.991155,287.991156,287.99115
85.775,0.340651,0.340242,0.34022996,1.716326,1.716941,1.71693,7.084962,7.086983,7.086975,20.397274,20.397874,20.397869,16.043815,16.043878,16.043876,21.20948,21.209514,21.209513,25.282233,25.28225,25.282249,29.884133,29.884138,29.884138,32.419325,32.419326,32.419325,287.991144,287.991145,287.99114
109.55,0.334361,0.333608,0.33359497,1.71257,1.71329,1.7132757,7.082732,7.085171,7.085162,20.396438,20.397173,20.397167,16.043656,16.04373,16.043728,21.209385,21.209424,21.209423,25.282181,25.2822,25.282199,29.884105,29.88411,29.88411,32.419311,32.419312,32.419311,287.99113,287.991133,287.99113
133.325,0.328509,0.327402,0.32739029,1.708685,1.709496,1.7094796,7.080401,7.083228,7.0832173,20.395518,20.396388,20.396381,16.043476,16.04356,16.043557,21.209275,21.20932,21.209318,25.28212,25.282143,25.282141,29.884072,29.884078,29.884078,32.419294,32.419296,32.419294,287.991114,287.991117,287.99111
157.1,0.322863,0.321398,0.32138947,1.70453,1.705427,1.7054072,7.077876,7.081077,7.0810639,20.394475,20.395487,20.395477,16.043267,16.04336,16.043356,21.209147,21.209196,21.209193,25.282049,25.282074,25.282072,29.884032,29.884039,29.884039,32.419274,32.419276,32.419274,287.991095,287.991099,287.99109
180.875,0.316812,0.314955,0.31494785,1.699646,1.700631,1.7006077,7.07486,7.078466,7.0784507,20.39318,20.394357,20.394345,16.043002,16.043103,16.043099,21.208982,21.209036,21.209033,25.281956,25.281984,25.281982,29.883981,29.883989,29.883988,32.419248,32.41925,32.419248,287.991069,287.991074,287.99107
204.65,0.308186,0.305751,0.30574185,1.692028,1.69313,1.6931017,7.070068,7.074267,7.0742484,20.391051,20.392488,20.392473,16.042558,16.042671,16.042665,21.208703,21.208764,21.208761,25.281799,25.281831,25.281828,29.883893,29.883903,29.883901,32.419203,32.419205,32.419203,287.991025,287.991032,287.99103
228.425,0.289653,0.285854,0.28585101,1.673829,1.675148,1.6751179,7.058339,7.063902,7.0638799,20.385681,20.387754,20.387731,16.041417,16.041556,16.041546,21.207983,21.20806,21.208053,25.281391,25.281431,25.281427,29.883664,29.883676,29.883674,32.419084,32.419087,32.419084,287.990907,287.99092,287.99091
252.2,0.256702,0.250056,0.25005615,1.636379,1.637909,1.6378741,7.033344,7.041662,7.0416418,20.373908,20.377344,20.377311,16.038875,16.039062,16.039046,21.206367,21.206474,21.206463,25.280471,25.280527,25.28052,29.883145,29.883163,29.883158,32.418815,32.418819,32.418815,287.990638,287.990665,287.99066
275.975,0.208151,0.196633,0.19663784,1.568468,1.569659,1.5696407,6.985568,6.998916,6.9989209,20.350752,20.356836,20.356793,16.033795,16.034069,16.034043,21.203119,21.203283,21.203263,25.278612,25.278701,25.278687,29.882093,29.882122,29.882112,32.418266,32.418273,32.418266,287.990087,287.990142,287.99013
299.75,0.149371,0.132032,0.13205589,1.45883,1.457641,1.4576906,6.902074,6.923815,6.9238865,20.309015,20.319846,20.319782,16.024496,16.024923,16.024874,21.197139,21.197404,21.197366,25.275176,25.275322,25.275296,29.880139,29.880188,29.880167,32.417244,32.417256,32.417242,287.989056,287.989162,287.98914
323.525,0.091619,0.071149,0.07115239,1.300916,1.292525,1.2925383,6.766962,6.801516,6.8016555,20.239005,20.257783,20.257725,16.008648,16.009339,16.009277,21.186893,21.187336,21.187285,25.269266,25.269513,25.269478,29.876767,29.876849,29.876819,32.415475,32.415496,32.415474,287.987262,287.987458,287.98743
347.3,0.046306,0.02865,0.02864995,1.098481,1.074817,1.0749619,6.562815,6.615129,6.6154552,20.128432,20.159757,20.159698,15.983199,15.984337,15.984237,21.170352,21.171097,21.171012,25.259687,25.260109,25.260049,29.87128,29.871422,29.871367,32.412588,32.412625,32.412587,287.984322,287.984665,287.98461
371.075,0.018777,0.008101,0.00810131,0.870981,0.823481,0.8238213,6.277114,6.351035,6.3516669,19.964748,20.014599,20.014537,15.944833,15.946707,15.946543,21.145279,21.146524,21.14638,25.245113,25.245825,25.245723,29.862901,29.86314,29.863046,32.408169,32.408231,32.408166,287.979802,287.98037,287.98028
394.85,0.006318,0.00165,0.00164903,0.654737,0.581365,0.58168647,5.921784,6.017029,6.0179029,19.746463,19.820849,19.820814,15.892616,15.895606,15.895397,21.110963,21.112966,21.112778,25.225089,25.226245,25.226109,29.851347,29.851736,29.851602,32.402059,32.402161,32.402067,287.973527,287.974408,287.97428
418.625,0.001733,0.00023,0.00023023,0.465202,0.372318,0.37254739,5.497604,5.609675,5.6107587,19.462871,19.568692,19.568733,15.823209,15.827865,15.82763,21.065074,21.068218,21.067997,25.198206,25.200035,25.199871,29.835781,29.836395,29.836221,32.393808,32.393968,32.393843,287.96502,287.966325,287.96616
442.4,0.000382,2.1e-05,2.099e-05,0.311668,0.212671,0.21294442,5.011844,5.13071,5.1322801,19.103317,19.248028,19.248193,15.73288,15.739972,15.739663,21.004968,21.00979,21.009486,25.162848,25.165676,25.165449,29.815232,29.816183,29.815929,32.382889,32.383137,32.382953,287.953722,287.955589,287.95534
466.175,6.7e-05,1e-06,1.19e-06,0.19655,0.106403,0.10663986,4.478429,4.588199,4.5902776,18.657856,18.848856,18.849182,15.61754,15.628108,15.627706,20.927671,20.934916,20.934507,25.117174,25.12146,25.121153,29.788589,29.790034,29.789677,32.3687,32.369076,32.368813,287.938985,287.941585,287.94123
489.95,9e-06,0.0,4e-08,0.11662,0.045725,0.04585561,3.916711,3.996983,3.9992927,18.117956,18.361697,18.362175,15.472757,15.488161,15.487692,20.829868,20.840535,20.840043,25.059103,25.065473,25.065097,29.754585,29.756738,29.756279,32.350546,32.351105,32.350763,287.920066,287.923603,287.92314
513.725,1e-06,0.0,0.0,0.065276,0.016556,0.01659597,3.350091,3.379327,3.3813698,17.478547,17.779217,17.779766,15.29415,15.316092,15.315629,20.708128,20.723515,20.72301,24.98643,24.995714,24.995317,29.711858,29.715007,29.714484,32.327678,32.328495,32.328095,287.896152,287.90087,287.90032
537.5,0.0,0.0,0.0,0.034617,0.004941,0.00495768,2.800842,2.761017,2.7631663,16.736909,17.095069,17.095892,15.076946,15.107491,15.106994,20.558552,20.580312,20.579731,24.896605,24.909886,24.909417,29.658817,29.663344,29.662676,32.299218,32.300391,32.299871,287.866288,287.872476,287.87175
561.275,0.0,0.0,0.0,0.017518,0.001189,0.00119585,2.289133,2.170566,2.1728649,15.89565,16.306596,16.307815,14.81673,14.858272,14.857717,20.377236,20.407404,20.406706,24.786981,24.805633,24.805057,29.593782,29.600176,29.5993,32.264228,32.265885,32.265191,287.829445,287.837436,287.83646
585.05,0.0,0.0,0.0,0.008518,0.000226,0.00022757,1.829907,1.634357,1.6366136,14.962253,15.414646,15.416265,14.509374,14.564556,14.563938,20.16015,20.201171,20.20034,24.654722,24.680451,24.679754,29.514918,29.523797,29.522675,32.221674,32.223976,32.223076,287.784481,287.79466,287.79338
608.825,0.0,0.0,0.0,0.003996,3.3e-05,3.331e-05,1.431942,1.172789,1.1747213,13.948846,14.423856,14.425725,14.151125,14.222714,14.222039,19.903141,19.95787,19.956919,24.496767,24.531656,24.530844,29.420205,29.432335,29.430965,32.170408,32.173555,32.172443,287.730117,287.742921,287.74132
