hPa,LBL,LBLg,PAR,LBLg - LBL,PAR - LBL
0.0,442.41975,442.41975,442.41974000000005,0.0,-9.999999974752427e-06
0.0006,442.41975,442.41975,442.41974000000005,0.0,-9.999999974752427e-06
0.0009,442.41975,442.41975,442.41974000000005,0.0,-9.999999974752427e-06
0.0012,442.41975,442.41975,442.41974000000005,0.0,-9.999999974752427e-06
0.0017,442.41975,442.41975,442.41974000000005,0.0,-9.999999974752427e-06
0.0024,442.41975,442.41975,442.41974000000005,0.0,-9.999999974752427e-06
0.0034,442.41975,442.41975,442.41974000000005,0.0,-9.999999974752427e-06
0.0048,442.41975,442.41975,442.41974000000005,0.0,-9.999999974752427e-06
0.0067,442.41975,442.41975,442.41974000000005,0.0,-9.999999974752427e-06
0.0094,442.41974000000005,442.41974000000005,442.41974000000005,0.0,0.0
0.0131,442.41974000000005,442.41974000000005,442.41972999999996,0.0,-1.0000000088439265e-05
0.0184,442.41974000000005,442.41974000000005,442.41972999999996,0.0,-1.0000000088439265e-05
0.0258,442.41972999999996,442.41974000000005,442.41972999999996,1.0000000088439265e-05,0.0
0.0362,442.41972999999996,442.41972999999996,442.41972000000004,0.0,-9.999999917909008e-06
0.0508,442.41972000000004,442.41972000000004,442.41970999999995,0.0,-1.0000000088439265e-05
0.0713,442.41970999999995,442.41970999999995,442.4197,0.0,-9.999999974752427e-06
0.1,442.41969000000006,442.41969000000006,442.41969000000006,0.0,0.0
0.1403,442.41965999999996,442.41967,442.41965999999996,1.0000000031595846e-05,0.0
0.1968,442.41963,442.41964,442.41963,1.0000000031595846e-05,0.0
0.276,442.41958,442.4196,442.41959,2.0000000006348273e-05,1.0000000031595846e-05
0.3871,442.41950999999995,442.41954000000004,442.41953,3.0000000094787538e-05,2.0000000063191692e-05
0.5431,442.41942,442.41945,442.41944000000007,2.99999999811007e-05,2.0000000063191692e-05
0.7617,442.41927999999996,442.41933,442.41932,5.000000004429239e-05,4.0000000069539965e-05
1.0685,442.41909000000004,442.41916,442.41916,6.999999993695383e-05,6.999999993695383e-05
1.4988,442.41882999999996,442.41893,442.41892,0.00010000000003174137,9.000000005698894e-05
2.1024,442.41846,442.4186,442.41859000000005,0.0001400000000444379,0.00013000000006968548
2.949,442.41794000000004,442.41812999999996,442.41812000000004,0.00018999999991820005,0.00018000000000029104
4.1366,442.41720999999995,442.41747999999995,442.41747000000004,0.00027000000000043656,0.00026000000008252755
5.8025,442.41619000000003,442.41657000000004,442.41655999999995,0.00038000000000693035,0.0003699999999184911
8.1392,442.41477000000003,442.41528,442.41527,0.000509999999962929,0.0004999999999881766
11.417,442.41278,442.41347,442.41346,0.0006900000000200635,0.0006799999999884676
16.0147,442.41,442.41093,442.41092000000003,0.0009299999999825559,0.0009200000000078035
22.464,442.40612999999996,442.40737,442.40735,0.0012400000000525324,0.0012200000000461841
31.5105,442.40075,442.40236,442.40234000000004,0.0016099999999710235,0.0015900000000215186
44.2001,442.39329000000004,442.39533,442.3953,0.002039999999965403,0.002009999999984302
