,hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
0,0.0003,0.16438373,0.15268887,0.15257299,0.02719096,0.0251675,0.0252063,0.00811021,0.00708289,0.00713367,3.52e-05,3.488e-05,3.856e-05,0.0004205,0.00036036,0.00037011,0.00182949,0.00155488,0.00156985,0.20197009,0.18688939,0.18689148,-0.0150807,-0.01507861
1,0.0008,0.16421839,0.15259484,0.15247954,0.02723079,0.02520618,0.02524467,0.00812848,0.00709902,0.00714976,3.55e-05,3.519e-05,3.879e-05,0.00042255,0.00036211,0.00037185,0.0018326,0.00155776,0.00157281,0.20186832,0.1868551,0.18685742,-0.01501322,-0.0150109
2,0.0011,0.164015,0.15246509,0.15235035,0.02731267,0.02528485,0.02532311,0.00816551,0.00713158,0.00718242,3.602e-05,3.57e-05,3.925e-05,0.00042667,0.0003656,0.00037538,0.00183959,0.00156364,0.00157882,0.20179545,0.18684645,0.18684934,-0.014949,-0.01494611
3,0.0015,0.16378254,0.15232082,0.15220715,0.02739589,0.02536494,0.02540271,0.00820345,0.00716493,0.00721562,3.657e-05,3.624e-05,3.972e-05,0.00043092,0.0003692,0.00037896,0.00184674,0.00156968,0.00158493,0.2016961,0.18682581,0.1868291,-0.01487029,-0.014867
4,0.0021,0.16351229,0.15215834,0.15204631,0.02747924,0.02544536,0.02548235,0.00824182,0.00719867,0.00724889,3.716e-05,3.683e-05,4.019e-05,0.00043524,0.00037287,0.00038256,0.00185388,0.00157581,0.00159105,0.20155964,0.18678788,0.18679136,-0.01477176,-0.01476828
5,0.0029,0.1631896,0.15197064,0.15186093,0.02756259,0.02552607,0.02556193,0.00828064,0.00723282,0.00728223,3.781e-05,3.748e-05,4.067e-05,0.00043967,0.00037662,0.00038616,0.00186117,0.00158203,0.00159719,0.20137148,0.18672566,0.1867291,-0.01464582,-0.01464238
6,0.0041,0.16279404,0.15174788,0.1516413,0.02764576,0.02560706,0.02564134,0.00831994,0.00726745,0.00731562,3.854e-05,3.82e-05,4.114e-05,0.0004442,0.00038045,0.00038977,0.0018686,0.00158833,0.00160333,0.20111107,0.18662938,0.18663251,-0.01448169,-0.01447856
7,0.0057,0.16229718,0.15147624,0.15137379,0.02772858,0.02568835,0.02572051,0.00835981,0.00730265,0.00734908,3.937e-05,3.903e-05,4.161e-05,0.00044885,0.0003844,0.00039339,0.00187614,0.00159472,0.0016095,0.20074993,0.1864854,0.18648787,-0.01426453,-0.01426206
8,0.008,0.16165992,0.15113659,0.15103952,0.02781071,0.02576987,0.02579919,0.00840031,0.00733851,0.00738259,4.035e-05,4e-05,4.209e-05,0.00045365,0.00038848,0.00039701,0.00188372,0.00160121,0.00161567,0.20024866,0.18627466,0.18627607,-0.013974,-0.01397259
9,0.0112,0.16082839,0.15070216,0.15060995,0.02789171,0.02585159,0.02587869,0.00844157,0.0073752,0.00741801,4.152e-05,4.117e-05,4.289e-05,0.00045864,0.00039273,0.00040106,0.0018915,0.0016078,0.0016223,0.19955333,0.18597064,0.1859729,-0.01358269,-0.01358043
10,0.0158,0.15972899,0.1501358,0.15002877,0.02797099,0.02593346,0.02595756,0.00848375,0.00741294,0.00745657,4.296e-05,4.261e-05,4.442e-05,0.00046387,0.00039719,0.00040594,0.00189936,0.0016145,0.00162964,0.19858992,0.18553649,0.18552291,-0.01305343,-0.01306701
11,0.0221,0.15826211,0.14938603,0.14926109,0.02804771,0.02601542,0.02603507,0.00852708,0.00745203,0.00749537,4.478e-05,4.442e-05,4.634e-05,0.0004694,0.00040195,0.00041094,0.00190737,0.00162131,0.00163673,0.19725845,0.18492116,0.18488554,-0.01233729,-0.01237291
12,0.031,0.15629434,0.14838155,0.14824375,0.02812096,0.02609763,0.02611273,0.00857204,0.00749305,0.00753544,4.712e-05,4.676e-05,4.871e-05,0.00047536,0.0004071,0.0004162,0.00191556,0.00162828,0.00164379,0.19542538,0.18405437,0.18400062,-0.01137101,-0.01142476
13,0.0435,0.15361764,0.14699735,0.1468516,0.02821287,0.02620255,0.02621331,0.00863035,0.00754641,0.00758729,5.035e-05,4.998e-05,5.199e-05,0.00048321,0.00041389,0.00042297,0.00192618,0.00163733,0.00165267,0.19292059,0.1828475,0.18277983,-0.01007309,-0.01014076
14,0.0611,0.14966536,0.14480225,0.14463694,0.02858013,0.02657601,0.02657906,0.0088276,0.00772145,0.00776077,5.648e-05,5.608e-05,5.817e-05,0.00050816,0.00043495,0.00044425,0.00196425,0.0016697,0.00168527,0.18960199,0.18126044,0.18116447,-0.00834155,-0.00843752
15,0.0856,0.1440936,0.14147653,0.14128628,0.02933864,0.02732917,0.02732038,0.00923483,0.00807884,0.0081154,6.72e-05,6.674e-05,6.903e-05,0.00056073,0.00047864,0.00048827,0.002046,0.00173922,0.00175505,0.18534101,0.17916914,0.17903441,-0.00617187,-0.0063066
16,0.1201,0.13697612,0.13700559,0.13688785,0.03022097,0.02821114,0.02820679,0.00974491,0.00852471,0.00856085,8.205e-05,8.147e-05,8.384e-05,0.00063115,0.00053635,0.00054606,0.00215268,0.00182995,0.00184634,0.17980787,0.1761892,0.17613173,-0.00361867,-0.00367614
17,0.1685,0.12841997,0.13141844,0.1313576,0.03110961,0.02911489,0.029113,0.01030724,0.00901527,0.00904713,0.00010122,0.00010047,0.00010276,0.00071454,0.00060377,0.00061268,0.0022756,0.00193449,0.00194966,0.17292818,0.17218734,0.17218283,-0.00074084,-0.00074535
18,0.2364,0.11827616,0.12443724,0.12439858,0.03198154,0.03002719,0.03002185,0.01092379,0.00955306,0.00957522,0.00012601,0.00012502,0.0001269,0.00081318,0.00068258,0.00068943,0.00241661,0.00205445,0.00206598,0.1645373,0.16687954,0.16687796,0.00234224,0.00234066
19,0.3315,0.10645996,0.11570829,0.11567388,0.03279312,0.03091946,0.03090892,0.01159284,0.01013813,0.0101459,0.00015812,0.00015677,0.00015784,0.00092969,0.00077476,0.00077801,0.00257702,0.00219094,0.00219596,0.15451076,0.15988835,0.1598605,0.00537759,0.00534974
20,0.4651,0.09312455,0.10494896,0.10494248,0.03349569,0.03176275,0.0317555,0.01231425,0.01077262,0.01077781,0.00019984,0.00019799,0.00019912,0.00106737,0.00088293,0.00088571,0.00275873,0.00234562,0.00234974,0.14296043,0.15091087,0.15091037,0.00795044,0.00794994
21,0.6524,0.07883513,0.09220315,0.09217347,0.03395747,0.0324556,0.03242751,0.01302667,0.01140882,0.01142533,0.00025243,0.00024994,0.00025295,0.00121726,0.00100078,0.00101081,0.00294565,0.00250484,0.00252145,0.1302346,0.13982313,0.13981152,0.00958853,0.00957692
22,0.9151,0.06444214,0.07799112,0.07795658,0.03360953,0.03249234,0.03245631,0.01333276,0.01172207,0.01174596,0.00030813,0.00030533,0.00030996,0.0012998,0.0010705,0.00108466,0.0030169,0.00256589,0.00258881,0.11600925,0.12614725,0.12614228,0.010138,0.01013303
23,1.2836,0.05039956,0.06231417,0.06230127,0.03245201,0.03187964,0.03184817,0.01322889,0.01171413,0.01174035,0.00037158,0.00036891,0.0003732,0.00130919,0.0010893,0.0011037,0.00296042,0.0025185,0.00254253,0.10072164,0.10988465,0.10990922,0.00916301,0.00918758
24,1.8006,0.03729647,0.04556173,0.04556418,0.03084487,0.03094602,0.03093119,0.01301544,0.01163639,0.01167067,0.00045962,0.00045711,0.00046312,0.00130778,0.00110427,0.00111975,0.00286101,0.00243477,0.00245888,0.0857852,0.0921403,0.09220779,0.0063551,0.00642259
25,2.5257,0.02588244,0.02936093,0.02936139,0.02883719,0.02971413,0.0296912,0.01276571,0.01154988,0.01157813,0.00058629,0.00058376,0.00058778,0.00131396,0.00113018,0.00114385,0.00273574,0.00232924,0.00235207,0.07212133,0.07466812,0.07471443,0.00254679,0.0025931
26,3.5428,0.01659945,0.01582648,0.01582476,0.02657971,0.02828012,0.02826031,0.01263265,0.01158102,0.01161348,0.00077173,0.00076871,0.00077641,0.00136139,0.00119403,0.00120928,0.00262032,0.00223233,0.00225315,0.06056526,0.05988269,0.0599374,-0.00068257,-0.00062786
27,4.9695,0.00962794,0.00666636,0.00667297,0.02411729,0.02660143,0.02658183,0.01269368,0.01179045,0.01181623,0.00103983,0.00103541,0.00103959,0.00146998,0.00131333,0.00132607,0.00252503,0.00215285,0.00217301,0.05147374,0.04955983,0.0496097,-0.00191391,-0.00186404
28,6.9709,0.00491466,0.00201104,0.0020154,0.02147614,0.02457406,0.0245801,0.01301092,0.01222186,0.01226579,0.00142331,0.00141594,0.0014284,0.00165861,0.00150553,0.00152312,0.00245266,0.00209325,0.00211363,0.04493629,0.04382168,0.04392644,-0.00111461,-0.00100985
29,9.7781,0.00212783,0.00038848,0.00039001,0.01865803,0.02205122,0.02205797,0.01364976,0.01292077,0.01295728,0.00196787,0.00195478,0.00196332,0.00195319,0.00179416,0.00180885,0.00240741,0.00205718,0.00207642,0.0407641,0.0411666,0.04125383,0.0004025,0.00048973
30,13.7158,0.00073652,4.177e-05,4.199e-05,0.01559865,0.01886207,0.01887182,0.01464067,0.01392043,0.01397116,0.00273498,0.00271167,0.00273196,0.00238793,0.00220979,0.00223026,0.00239459,0.00204918,0.00206723,0.03849334,0.03979492,0.03991441,0.00130158,0.00142107
31,19.2394,0.00018611,2.11e-06,2.13e-06,0.01220652,0.01491811,0.01491585,0.01589591,0.01522735,0.01525967,0.0038039,0.00376408,0.00377836,0.00300744,0.00279182,0.00280741,0.00242205,0.00207595,0.00209031,0.03752193,0.03877942,0.03885372,0.00125749,0.00133179
32,26.9872,3.142e-05,4e-08,4e-08,0.00854096,0.01039613,0.01039427,0.01703373,0.01676848,0.01681187,0.00526242,0.00520152,0.00523044,0.00386483,0.00358696,0.00360812,0.00249954,0.00214565,0.00215783,0.0372329,0.03809878,0.03820257,0.00086588,0.00096967
33,37.8553,3.65e-06,0.0,0.0,0.00507202,0.00594707,0.00594512,0.01726379,0.01830801,0.01833137,0.00718732,0.00711684,0.00714295,0.00502371,0.00465154,0.00466755,0.00264219,0.00227099,0.00227718,0.03719268,0.03829446,0.03836417,0.00110178,0.00117149
34,53.1,3.5e-07,0.0,0.0,0.00250834,0.00252787,0.00252659,0.01562576,0.0192448,0.01926607,0.00957992,0.0095701,0.00960876,0.00653438,0.00603017,0.00605444,0.00285343,0.0024547,0.00246427,0.03710218,0.03982763,0.03992014,0.00272545,0.00281796
35,73.8875,4e-08,0.0,0.0,0.00114922,0.00072801,0.00072826,0.01209117,0.01863172,0.01864029,0.01210244,0.01237008,0.01241854,0.00841442,0.00773528,0.00777353,0.00316122,0.00272074,0.00273935,0.03691851,0.04218584,0.04229997,0.00526733,0.00538146
36,97.6625,1e-08,0.0,0.0,0.00061243,0.00015964,0.00016032,0.00841198,0.01612677,0.0161124,0.01377892,0.01461883,0.01463729,0.01036409,0.00950735,0.00953798,0.00355729,0.00306265,0.00308186,0.03672471,0.04347523,0.04352985,0.00675052,0.00680514
37,121.4375,0.0,0.0,0.0,0.00041116,3.536e-05,3.558e-05,0.00589285,0.01276993,0.01274197,0.0142226,0.01572245,0.01573715,0.01213613,0.01116332,0.0111967,0.00401554,0.00345885,0.0034798,0.03667827,0.04314991,0.0431912,0.00647164,0.00651293
38,145.2125,0.0,0.0,0.0,0.00031425,8.17e-06,8.25e-06,0.00432619,0.00950441,0.00947305,0.01386309,0.01586474,0.01588852,0.01373517,0.01270609,0.01275174,0.00450974,0.00388732,0.00391094,0.03674844,0.04197073,0.0420325,0.00522229,0.00528406
39,168.9875,0.0,0.0,0.0,0.00025104,2e-06,2.03e-06,0.00331951,0.00679847,0.00677707,0.01310075,0.01535729,0.01535831,0.0151593,0.01410798,0.01414156,0.00500104,0.00431512,0.0043319,0.03683165,0.04058085,0.04061087,0.0037492,0.00377922
40,192.7625,0.0,0.0,0.0,0.00020636,5.2e-07,5.3e-07,0.00266426,0.00472764,0.00471966,0.01211957,0.01437575,0.01435993,0.01641642,0.01537567,0.01539286,0.0054886,0.00474189,0.00475267,0.03689522,0.03922147,0.03922564,0.00232625,0.00233042
