hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
0.0,0.026767,0.026767,0.02676694,0.085059,0.085059,0.08505871,0.341811,0.341811,0.34181121,0.516542,0.516542,0.51654159,2.899381,2.899381,2.8993807,110.004941,110.004941,110.00494,113.8745,113.8745,113.8745,0.0,0.0
0.0006,0.026755,0.026756,0.02675565,0.085057,0.085057,0.08505685,0.341811,0.341811,0.34181068,0.516542,0.516542,0.51654159,2.899381,2.899381,2.8993806,110.004941,110.004941,110.00494,113.87449,113.87449,113.87449,0.0,0.0
0.0009,0.02675,0.026751,0.02675111,0.085056,0.085056,0.0850561,0.34181,0.34181,0.34181047,0.516542,0.516542,0.51654159,2.899381,2.899381,2.8993806,110.004941,110.004941,110.00494,113.87448,113.87448,113.87448,0.0,0.0
0.0012,0.026743,0.026745,0.02674474,0.085055,0.085055,0.08505504,0.34181,0.34181,0.34181017,0.516542,0.516542,0.51654159,2.899381,2.899381,2.8993806,110.004941,110.004941,110.00494,113.87447,113.87447,113.87447,0.0,0.0
0.0017,0.026733,0.026736,0.02673582,0.085053,0.085054,0.08505355,0.34181,0.34181,0.34180975,0.516542,0.516542,0.51654159,2.899381,2.899381,2.8993806,110.00494,110.00494,110.00494,113.87446,113.87446,113.87446,0.0,0.0
0.0024,0.02672,0.026723,0.02672332,0.085051,0.085051,0.08505145,0.341809,0.341809,0.34180915,0.516542,0.516542,0.51654158,2.899381,2.899381,2.8993806,110.00494,110.00494,110.00494,113.87444,113.87445,113.87445,1e-05,1e-05
0.0034,0.026701,0.026706,0.02670581,0.085048,0.085049,0.0850485,0.341808,0.341808,0.34180831,0.516542,0.516542,0.51654158,2.899381,2.899381,2.8993805,110.00494,110.00494,110.00494,113.87442,113.87442,113.87443,0.0,1e-05
0.0048,0.026675,0.026681,0.02668127,0.085043,0.085044,0.08504436,0.341807,0.341807,0.34180713,0.516542,0.516542,0.51654157,2.89938,2.899381,2.8993805,110.00494,110.00494,110.00494,113.87439,113.87439,113.87439,0.0,0.0
0.0067,0.026638,0.026647,0.02664692,0.085037,0.085039,0.08503852,0.341805,0.341806,0.34180546,0.516542,0.516542,0.51654156,2.89938,2.89938,2.8993804,110.004939,110.00494,110.00494,113.87434,113.87435,113.87435,1e-05,1e-05
0.0094,0.026587,0.026599,0.02659884,0.085028,0.08503,0.08503031,0.341802,0.341803,0.34180311,0.516542,0.516542,0.51654155,2.89938,2.89938,2.8993802,110.004939,110.004939,110.00494,113.87428,113.87429,113.87429,1e-05,1e-05
0.0131,0.026515,0.026531,0.0265316,0.085016,0.085019,0.08501875,0.341798,0.3418,0.3417998,0.516542,0.516542,0.51654153,2.89938,2.89938,2.8993801,110.004938,110.004938,110.00494,113.87419,113.87421,113.87421,2e-05,2e-05
0.0184,0.026415,0.026437,0.02643763,0.084998,0.085003,0.0850025,0.341793,0.341795,0.34179513,0.516542,0.516542,0.5165415,2.89938,2.89938,2.8993798,110.004937,110.004937,110.00494,113.87406,113.87409,113.87409,3e-05,3e-05
0.0258,0.026276,0.026306,0.0263065,0.084973,0.08498,0.08497962,0.341785,0.341789,0.34178854,0.516541,0.516541,0.51654146,2.899379,2.89938,2.8993794,110.004935,110.004936,110.00494,113.87389,113.87393,113.87393,4e-05,4e-05
0.0362,0.026083,0.026123,0.02612382,0.084939,0.084948,0.08494744,0.341775,0.341779,0.34177926,0.516541,0.516541,0.5165414,2.899379,2.899379,2.8993789,110.004933,110.004934,110.00493,113.87365,113.8737,113.8737,5e-05,5e-05
0.0508,0.025818,0.025869,0.02586997,0.08489,0.084902,0.08490213,0.34176,0.341766,0.34176614,0.516541,0.516541,0.51654131,2.899378,2.899378,2.8993782,110.004929,110.004931,110.00493,113.87332,113.87339,113.87339,7e-05,7e-05
