hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
1.4988,0.03459,0.03327,0.03328047,0.164318,0.16463,0.1646329,0.681553,0.681801,0.68179687,1.033041,1.033042,1.033041,5.798589,5.798617,5.7986147,220.009428,220.009496,220.00949,227.72152,227.72085,227.72086,-0.00067,-0.00066
2.1024,0.029825,0.027419,0.0274306,0.162154,0.16253,0.16253245,0.680762,0.681092,0.68108402,1.033011,1.033012,1.0330107,5.798522,5.798558,5.7985548,220.009262,220.009355,220.00935,227.71354,227.71196,227.71196,-0.00158,-0.00158
2.949,0.024665,0.020891,0.020904,0.159237,0.159656,0.15965813,0.679668,0.6801,0.68008845,1.032955,1.032956,1.0329547,5.798425,5.798471,5.7984673,220.009039,220.009165,220.00916,227.70399,227.70124,227.70123,-0.00275,-0.00276
4.1366,0.019375,0.014271,0.01428674,0.155311,0.155714,0.15571506,0.678127,0.678691,0.67867287,1.032849,1.03285,1.0328479,5.798278,5.798339,5.798333,220.008737,220.008908,220.0089,227.69268,227.68877,227.68876,-0.00391,-0.00392
5.8025,0.014266,0.00839,0.00840473,0.150028,0.150286,0.15028697,0.675903,0.676639,0.67661432,1.032644,1.032646,1.0326431,5.798046,5.798126,5.7981178,220.008322,220.008555,220.00854,227.67921,227.67464,227.67461,-0.00457,-0.0046
8.1392,0.009666,0.004024,0.00403489,0.14292,0.142789,0.14278207,0.672591,0.673568,0.67352791,1.032246,1.03225,1.0322435,5.797657,5.797766,5.7977538,220.007743,220.008062,220.00805,227.66282,227.65846,227.65839,-0.00436,-0.00443
11.417,0.005873,0.001468,0.0014739,0.133438,0.132489,0.13247255,0.66752,0.668858,0.66879797,1.031468,1.031478,1.0314679,5.796982,5.797138,5.7971207,220.006923,220.007362,220.00734,227.6422,227.63879,227.63867,-0.00341,-0.00353
16.0147,0.003094,0.000374,0.00037613,0.121074,0.118592,0.11855707,0.659572,0.661481,0.6613841,1.029945,1.029972,1.0299498,5.795777,5.796016,5.7959879,220.005745,220.006358,220.00633,227.61521,227.61279,227.61258,-0.00242,-0.00263
22.464,0.001364,6e-05,6.06e-05,0.105651,0.100481,0.10043538,0.646896,0.649719,0.64957987,1.026969,1.027037,1.0270016,5.793585,5.793977,5.7939352,220.004028,220.004893,220.00485,227.57849,227.57617,227.57586,-0.00232,-0.00263
31.5105,0.000497,5e-06,5.56e-06,0.087843,0.078284,0.07823884,0.626636,0.630702,0.63049369,1.021184,1.02135,1.0212802,5.789531,5.790219,5.7901531,220.001461,220.0027,220.00265,227.52715,227.52326,227.52282,-0.00389,-0.00433
44.2001,0.000156,0.0,2.6e-07,0.069592,0.053788,0.05376106,0.595141,0.599942,0.59968049,1.010055,1.010433,1.0103209,5.781978,5.783253,5.7831623,219.997519,219.999331,219.99927,227.45444,227.44675,227.44619,-0.00769,-0.00825
