hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
1.4988,0.034729,0.033491,0.03349791,0.164133,0.164458,0.16446152,0.681416,0.681687,0.68168288,1.033038,1.033038,1.0330377,5.798563,5.798596,5.7985945,220.009388,220.009462,220.00946,227.72127,227.72073,227.72073,-0.00054,-0.00054
2.1024,0.030014,0.0278,0.02780757,0.161755,0.162153,0.16215749,0.680478,0.680852,0.68084544,1.033005,1.033006,1.0330045,5.798469,5.798518,5.7985144,220.009184,220.009288,220.00928,227.7129,227.71162,227.71161,-0.00128,-0.00129
2.949,0.024842,0.021391,0.0214001,0.158549,0.158996,0.15900271,0.679183,0.679688,0.67967846,1.032946,1.032947,1.0329456,5.798337,5.798404,5.7983997,220.008909,220.009055,220.00905,227.70277,227.70048,227.70047,-0.00229,-0.0023
4.1366,0.019483,0.014806,0.01481833,0.154252,0.154681,0.15469022,0.677378,0.678048,0.67803304,1.032838,1.032839,1.0328363,5.798145,5.798236,5.7982295,220.00854,220.008741,220.00873,227.69064,227.68735,227.68734,-0.00329,-0.0033
5.8025,0.014272,0.008852,0.00886444,0.148528,0.148796,0.14880909,0.674822,0.675698,0.6756777,1.032632,1.032634,1.0326311,5.797855,5.797977,5.7979678,220.008041,220.008316,220.0083,227.67615,227.67227,227.67225,-0.00388,-0.0039
8.1392,0.009573,0.004332,0.00434086,0.140964,0.140805,0.14081561,0.671124,0.672266,0.67223349,1.032238,1.032242,1.0322354,5.797395,5.79756,5.7975461,220.007361,220.007736,220.00772,227.65865,227.65494,227.65489,-0.00371,-0.00376
11.417,0.005722,0.001617,0.00162104,0.131079,0.13005,0.1300567,0.665634,0.667145,0.66709706,1.031472,1.031482,1.0314721,5.796636,5.796863,5.7968435,220.006424,220.006938,220.00691,227.63697,227.63409,227.634,-0.00288,-0.00297
16.0147,0.002942,0.000421,0.00042324,0.118429,0.115835,0.11583348,0.657261,0.659331,0.65925252,1.029978,1.030002,1.0299806,5.795332,5.795659,5.7956281,220.005115,220.005822,220.00578,227.60906,227.60707,227.6069,-0.00199,-0.00216
22.464,0.00125,6.9e-05,6.964e-05,0.102879,0.097674,0.09767267,0.644198,0.647157,0.64704953,1.027052,1.027114,1.027081,5.793028,5.793525,5.7934816,220.003257,220.004236,220.00419,227.57166,227.56977,227.56954,-0.00189,-0.00212
31.5105,0.000432,6e-06,6.48e-06,0.085134,0.075827,0.07582727,0.623665,0.627888,0.6277247,1.021337,1.021492,1.0214271,5.78887,5.789676,5.7896098,220.000565,220.001936,220.00187,227.52,227.51683,227.51647,-0.00317,-0.00353
44.2001,0.000127,0.0,3.1e-07,0.067167,0.052041,0.05204744,0.59206,0.597175,0.59695868,1.010248,1.010615,1.010508,5.781271,5.782669,5.7825776,219.996571,219.998522,219.99845,227.44744,227.44102,227.44054,-0.00642,-0.0069
62.0,3.6e-05,0.0,1e-08,0.051765,0.029914,0.02993638,0.546563,0.548761,0.54846361,0.988995,0.989773,0.98957609,5.767355,5.769905,5.7697604,219.990518,219.993346,219.99325,227.34523,227.3317,227.33099,-0.01353,-0.01424
85.775,1.2e-05,0.0,0.0,0.040986,0.014046,0.01408153,0.49111,0.478953,0.47856941,0.951461,0.952718,0.95236027,5.743272,5.74797,5.7477132,219.98156,219.985683,219.98554,227.2084,227.17937,227.17826,-0.02903,-0.03014
109.55,5e-06,0.0,0.0,0.035083,0.006658,0.0066821,0.44576,0.409022,0.40863176,0.905909,0.906976,0.90653578,5.713366,5.720894,5.7205457,219.971476,219.977057,219.97686,227.0716,227.02061,227.01925,-0.05099,-0.05235
133.325,3e-06,0.0,0.0,0.031122,0.003231,0.00324923,0.409978,0.343698,0.34338122,0.855457,0.855054,0.85453114,5.678025,5.688938,5.6884879,219.960091,219.967314,219.96705,226.93468,226.85824,226.8567,-0.07644,-0.07798
157.1,2e-06,0.0,0.0,0.028089,0.001616,0.00162853,0.381722,0.285537,0.28535939,0.80265,0.799251,0.79859805,5.637633,5.652346,5.6517564,219.947299,219.956364,219.95604,226.7974,226.69511,226.69338,-0.10229,-0.10402
180.875,1e-06,0.0,0.0,0.02564,0.000835,0.00084235,0.359232,0.235273,0.23522651,0.74912,0.741243,0.74052679,5.592576,5.611437,5.6107403,219.933106,219.944208,219.94383,226.65967,226.53299,226.53117,-0.12668,-0.1285
204.65,1e-06,0.0,0.0,0.023594,0.000445,0.00044985,0.341086,0.192742,0.1927593,0.696114,0.682488,0.68177059,5.543219,5.566509,5.5657513,219.917518,219.930849,219.93044,226.52153,226.37303,226.37117,-0.1485,-0.15036
228.425,0.0,0.0,0.0,0.021846,0.000245,0.00024796,0.326179,0.157293,0.15741409,0.644542,0.624218,0.62350218,5.489909,5.517845,5.5169671,219.900543,219.91629,219.9158,226.38302,226.21589,226.21394,-0.16713,-0.16908
252.2,0.0,0.0,0.0,0.020328,0.000139,0.00014077,0.313691,0.128081,0.12823389,0.595064,0.567468,0.56676993,5.433015,5.465743,5.464761,219.882201,219.900544,219.89997,226.2443,226.06198,226.05988,-0.18232,-0.18442
275.975,0.0,0.0,0.0,0.018991,8.1e-05,8.214e-05,0.303005,0.104187,0.10436401,0.548077,0.513011,0.51235449,5.372862,5.410464,5.4093631,219.862504,219.883617,219.88293,226.10544,225.91136,225.9091,-0.19408,-0.19634
299.75,0.0,0.0,0.0,0.017801,4.9e-05,4.919e-05,0.293676,0.084743,0.0849499,0.503805,0.461413,0.46080568,5.30976,5.352257,5.3510096,219.841462,219.865513,219.8647,225.9665,225.76397,225.76151,-0.20253,-0.20499
323.525,0.0,0.0,0.0,0.016734,3e-05,3.017e-05,0.285384,0.068969,0.06915342,0.462344,0.413061,0.41251823,5.244005,5.291359,5.290068,219.819089,219.846237,219.84532,225.82756,225.61966,225.61709,-0.2079,-0.21047
347.3,0.0,0.0,0.0,0.015769,1.9e-05,1.891e-05,0.2779,0.056197,0.05638456,0.423707,0.368187,0.36773699,5.175882,5.227998,5.226623,219.795397,219.825796,219.82476,225.68865,225.4782,225.47552,-0.21045,-0.21313
