hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
0.0,0.026767,0.026767,0.02676694,0.085059,0.085059,0.08505871,0.341811,0.341811,0.34181121,0.516542,0.516542,0.51654159,2.899381,2.899381,2.8993807,110.004941,110.004941,110.00494,113.8745,113.8745,113.8745,0.0,0.0
0.0006,0.026755,0.026756,0.02675567,0.085057,0.085057,0.08505684,0.341811,0.341811,0.34181068,0.516542,0.516542,0.51654159,2.899381,2.899381,2.8993806,110.004941,110.004941,110.00494,113.87449,113.87449,113.87449,0.0,0.0
0.0009,0.02675,0.026751,0.02675113,0.085056,0.085056,0.08505608,0.34181,0.34181,0.34181046,0.516542,0.516542,0.51654159,2.899381,2.899381,2.8993806,110.004941,110.004941,110.00494,113.87448,113.87448,113.87448,0.0,0.0
0.0012,0.026743,0.026745,0.02674479,0.085055,0.085055,0.085055,0.34181,0.34181,0.34181015,0.516542,0.516542,0.51654159,2.899381,2.899381,2.8993806,110.004941,110.004941,110.00494,113.87447,113.87447,113.87447,0.0,0.0
0.0017,0.026734,0.026736,0.02673593,0.085053,0.085053,0.08505346,0.34181,0.34181,0.34180971,0.516542,0.516542,0.51654159,2.899381,2.899381,2.8993806,110.00494,110.00494,110.00494,113.87446,113.87446,113.87446,0.0,0.0
0.0024,0.02672,0.026724,0.02672355,0.085051,0.085051,0.08505127,0.341809,0.341809,0.34180908,0.516542,0.516542,0.51654158,2.899381,2.899381,2.8993806,110.00494,110.00494,110.00494,113.87444,113.87445,113.87445,1e-05,1e-05
0.0034,0.026702,0.026706,0.02670623,0.085047,0.085048,0.08504816,0.341808,0.341808,0.34180817,0.516542,0.516542,0.51654158,2.899381,2.899381,2.8993805,110.00494,110.00494,110.00494,113.87442,113.87442,113.87442,0.0,0.0
0.0048,0.026676,0.026682,0.02668206,0.085043,0.085044,0.08504374,0.341806,0.341807,0.34180687,0.516542,0.516542,0.51654157,2.89938,2.89938,2.8993804,110.00494,110.00494,110.00494,113.87439,113.87439,113.87439,0.0,0.0
0.0067,0.02664,0.026648,0.02664831,0.085036,0.085037,0.08503744,0.341804,0.341805,0.341805,0.516542,0.516542,0.51654156,2.89938,2.89938,2.8993803,110.004939,110.004939,110.00494,113.87434,113.87435,113.87435,1e-05,1e-05
0.0094,0.02659,0.026601,0.02660124,0.085026,0.085029,0.08502849,0.341801,0.341802,0.34180231,0.516542,0.516542,0.51654154,2.89938,2.89938,2.8993801,110.004939,110.004939,110.00494,113.87428,113.87429,113.87429,1e-05,1e-05
