,hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
0,0.0003,0.16448251,0.15275106,0.15263528,0.02715267,0.02513068,0.02516938,0.008093,0.00706777,0.00711829,3.499e-05,3.468e-05,3.834e-05,0.00041861,0.00035876,0.00036845,0.00182633,0.00155215,0.00156702,0.20200811,0.18689509,0.18689676,-0.01511302,-0.01511135
1,0.0008,0.16437625,0.15268711,0.15257183,0.02718671,0.02516356,0.02520196,0.00810844,0.00708141,0.0071319,3.526e-05,3.495e-05,3.854e-05,0.00042034,0.00036023,0.00036992,0.00182898,0.00155457,0.00156953,0.20195599,0.18688182,0.18688367,-0.01507417,-0.01507232
2,0.0011,0.16422187,0.15258433,0.1524694,0.02725938,0.02523324,0.0252715,0.00814111,0.00711014,0.00716081,3.572e-05,3.54e-05,3.895e-05,0.00042396,0.00036331,0.00037304,0.00183519,0.00155975,0.00157485,0.20191723,0.18688616,0.18688855,-0.01503107,-0.01502868
3,0.0015,0.16404655,0.15246962,0.15235549,0.02733657,0.02530732,0.0253452,0.00817602,0.00714084,0.00719148,3.623e-05,3.591e-05,3.938e-05,0.00042786,0.00036661,0.00037635,0.00184148,0.00156529,0.00158049,0.20186471,0.18688559,0.1868884,-0.01497912,-0.01497631
4,0.0021,0.16385182,0.15234543,0.15223261,0.02741408,0.0253818,0.02541903,0.00821134,0.00717191,0.00722223,3.678e-05,3.646e-05,3.982e-05,0.00043183,0.00036999,0.00037968,0.00184812,0.00157091,0.00158615,0.20179398,0.18687648,0.18687951,-0.0149175,-0.01491447
5,0.0029,0.16363032,0.15220824,0.15209734,0.02749182,0.02545664,0.02549288,0.00824706,0.00720335,0.00725304,3.739e-05,3.706e-05,4.025e-05,0.00043589,0.00037343,0.000383,0.00185484,0.0015766,0.00159181,0.20169731,0.18685531,0.18685834,-0.014842,-0.01483897
6,0.0041,0.16337157,0.15205304,0.15194481,0.02756973,0.02553189,0.02556671,0.00828324,0.00723524,0.0072839,3.807e-05,3.774e-05,4.069e-05,0.00044004,0.00037695,0.00038634,0.00186161,0.00158236,0.00159749,0.20156426,0.18681721,0.18681995,-0.01474705,-0.01474431
7,0.0057,0.16306103,0.15187281,0.15176819,0.02764777,0.02560758,0.02564046,0.00831993,0.00726764,0.00731482,3.886e-05,3.852e-05,4.113e-05,0.0004443,0.00038057,0.00038968,0.00186844,0.0015882,0.00160318,0.20138033,0.18675534,0.18675746,-0.01462499,-0.01462287
8,0.008,0.16267842,0.15165773,0.15155789,0.02772586,0.0256838,0.02571405,0.00835724,0.00730069,0.00734578,3.979e-05,3.945e-05,4.157e-05,0.00044871,0.00038432,0.00039303,0.00187541,0.00159413,0.00160888,0.20112543,0.18666012,0.18666121,-0.01446531,-0.01446422
9,0.0112,0.1621957,0.15139412,0.15129923,0.02780389,0.02576063,0.02578875,0.00839529,0.00733453,0.00737843,4.091e-05,4.057e-05,4.232e-05,0.00045329,0.00038824,0.00039675,0.0018825,0.00160014,0.00161497,0.20077158,0.18651822,0.18652044,-0.01425336,-0.01425114
10,0.0158,0.1615741,0.15106287,0.15095466,0.02788167,0.02583818,0.02586319,0.00843425,0.00736938,0.00741372,4.23e-05,4.196e-05,4.379e-05,0.0004581,0.00039236,0.0004012,0.00188966,0.00160625,0.00162158,0.20028008,0.186311,0.18629815,-0.01396908,-0.01398193
11,0.0221,0.1607602,0.15063732,0.15051269,0.02795901,0.02591667,0.02593715,0.00847438,0.00740557,0.00744917,4.407e-05,4.372e-05,4.563e-05,0.00046321,0.00039676,0.00040576,0.00189697,0.00161246,0.0016279,0.19959785,0.18601251,0.18597831,-0.01358534,-0.01361954
12,0.031,0.159681,0.15008042,0.14994436,0.02803563,0.02599638,0.02601225,0.00851606,0.00744356,0.00748572,4.636e-05,4.601e-05,4.793e-05,0.00046871,0.00040154,0.00041053,0.00190442,0.0016188,0.00163414,0.19865219,0.18558671,0.18553492,-0.01306548,-0.01311727
13,0.0435,0.15822979,0.14933473,0.14919291,0.02811629,0.02608263,0.02609424,0.00856223,0.00748609,0.00752612,4.941e-05,4.905e-05,5.1e-05,0.00047504,0.00040707,0.00041588,0.00191251,0.00162568,0.0016406,0.19734528,0.18498525,0.18492076,-0.01236003,-0.01242452
14,0.0611,0.15603386,0.14813768,0.14798545,0.02836273,0.02633027,0.02633579,0.00869067,0.00760111,0.00763887,5.455e-05,5.418e-05,5.613e-05,0.00049149,0.00042112,0.00042987,0.0019365,0.00164609,0.00166079,0.19556981,0.18419045,0.1841069,-0.01137936,-0.01146291
15,0.0856,0.15256901,0.14607842,0.14589023,0.0290436,0.02699492,0.02698907,0.00903819,0.00790704,0.00794334,6.421e-05,6.378e-05,6.599e-05,0.00053553,0.00045801,0.00046733,0.00200469,0.00170407,0.00171943,0.19325524,0.18320623,0.18307539,-0.01004901,-0.01017985
16,0.1201,0.14779122,0.1430739,0.14292475,0.03001546,0.0279404,0.02793447,0.00956085,0.00836404,0.00840191,7.89e-05,7.837e-05,8.084e-05,0.00060561,0.0005158,0.00052598,0.00211176,0.00179509,0.00181217,0.1901638,0.18176761,0.18168011,-0.00839619,-0.00848369
