,hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
0,0.0003,0.16441862,0.15270498,0.15258907,0.02719132,0.02516764,0.02520643,0.00811022,0.00708289,0.00713367,3.52e-05,3.488e-05,3.856e-05,0.0004205,0.00036036,0.00037011,0.00182954,0.00155488,0.00156985,0.20200539,0.18690564,0.1869077,-0.01509975,-0.01509769
1,0.0008,0.16430208,0.15263353,0.15251817,0.02723165,0.02520651,0.025245,0.00812851,0.00709903,0.00714976,3.55e-05,3.519e-05,3.879e-05,0.00042255,0.00036211,0.00037185,0.00183276,0.00155776,0.00157281,0.20195305,0.18689412,0.18689638,-0.01505893,-0.01505667
2,0.0011,0.16413208,0.1525193,0.15240448,0.02731387,0.02528532,0.02532358,0.00816555,0.00713158,0.00718243,3.602e-05,3.57e-05,3.925e-05,0.00042667,0.0003656,0.00037538,0.00183975,0.00156364,0.00157882,0.20191394,0.18690113,0.18690395,-0.01501281,-0.01500999
3,0.0015,0.16394625,0.15239677,0.15228299,0.02739758,0.0253656,0.02540337,0.00820351,0.00716494,0.00721563,3.657e-05,3.624e-05,3.972e-05,0.00043091,0.0003692,0.00037896,0.00184666,0.00156968,0.00158493,0.20186148,0.18690243,0.18690562,-0.01495905,-0.01495586
4,0.0021,0.16374109,0.15226473,0.15215256,0.02748162,0.02544628,0.02548328,0.0082419,0.00719868,0.00724891,3.716e-05,3.683e-05,4.019e-05,0.00043525,0.00037287,0.00038256,0.0018539,0.00157581,0.00159105,0.20179091,0.18689521,0.18689855,-0.0148957,-0.01489236
5,0.0029,0.16350918,0.15211964,0.15200973,0.02756593,0.02552738,0.02556324,0.00828075,0.00723285,0.00728225,3.781e-05,3.748e-05,4.067e-05,0.00043967,0.00037662,0.00038616,0.00186124,0.00158203,0.00159719,0.20169458,0.18687599,0.18687924,-0.01481859,-0.01481534
6,0.0041,0.16324014,0.1519565,0.15184965,0.02765046,0.02560891,0.0256432,0.00832009,0.00726749,0.00731566,3.854e-05,3.82e-05,4.114e-05,0.0004442,0.00038045,0.00038977,0.0018686,0.00158833,0.00160333,0.20156203,0.18683988,0.18684274,-0.01472215,-0.01471929
7,0.0057,0.16291941,0.15176826,0.15166543,0.0277352,0.02569096,0.02572312,0.00836002,0.0073027,0.00734913,3.937e-05,3.903e-05,4.161e-05,0.00044885,0.0003844,0.00039339,0.00187613,0.00159472,0.0016095,0.20137898,0.18678007,0.18678218,-0.01459891,-0.0145968
8,0.008,0.16252692,0.15154519,0.15144762,0.02782001,0.02577355,0.02580288,0.00840061,0.00733858,0.00738267,4.035e-05,4e-05,4.209e-05,0.00045365,0.00038848,0.00039701,0.00188375,0.00160121,0.00161567,0.20112529,0.18668701,0.18668793,-0.01443828,-0.01443736
9,0.0112,0.16203475,0.15127359,0.15118072,0.0279048,0.02585678,0.02588389,0.00844199,0.0073753,0.00741812,4.152e-05,4.117e-05,4.289e-05,0.00045864,0.00039273,0.00040106,0.00189151,0.0016078,0.0016223,0.2007732,0.18654737,0.18654897,-0.01422583,-0.01422423
10,0.0158,0.16140431,0.1509344,0.15082636,0.02798939,0.02594079,0.0259649,0.00848433,0.00741308,0.00745672,4.296e-05,4.261e-05,4.442e-05,0.00046387,0.00039719,0.00040594,0.00189936,0.0016145,0.00162964,0.20028423,0.18634257,0.18632798,-0.01394166,-0.01395625
11,0.0221,0.16058252,0.15050104,0.15037451,0.02807358,0.02602576,0.02604543,0.00852791,0.00745224,0.00749558,4.478e-05,4.442e-05,4.634e-05,0.00046941,0.00040195,0.00041094,0.00190738,0.00162131,0.00163673,0.19960558,0.18604672,0.18600952,-0.01355886,-0.01359606
12,0.031,0.15949642,0.14993624,0.14979598,0.02815734,0.02611222,0.02612736,0.0085732,0.00749335,0.00753574,4.712e-05,4.676e-05,4.871e-05,0.00047537,0.0004071,0.0004162,0.00191559,0.00162828,0.00164379,0.19866503,0.18562395,0.18556777,-0.01304108,-0.01309726
13,0.0435,0.15801148,0.14916054,0.14901109,0.02826404,0.02622319,0.02623397,0.00863198,0.00754683,0.00758772,5.035e-05,4.998e-05,5.199e-05,0.00048322,0.00041389,0.00042297,0.0019262,0.00163733,0.00165267,0.19736727,0.18503175,0.18496041,-0.01233552,-0.01240686
14,0.0611,0.1556146,0.14779616,0.14762505,0.02865252,0.02660553,0.02660861,0.00882992,0.00772206,0.00776139,5.648e-05,5.608e-05,5.817e-05,0.00050817,0.00043495,0.00044425,0.00196429,0.0016697,0.00168527,0.19562598,0.18428448,0.18418274,-0.0113415,-0.01144324
15,0.0856,0.1519949,0.14558613,0.1453866,0.02944208,0.02737222,0.02736344,0.00923818,0.00807976,0.00811632,6.72e-05,6.674e-05,6.903e-05,0.00056074,0.00047864,0.00048827,0.00204606,0.00173922,0.00175505,0.19334915,0.18332271,0.18317871,-0.01002644,-0.01017044
