,hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
20,0.4651,0.09431938,0.10579719,0.1057792,0.03317538,0.03148578,0.03147819,0.01212871,0.01061942,0.01062607,0.00019532,0.00019362,0.0001948,0.00103447,0.00085821,0.00086121,0.00270944,0.00230376,0.00230821,0.14356271,0.15125797,0.1512477,0.00769526,0.00768499
21,0.6524,0.08037375,0.09413161,0.09408599,0.0325716,0.03118068,0.03116187,0.01207346,0.01061465,0.01063295,0.00022815,0.0002265,0.00022886,0.00103962,0.0008678,0.00087556,0.00268124,0.00228006,0.00229264,0.12896782,0.1393013,0.13927787,0.01033348,0.01031005
22,0.9151,0.06571703,0.08032576,0.08025859,0.03131677,0.03034031,0.03031257,0.01169698,0.01035295,0.01038006,0.00026787,0.00026648,0.00027029,0.00099431,0.00084109,0.00085242,0.00256307,0.00217996,0.00219767,0.11255602,0.12430655,0.1242716,0.01175053,0.01171558
23,1.2836,0.05094736,0.06406354,0.0640345,0.02977119,0.0293058,0.02928685,0.0112842,0.01007336,0.0101057,0.00032806,0.00032685,0.00033038,0.00095366,0.00081997,0.00083187,0.00243134,0.00206842,0.00208785,0.09571581,0.10665793,0.10667715,0.01094212,0.01096134
24,1.8006,0.03725975,0.0463833,0.04638736,0.02810338,0.02824083,0.02824518,0.01097465,0.00989488,0.00993703,0.00042008,0.00041884,0.0004242,0.00094279,0.00082466,0.00083765,0.00231728,0.00197204,0.00199168,0.08001791,0.08773455,0.0878231,0.00771664,0.00780519
25,2.5257,0.02556887,0.02937082,0.02937665,0.02631395,0.02713991,0.02713847,0.0108,0.00984503,0.00988223,0.00055629,0.00055472,0.00055809,0.00096838,0.00086184,0.00087322,0.0022215,0.00189139,0.00190989,0.06642901,0.0696637,0.06973854,0.00323469,0.00330953
26,3.5428,0.01626567,0.01545529,0.01545865,0.02440367,0.02597383,0.02597794,0.01080035,0.00995605,0.00999892,0.00075417,0.00075173,0.00075907,0.00104002,0.00094081,0.00095402,0.00214474,0.00182715,0.00184399,0.05540861,0.05490485,0.05499258,-0.00050376,-0.00041603
27,4.9695,0.00942135,0.00630769,0.00631648,0.02243094,0.02473822,0.02473644,0.01106738,0.01030425,0.01033932,0.00103766,0.00103336,0.00103705,0.00117762,0.00107967,0.00109048,0.00209785,0.00178865,0.00180454,0.0472328,0.04525183,0.04532431,-0.00198097,-0.00190849
28,6.9709,0.00486734,0.00182873,0.00183402,0.02039266,0.02333142,0.02335216,0.01167938,0.0109562,0.01100976,0.00143832,0.00143044,0.0014428,0.00140367,0.00129902,0.00131481,0.00208813,0.00178218,0.00179842,0.0418695,0.04062799,0.04075196,-0.00124151,-0.00111754
29,9.7781,0.0021708,0.00033756,0.00033933,0.0181269,0.02146192,0.02147858,0.01263833,0.01191212,0.01195855,0.00200065,0.00198621,0.00199478,0.00173691,0.00161652,0.00162987,0.00210763,0.00180107,0.00181648,0.03878122,0.0391154,0.03921759,0.00033418,0.00043637
30,13.7158,0.00078719,3.458e-05,3.482e-05,0.01545022,0.01883137,0.0188494,0.01392729,0.01317822,0.01324228,0.00278527,0.00275949,0.00278083,0.00220745,0.00205917,0.00207904,0.00215441,0.0018437,0.00185886,0.03731183,0.03870652,0.03884524,0.00139469,0.00153341
31,19.2394,0.00021252,1.67e-06,1.68e-06,0.01224881,0.01526417,0.01526618,0.01543864,0.01476547,0.0148137,0.00386791,0.00382461,0.00384138,0.00286242,0.00266827,0.00268478,0.00223855,0.00191866,0.00193149,0.03686885,0.03844285,0.03853922,0.001574,0.00167037
32,26.9872,4.007e-05,3e-08,3e-08,0.00866849,0.01088333,0.01087631,0.01679835,0.01661981,0.01667328,0.00532467,0.00526108,0.00529225,0.0037688,0.00350274,0.00352492,0.0023841,0.00204634,0.00205762,0.03698447,0.03831334,0.03842442,0.00132887,0.00143995
