,hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
0,0.0003,0.16409013,0.15249329,0.15237757,0.0273291,0.0252999,0.02533878,0.00817234,0.00713745,0.00718877,3.595e-05,3.563e-05,3.934e-05,0.00042737,0.00036618,0.00037606,0.00184074,0.00156477,0.00157999,0.20189564,0.18689722,0.18690052,-0.01499842,-0.01499512
1,0.0008,0.16360119,0.15218691,0.15207342,0.0275106,0.02547435,0.02551234,0.00825523,0.00721019,0.00726112,3.707e-05,3.674e-05,4.037e-05,0.00043665,0.00037403,0.00038388,0.00185647,0.00157805,0.0015933,0.20169721,0.18686028,0.18686443,-0.01483693,-0.01483278
2,0.0011,0.16285916,0.15167644,0.15157132,0.02788531,0.02583245,0.02586699,0.00842773,0.00736108,0.00740856,3.934e-05,3.899e-05,4.245e-05,0.00045624,0.00039052,0.0003998,0.00188946,0.0016061,0.00162042,0.20155723,0.18690558,0.18690955,-0.01465165,-0.01464768
3,0.0015,0.16205186,0.15112498,0.15103508,0.02827241,0.02620195,0.02623012,0.00860986,0.0075199,0.00755962,4.185e-05,4.149e-05,4.459e-05,0.00047743,0.00040824,0.00041612,0.00192496,0.00163627,0.00164821,0.20137838,0.18693282,0.18693375,-0.01444556,-0.01444463
4,0.0021,0.16116922,0.15052894,0.15046113,0.02866686,0.02657814,0.02659719,0.0087997,0.00768494,0.00771245,4.462e-05,4.423e-05,4.676e-05,0.00050008,0.00042705,0.00043263,0.00196266,0.00166831,0.00167633,0.20114314,0.1869316,0.18692649,-0.01421154,-0.01421665
5,0.0029,0.1601869,0.14987558,0.14983681,0.02906819,0.02696071,0.02696803,0.00899746,0.00785637,0.00786705,4.766e-05,4.724e-05,4.895e-05,0.00052429,0.00044702,0.00044934,0.00200268,0.00170232,0.00170477,0.20082719,0.18688923,0.18687495,-0.01393796,-0.01395224
6,0.0041,0.15904969,0.14912719,0.14907168,0.02947173,0.02734567,0.02734632,0.00920209,0.00803332,0.008046,5.101e-05,5.055e-05,5.237e-05,0.0005501,0.00046816,0.00047163,0.00204487,0.00173817,0.00174278,0.20036948,0.18676306,0.18673078,-0.01360642,-0.0136387
7,0.0057,0.15768857,0.14823741,0.14816978,0.02987196,0.02772837,0.02773033,0.0094123,0.00821473,0.00824068,5.47e-05,5.42e-05,5.656e-05,0.00057754,0.00049049,0.00049744,0.00208902,0.00177571,0.00178681,0.19969409,0.1865009,0.1864816,-0.01319319,-0.01321249
8,0.008,0.15608913,0.1472151,0.14714166,0.03027612,0.02811573,0.02811724,0.0096309,0.00840296,0.00843756,5.881e-05,5.825e-05,6.08e-05,0.00060689,0.0005142,0.00052355,0.00213584,0.00181552,0.00183135,0.1987977,0.18612176,0.18611217,-0.01267594,-0.01268553
9,0.0112,0.15416982,0.14601425,0.14594555,0.03068276,0.02850709,0.02850772,0.00985818,0.00859828,0.00863663,6.34e-05,6.278e-05,6.53e-05,0.00063831,0.00053942,0.00054993,0.00218553,0.00185776,0.0018761,0.197598,0.18557958,0.18558123,-0.01201842,-0.01201677
10,0.0158,0.15182287,0.14457208,0.14449679,0.03108975,0.02890149,0.02889846,0.01009439,0.008801,0.0088398,6.857e-05,6.788e-05,7.056e-05,0.00067197,0.00056626,0.00057737,0.00223822,0.00190255,0.0019219,0.19598577,0.18481126,0.18480487,-0.01117451,-0.0111809
11,0.0221,0.14890807,0.14280325,0.14271079,0.03149414,0.0292976,0.02928847,0.01033981,0.00901148,0.00904918,7.444e-05,7.366e-05,7.649e-05,0.00070807,0.00059487,0.00060633,0.00229407,0.00195005,0.00196983,0.1938186,0.18373091,0.18370109,-0.01008769,-0.01011751
12,0.031,0.14525047,0.14059557,0.14048392,0.03188978,0.02969177,0.02967539,0.01059363,0.00922921,0.00926476,8.115e-05,8.028e-05,8.316e-05,0.00074669,0.00062531,0.00063692,0.00235302,0.00200017,0.00202005,0.19091473,0.18222231,0.18216419,-0.00869242,-0.00875054
13,0.0435,0.14070562,0.13786474,0.13773457,0.03222122,0.03003523,0.03001158,0.01082664,0.0094298,0.00946264,8.83e-05,8.733e-05,9.027e-05,0.00078349,0.00065424,0.00066584,0.00240808,0.00204701,0.00206662,0.18703334,0.18011836,0.18003152,-0.00691498,-0.00700182
14,0.0611,0.13505735,0.13446036,0.13431346,0.03244054,0.03028759,0.03025605,0.01101321,0.00959225,0.00962271,9.555e-05,9.449e-05,9.75e-05,0.00081434,0.00067857,0.00069034,0.00245261,0.00208491,0.00210463,0.1818736,0.17719818,0.1770847,-0.00467542,-0.0047889
15,0.0856,0.12793024,0.13005067,0.12989642,0.03258429,0.03048861,0.03045001,0.01118,0.00973982,0.00976777,0.00010379,0.00010264,0.00010579,0.00084328,0.00070154,0.0007135,0.00249261,0.00211898,0.00213878,0.17513421,0.17320227,0.17307227,-0.00193194,-0.00206194
16,0.1201,0.11897709,0.12423353,0.12411382,0.03267151,0.03066369,0.03062695,0.01134924,0.00989216,0.00991817,0.00011403,0.00011279,0.00011588,0.00087428,0.00072631,0.00073799,0.00253343,0.00215377,0.00217321,0.16651958,0.16778226,0.16768603,0.00126268,0.00116645
17,0.1685,0.10806536,0.1166599,0.11659929,0.032687,0.03080854,0.03078209,0.01152375,0.01005274,0.0100763,0.00012705,0.00012572,0.00012856,0.00090814,0.0007536,0.00076406,0.00257564,0.00218978,0.00220735,0.15588693,0.16059028,0.16055766,0.00470335,0.00467073
18,0.2364,0.09527535,0.10697242,0.10696405,0.03260584,0.0309129,0.03089916,0.01170549,0.0102248,0.01024337,0.00014392,0.00014248,0.00014474,0.00094575,0.00078426,0.00079224,0.00261957,0.00222732,0.00224085,0.14329592,0.15126417,0.15128441,0.00796825,0.00798849
19,0.3315,0.08100708,0.09489254,0.09489188,0.03239115,0.03095874,0.0309496,0.01189586,0.01041161,0.01042071,0.00016612,0.00016456,0.00016592,0.00098825,0.00081938,0.0008237,0.00266538,0.00226655,0.00227361,0.12911384,0.13951338,0.13952542,0.01039954,0.01041158
20,0.4651,0.06602272,0.08039704,0.08039266,0.03197021,0.03089741,0.03089023,0.01207964,0.01060332,0.01060993,0.0001953,0.00019361,0.0001948,0.00103417,0.0008582,0.0008612,0.00270868,0.00230375,0.00230821,0.11401071,0.12525335,0.12525703,0.01124264,0.01124632
21,0.6524,0.05141431,0.06415816,0.06413706,0.03093575,0.03036031,0.03034233,0.01200486,0.01059174,0.01060996,0.00022811,0.0002265,0.00022886,0.00103919,0.00086778,0.00087554,0.00268017,0.00228006,0.00229263,0.09830239,0.10848454,0.10848638,0.01018215,0.01018399
22,0.9151,0.03797495,0.0470012,0.04697487,0.02916278,0.02922381,0.02919763,0.01160467,0.01032141,0.01034838,0.00026782,0.00026647,0.00027028,0.00099375,0.00084106,0.00085239,0.00256163,0.00217996,0.00219767,0.08256559,0.08983391,0.08984122,0.00726832,0.00727563
23,1.2836,0.02627077,0.03025646,0.03025701,0.02700869,0.02780913,0.02779194,0.01116245,0.01003045,0.01006255,0.00032799,0.00032683,0.00033036,0.00095295,0.00081994,0.00083184,0.00242942,0.00206842,0.00208785,0.06815227,0.07131122,0.07136155,0.00315895,0.00320928
24,1.8006,0.01679677,0.01623203,0.01624437,0.02464728,0.02625251,0.02625736,0.01081511,0.00983626,0.009878,0.00041997,0.00041879,0.00042415,0.00094191,0.00082462,0.0008376,0.00231473,0.00197203,0.00199167,0.05593578,0.05553625,0.05563315,-0.00039953,-0.00030263
25,2.5257,0.00973776,0.00677148,0.00677904,0.02211076,0.02451966,0.02451901,0.01059127,0.00976394,0.00980058,0.0005561,0.00055462,0.00055799,0.00096728,0.00086177,0.00087315,0.00221812,0.00189138,0.00190988,0.04618128,0.04436285,0.04443965,-0.00181843,-0.00174163
26,3.5428,0.00500665,0.00200062,0.00200395,0.0194568,0.02255078,0.02255481,0.01052608,0.00984161,0.0098836,0.00075376,0.00075148,0.00075882,0.00103859,0.00094071,0.00095391,0.00214025,0.00182713,0.00184398,0.03892214,0.03791233,0.03799905,-0.00100981,-0.00092309
27,4.9695,0.00223135,0.0003699,0.00037131,0.01680639,0.02030669,0.0203055,0.01070111,0.01013752,0.01017143,0.00103666,0.00103273,0.00103642,0.0011757,0.00107948,0.00109029,0.00209189,0.00178863,0.00180452,0.03404309,0.03471496,0.03477947,0.00067187,0.00073638
28,6.9709,0.00083279,3.658e-05,3.682e-05,0.01421756,0.01767693,0.01769202,0.01117435,0.01070314,0.01075449,0.00143574,0.0014288,0.00144113,0.00140092,0.00129868,0.00131446,0.00208022,0.00178215,0.0017984,0.03114157,0.03292628,0.03303731,0.00178471,0.00189574
29,9.7781,0.00024156,1.59e-06,1.6e-06,0.01160772,0.01447801,0.01448699,0.01190763,0.01151236,0.01155562,0.00199377,0.00198184,0.00199036,0.00173264,0.00161584,0.00162917,0.00209723,0.00180103,0.00181645,0.02958055,0.03139068,0.0314802,0.00181013,0.00189965
30,13.7158,4.778e-05,2e-08,2e-08,0.00889156,0.01071725,0.0107235,0.01279744,0.01252325,0.01258137,0.0027667,0.00274776,0.00276893,0.00220031,0.00205772,0.00207757,0.00214093,0.00184365,0.00185881,0.02884472,0.02988965,0.0300102,0.00104493,0.00116548
31,19.2394,5.58e-06,0.0,0.0,0.00610577,0.00675974,0.00675608,0.01357583,0.0136583,0.0136983,0.00381773,0.00379308,0.00380951,0.00284934,0.00266504,0.00268151,0.00222144,0.00191859,0.00193142,0.02857569,0.02879474,0.02887682,0.00021905,0.00030113
32,26.9872,3.9e-07,0.0,0.0,0.00356379,0.00332432,0.00331906,0.01369893,0.01470956,0.01474945,0.00519112,0.00517704,0.00520722,0.00374282,0.00349525,0.00351731,0.00236282,0.00204624,0.00205751,0.02855988,0.0287524,0.02885055,0.00019252,0.00029067
33,37.8553,2e-08,0.0,0.0,0.00173935,0.00111734,0.0011146,0.01250367,0.01514606,0.01515396,0.0068657,0.00692184,0.00694632,0.00494063,0.00460673,0.00462241,0.00258226,0.00224107,0.00224642,0.02863163,0.03003304,0.03008371,0.00140141,0.00145208
34,53.1,0.0,0.0,0.0,0.00077301,0.00021556,0.00021505,0.00987118,0.01414165,0.01414031,0.00865734,0.00893783,0.00897087,0.00648174,0.00604593,0.00606998,0.00288815,0.00251017,0.00252118,0.02867142,0.03185113,0.03191737,0.00317971,0.00324595
35,73.8875,0.0,0.0,0.0,0.00035271,2.021e-05,2.022e-05,0.00662852,0.01114923,0.01113838,0.01003552,0.01080289,0.01084008,0.00833235,0.00780116,0.00783841,0.00329404,0.00286543,0.00288679,0.02864315,0.03263892,0.03272387,0.00399577,0.00408073
36,97.6625,0.0,0.0,0.0,0.00017981,1.06e-06,1.07e-06,0.00410208,0.00733584,0.00731561,0.01036924,0.01172881,0.01173331,0.01013305,0.00955014,0.00957696,0.00374225,0.00325773,0.00327983,0.02852643,0.03187358,0.03190679,0.00334715,0.00338036
37,121.4375,0.0,0.0,0.0,0.00010526,6e-08,6e-08,0.00262922,0.00430267,0.00428551,0.00980364,0.01153132,0.01153217,0.01162795,0.01104846,0.01107845,0.00417056,0.0036343,0.00365798,0.02833664,0.03051681,0.03055417,0.00218017,0.00221753
38,145.2125,0.0,0.0,0.0,6.751e-05,0.0,0.0,0.00180676,0.0023201,0.00230806,0.00878417,0.0105173,0.01051875,0.01285169,0.0123236,0.01236255,0.00458197,0.00399888,0.00402326,0.0280921,0.02915989,0.02921262,0.00106779,0.00112052
39,168.9875,0.0,0.0,0.0,4.635e-05,0.0,0.0,0.0013389,0.00117581,0.00117047,0.00761422,0.00902371,0.00900967,0.01383355,0.01340025,0.0134307,0.00498089,0.00435611,0.0043764,0.02781391,0.02795588,0.02798725,0.00014197,0.00017334
40,192.7625,0.0,0.0,0.0,3.345e-05,0.0,0.0,0.00105288,0.00056952,0.00056813,0.00646093,0.00735336,0.00733245,0.01459432,0.01429494,0.01431216,0.00536739,0.00470666,0.00472122,0.02750896,0.02692449,0.02693397,-0.00058447,-0.00057499
41,216.5375,0.0,0.0,0.0,2.507e-05,0.0,0.0,0.00086231,0.00026707,0.0002664,0.00540015,0.00573106,0.00571373,0.01515307,0.01502181,0.01505856,0.00574133,0.00505095,0.00507909,0.02718192,0.0260709,0.02611778,-0.00111102,-0.00106414
42,240.3125,0.0,0.0,0.0,1.935e-05,0.0,0.0,0.00072594,0.00012247,0.00012255,0.00445982,0.00429512,0.00427856,0.01552857,0.01559364,0.01562205,0.00610255,0.00538929,0.00541946,0.02683623,0.02540052,0.02544262,-0.00143571,-0.00139361
43,264.0875,0.0,0.0,0.0,1.529e-05,0.0,0.0,0.00062338,5.535e-05,5.546e-05,0.00364536,0.00310884,0.00309419,0.01573983,0.01602247,0.01605226,0.00645102,0.00572203,0.00575914,0.02647489,0.02490869,0.02496105,-0.0015662,-0.00151384
44,287.8625,0.0,0.0,0.0,1.235e-05,0.0,0.0,0.00054437,2.481e-05,2.489e-05,0.00295213,0.00218088,0.00216978,0.01580789,0.01632222,0.01635749,0.00678906,0.00605151,0.00609687,0.0261058,0.02457942,0.02464903,-0.00152638,-0.00145677
45,311.6375,0.0,0.0,0.0,1.029e-05,0.0,0.0,0.00048633,1.108e-05,1.117e-05,0.00237203,0.00148637,0.00147843,0.01576418,0.01651882,0.01652359,0.00713225,0.00639151,0.00642319,0.02576507,0.02440777,0.02443638,-0.0013573,-0.00132869
46,335.4125,0.0,0.0,0.0,8.83e-06,0.0,0.0,0.00044484,4.95e-06,4.98e-06,0.00189436,0.00098726,0.00098134,0.01563459,0.01662765,0.01664159,0.00748949,0.00674993,0.00679101,0.02547212,0.02436979,0.02441893,-0.00110233,-0.00105319
47,359.1875,0.0,0.0,0.0,7.69e-06,0.0,0.0,0.00041168,2.22e-06,2.24e-06,0.00150455,0.00064166,0.00063784,0.0154259,0.01664176,0.01665383,0.00784718,0.00711526,0.00716018,0.025197,0.02440091,0.02445409,-0.00079609,-0.00074291
48,382.9625,0.0,0.0,0.0,6.73e-06,0.0,0.0,0.0003826,1e-06,1.01e-06,0.00118799,0.00040916,0.00040714,0.01514085,0.01655617,0.01655268,0.00819267,0.00747671,0.00751433,0.02491084,0.02444304,0.02447516,-0.0004678,-0.00043568
49,406.7375,0.0,0.0,0.0,5.9e-06,0.0,0.0,0.00035674,4.5e-07,4.6e-07,0.00093299,0.0002565,0.0002554,0.01479464,0.01638219,0.01637225,0.00852571,0.00783424,0.00786957,0.02461598,0.02447338,0.02449769,-0.0001426,-0.00011829
50,430.5125,0.0,0.0,0.0,5.18e-06,0.0,0.0,0.0003336,2.1e-07,2.1e-07,0.00072918,0.00015837,0.00015766,0.01440169,0.01613186,0.01613395,0.00884715,0.00818885,0.00823795,0.02431681,0.02447928,0.02452977,0.00016247,0.00021296
51,454.2875,0.0,0.0,0.0,4.57e-06,0.0,0.0,0.00031275,1e-07,1e-07,0.0005674,9.644e-05,9.611e-05,0.01397251,0.01581451,0.01581631,0.00915664,0.00854036,0.00859309,0.02401387,0.02445141,0.0245056,0.00043754,0.00049174
52,478.0625,0.0,0.0,0.0,4.04e-06,0.0,0.0,0.00029385,4e-08,5e-08,0.00043983,5.8e-05,5.79e-05,0.01351625,0.01543913,0.01543282,0.0094538,0.00888857,0.00893583,0.02370776,0.02438575,0.0244266,0.00067799,0.00071884
53,501.8375,0.0,0.0,0.0,3.57e-06,0.0,0.0,0.00027663,2e-08,2e-08,0.00033987,3.449e-05,3.449e-05,0.01304079,0.01501436,0.01499611,0.0097382,0.0092332,0.00926783,0.02339907,0.02428208,0.02429845,0.00088301,0.00089938
54,525.6125,0.0,0.0,0.0,3.17e-06,0.0,0.0,0.00026086,1e-08,1e-08,0.00026198,2.03e-05,2.028e-05,0.01255283,0.01454836,0.01453604,0.01000941,0.00957393,0.0096223,0.02308825,0.0241426,0.02417863,0.00105435,0.00109038
55,549.3875,0.0,0.0,0.0,2.82e-06,0.0,0.0,0.00024634,0.0,0.0,0.00020162,1.184e-05,1.183e-05,0.01205795,0.01404883,0.01403682,0.01026691,0.00991032,0.00996481,0.02277564,0.02397099,0.02401347,0.00119535,0.00123783
56,573.1625,0.0,0.0,0.0,2.51e-06,0.0,0.0,0.00023292,0.0,0.0,0.00015505,6.85e-06,6.85e-06,0.01156081,0.01352294,0.01350778,0.01051016,0.01024187,0.01029559,0.02246145,0.02377167,0.02381023,0.00131022,0.00134878
