hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
1.4988,0.034777,0.033566,0.03357467,0.164072,0.164401,0.16440548,0.681367,0.681647,0.68164279,1.033036,1.033037,1.0330363,5.798552,5.798589,5.7985869,220.009373,220.009449,220.00945,227.72118,227.72069,227.72069,-0.00049,-0.00049
2.1024,0.03008,0.02792,0.02792895,0.161638,0.162043,0.16204819,0.680385,0.680775,0.68076941,1.033002,1.033003,1.0330022,5.79845,5.798503,5.7985004,220.009156,220.009264,220.00926,227.71271,227.71151,227.71151,-0.0012,-0.0012
2.949,0.024908,0.021535,0.02154454,0.15837,0.158826,0.15883278,0.679041,0.67957,0.67956131,1.032943,1.032944,1.0329423,5.798308,5.798383,5.7983785,220.008867,220.009019,220.00901,227.70244,227.70028,227.70027,-0.00216,-0.00217
4.1366,0.019534,0.014947,0.01495831,0.154009,0.154446,0.15445386,0.677182,0.677883,0.67786946,1.032833,1.032835,1.0328322,5.798106,5.798206,5.7982004,220.008483,220.008692,220.00868,227.69015,227.68701,227.687,-0.00314,-0.00315
5.8025,0.014301,0.008962,0.0089745,0.14822,0.148491,0.14850467,0.674567,0.675481,0.67546301,1.032627,1.03263,1.0326264,5.797804,5.797938,5.7979298,220.007967,220.008253,220.00824,227.67549,227.67175,227.67174,-0.00374,-0.00375
8.1392,0.009582,0.0044,0.00440975,0.140593,0.140429,0.14044147,0.670803,0.671989,0.67195901,1.032233,1.032237,1.0322308,5.79733,5.797511,5.7974975,220.007268,220.007657,220.00764,227.65781,227.65422,227.65418,-0.00359,-0.00363
11.417,0.005717,0.001649,0.00165377,0.130648,0.129602,0.12961074,0.665234,0.666793,0.66674706,1.031469,1.031479,1.0314687,5.796553,5.7968,5.7967807,220.006307,220.006838,220.00681,227.63593,227.63316,227.63307,-0.00277,-0.00286
16.0147,0.00293,0.000432,0.00043402,0.117948,0.115326,0.11532566,0.656771,0.658887,0.65880857,1.029978,1.030003,1.0299811,5.795227,5.795578,5.7955459,220.004969,220.005697,220.00566,227.60782,227.60592,227.60575,-0.0019,-0.00207
22.464,0.001239,7.1e-05,7.186e-05,0.10236,0.097134,0.09713103,0.643608,0.646605,0.64649167,1.027064,1.027125,1.027091,5.792892,5.793418,5.7933712,220.003072,220.004078,220.00403,227.57024,227.56843,227.56818,-0.00181,-0.00206
31.5105,0.000423,7e-06,6.74e-06,0.084547,0.075278,0.07528072,0.62293,0.627184,0.62700755,1.021379,1.021531,1.0214636,5.788676,5.789521,5.7894473,220.000314,220.001722,220.00165,227.51827,227.51524,227.51486,-0.00303,-0.00341
44.2001,0.000121,0.0,3.2e-07,0.06642,0.051528,0.05153835,0.591092,0.596274,0.59602113,1.010385,1.010741,1.0106267,5.780958,5.78241,5.7822986,219.996191,219.998198,219.9981,227.44517,227.43915,227.43859,-0.00602,-0.00658
62.0,3.1e-05,0.0,1e-08,0.05065,0.029499,0.0295256,0.545128,0.547739,0.54738673,0.989453,0.990191,0.98998318,5.766777,5.769402,5.7692225,219.989863,219.992786,219.99265,227.3419,227.32962,227.32877,-0.01228,-0.01313
85.775,8e-06,0.0,0.0,0.039273,0.013771,0.01380514,0.488586,0.478301,0.4778627,0.952816,0.953976,0.95360851,5.742201,5.746958,5.7466633,219.980383,219.984677,219.98447,227.20327,227.17768,227.17641,-0.02559,-0.02686
109.55,3e-06,0.0,0.0,0.032891,0.006482,0.00650396,0.441585,0.409136,0.40869808,0.908453,0.909459,0.90901564,5.711742,5.719228,5.7188504,219.969693,219.975531,219.97527,227.06437,227.01984,227.01833,-0.04453,-0.04604
133.325,1e-06,0.0,0.0,0.028732,0.003126,0.00314149,0.404211,0.344405,0.34403022,0.858801,0.858585,0.85805324,5.675923,5.686674,5.6862013,219.95778,219.965337,219.96501,226.92545,226.85813,226.85644,-0.06732,-0.06901
157.1,1e-06,0.0,0.0,0.025748,0.001557,0.00156822,0.375009,0.286409,0.28617817,0.80605,0.803213,0.80255655,5.635227,5.649715,5.6491176,219.944672,219.954115,219.95373,226.78671,226.69501,226.69315,-0.0917,-0.09356
180.875,0.0,0.0,0.0,0.023462,0.000803,0.00081009,0.352216,0.236066,0.23597363,0.752101,0.745132,0.74441345,5.590054,5.608684,5.6079757,219.930364,219.94186,219.94141,226.6482,226.53255,226.53059,-0.11565,-0.11761
204.65,0.0,0.0,0.0,0.021605,0.000429,0.00043263,0.334144,0.19339,0.19336989,0.698539,0.686063,0.68534289,5.540699,5.563783,5.5630139,219.914782,219.928504,219.92803,226.50977,226.37217,226.37019,-0.1376,-0.13958
228.425,0.0,0.0,0.0,0.020028,0.000236,0.00023855,0.31945,0.157812,0.15790133,0.646469,0.627439,0.62671705,5.48743,5.515187,5.5142975,219.897847,219.913978,219.91343,226.37122,226.21465,226.21258,-0.15657,-0.15864
252.2,0.0,0.0,0.0,0.018662,0.000134,0.00013548,0.307224,0.128491,0.12861943,0.59657,0.57033,0.56962934,5.430589,5.463164,5.462176,219.879558,219.898276,219.89764,226.2326,226.06039,226.0582,-0.17221,-0.1744
275.975,0.0,0.0,0.0,0.01746,7.8e-05,7.909e-05,0.296819,0.10451,0.10466764,0.549238,0.515527,0.51486993,5.370505,5.407979,5.4068752,219.859929,219.881405,219.88067,226.09395,225.9095,225.90716,-0.18445,-0.18679
