hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
0.0,0.026767,0.026767,0.02676694,0.085059,0.085059,0.08505871,0.341811,0.341811,0.34181121,0.516542,0.516542,0.51654159,2.899381,2.899381,2.8993807,110.004941,110.004941,110.00494,113.8745,113.8745,113.8745,0.0,0.0
0.0006,0.026755,0.026756,0.02675565,0.085057,0.085057,0.08505685,0.341811,0.341811,0.34181069,0.516542,0.516542,0.51654159,2.899381,2.899381,2.8993806,110.004941,110.004941,110.00494,113.87449,113.87449,113.87449,0.0,0.0
0.0009,0.02675,0.026751,0.02675111,0.085056,0.085056,0.0850561,0.34181,0.34181,0.34181047,0.516542,0.516542,0.51654159,2.899381,2.899381,2.8993806,110.004941,110.004941,110.00494,113.87448,113.87448,113.87448,0.0,0.0
0.0012,0.026743,0.026745,0.02674474,0.085055,0.085055,0.08505504,0.34181,0.34181,0.34181017,0.516542,0.516542,0.51654159,2.899381,2.899381,2.8993806,110.004941,110.004941,110.00494,113.87447,113.87447,113.87447,0.0,0.0
0.0017,0.026733,0.026736,0.02673581,0.085053,0.085054,0.08505356,0.34181,0.34181,0.34180975,0.516542,0.516542,0.51654159,2.899381,2.899381,2.8993806,110.00494,110.00494,110.00494,113.87446,113.87446,113.87446,0.0,0.0
0.0024,0.02672,0.026723,0.0267233,0.085051,0.085051,0.08505147,0.341809,0.341809,0.34180916,0.516542,0.516542,0.51654158,2.899381,2.899381,2.8993806,110.00494,110.00494,110.00494,113.87444,113.87445,113.87445,1e-05,1e-05
0.0034,0.026701,0.026706,0.02670578,0.085048,0.085049,0.08504853,0.341808,0.341808,0.34180832,0.516542,0.516542,0.51654158,2.899381,2.899381,2.8993805,110.00494,110.00494,110.00494,113.87442,113.87442,113.87443,0.0,1e-05
0.0048,0.026675,0.026681,0.02668123,0.085043,0.085044,0.08504439,0.341807,0.341807,0.34180714,0.516542,0.516542,0.51654157,2.89938,2.899381,2.8993805,110.00494,110.00494,110.00494,113.87439,113.87439,113.87439,0.0,0.0
0.0067,0.026638,0.026647,0.02664686,0.085037,0.085039,0.08503857,0.341805,0.341806,0.34180548,0.516542,0.516542,0.51654156,2.89938,2.89938,2.8993804,110.004939,110.00494,110.00494,113.87434,113.87435,113.87435,1e-05,1e-05
0.0094,0.026586,0.026599,0.02659874,0.085028,0.08503,0.08503039,0.341802,0.341803,0.34180315,0.516542,0.516542,0.51654155,2.89938,2.89938,2.8993802,110.004939,110.004939,110.00494,113.87428,113.87429,113.87429,1e-05,1e-05
0.0131,0.026515,0.026531,0.02653144,0.085016,0.085019,0.08501888,0.341798,0.3418,0.34179985,0.516542,0.516542,0.51654153,2.89938,2.89938,2.8993801,110.004938,110.004938,110.00494,113.87419,113.87421,113.87421,2e-05,2e-05
0.0184,0.026414,0.026437,0.0264374,0.084998,0.085003,0.08500268,0.341793,0.341795,0.34179521,0.516542,0.516542,0.5165415,2.89938,2.89938,2.8993798,110.004937,110.004937,110.00494,113.87406,113.87409,113.87409,3e-05,3e-05
0.0258,0.026275,0.026306,0.02630615,0.084974,0.08498,0.08497991,0.341786,0.341789,0.34178866,0.516541,0.516541,0.51654146,2.899379,2.89938,2.8993795,110.004935,110.004936,110.00494,113.87389,113.87393,113.87393,4e-05,4e-05
0.0362,0.026082,0.026123,0.02612328,0.084939,0.084948,0.08494787,0.341775,0.34178,0.34177944,0.516541,0.516541,0.5165414,2.899379,2.899379,2.899379,110.004933,110.004934,110.00493,113.87365,113.8737,113.8737,5e-05,5e-05
0.0508,0.025817,0.025868,0.02586913,0.084891,0.084903,0.0849028,0.34176,0.341767,0.34176643,0.516541,0.516541,0.51654132,2.899378,2.899378,2.8993782,110.004929,110.004931,110.00493,113.87332,113.87339,113.87339,7e-05,7e-05
0.0713,0.025453,0.025517,0.02551758,0.084822,0.084839,0.08483901,0.341739,0.341748,0.34174791,0.516541,0.516541,0.51654118,2.899377,2.899377,2.8993772,110.004925,110.004927,110.00493,113.87286,113.87295,113.87295,9e-05,9e-05
0.1,0.024961,0.025034,0.02503539,0.084724,0.084748,0.08474736,0.341708,0.341721,0.3417209,0.516541,0.516541,0.51654096,2.899375,2.899376,2.8993756,110.004918,110.004921,110.00492,113.87223,113.87234,113.87234,0.00011,0.00011
0.1403,0.024306,0.024378,0.02438028,0.084581,0.084615,0.08461438,0.341663,0.341681,0.34168082,0.516541,0.516541,0.51654057,2.899372,2.899373,2.8993731,110.004908,110.004913,110.00491,113.87137,113.8715,113.8715,0.00013,0.00013
0.1968,0.023445,0.023496,0.02349894,0.084375,0.084422,0.0844214,0.341595,0.341622,0.34162119,0.51654,0.51654,0.5165399,2.899367,2.899369,2.8993691,110.004893,110.0049,110.0049,113.87022,113.87035,113.87035,0.00013,0.00013
0.276,0.022333,0.022326,0.02232893,0.084077,0.084142,0.08414158,0.341494,0.341534,0.34153235,0.516539,0.516539,0.51653873,2.89936,2.899363,2.8993628,110.00487,110.004881,110.00488,113.86867,113.86878,113.86879,0.00011,0.00012
0.3871,0.020932,0.020801,0.02080456,0.083647,0.083737,0.08373668,0.341343,0.341401,0.34139985,0.516537,0.516537,0.51653668,2.899348,2.899353,2.8993527,110.004837,110.004852,110.00485,113.86664,113.86668,113.86668,4e-05,4e-05
0.5431,0.019212,0.018861,0.01886421,0.08303,0.083151,0.08315116,0.341116,0.341203,0.34120159,0.516533,0.516533,0.51653303,2.899328,2.899337,2.8993365,110.004786,110.004809,110.00481,113.86401,113.86389,113.8639,-0.00012,-0.00011
0.7617,0.017174,0.016477,0.0164811,0.082148,0.082309,0.08230946,0.340777,0.340906,0.34090444,0.516526,0.516527,0.51652643,2.899297,2.899311,2.8993101,110.00471,110.004744,110.00474,113.86063,113.86027,113.86027,-0.00036,-0.00036
1.0685,0.014845,0.013666,0.0136711,0.080905,0.081107,0.0811096,0.340276,0.340466,0.34046342,0.516515,0.516515,0.51651469,2.899246,2.899269,2.899268,110.004595,110.004647,110.00464,113.85638,113.85567,113.85567,-0.00071,-0.00071
