,hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot
22,0.9151,0.09267407,0.1031393,0.10312708,0.03556052,0.03368578,0.0336818,0.01386076,0.01215535,0.01215391,0.00032175,0.00032321,0.00032317,0.00139686,0.00115688,0.00115674,0.00315938,0.00271074,0.00271042,0.14697335,0.15317126,0.15315311
23,1.2836,0.07948197,0.09189689,0.091886,0.03521759,0.03366412,0.03366013,0.01404336,0.01236992,0.01236845,0.00039219,0.00039213,0.00039208,0.00146135,0.00121301,0.00121287,0.00318283,0.00272588,0.00272556,0.13377929,0.14226196,0.1422451
24,1.8006,0.06569399,0.0789615,0.07895214,0.03404187,0.03296923,0.03296533,0.01373634,0.0122151,0.01221365,0.00047519,0.00047721,0.00047715,0.00143239,0.00120921,0.00120907,0.00304296,0.00260753,0.00260722,0.11842275,0.12843978,0.12842456
25,2.5257,0.05157705,0.06366317,0.06365563,0.03258327,0.03206292,0.03205912,0.01340304,0.01204678,0.01204536,0.00059694,0.00059748,0.00059741,0.00141221,0.00121534,0.00121519,0.00287904,0.00246926,0.00246897,0.10245154,0.11205496,0.11204168
26,3.5428,0.03819612,0.04681788,0.04681233,0.03100254,0.03112736,0.03112367,0.01321305,0.01202645,0.01202502,0.00077823,0.0007824,0.0007823,0.0014384,0.00126623,0.00126608,0.00273231,0.00234473,0.00234445,0.08736065,0.09436504,0.094353861
27,4.9695,0.02652004,0.0303232,0.0303196,0.02933385,0.03014769,0.03014412,0.0132521,0.01219477,0.01219332,0.00104351,0.00104259,0.00104247,0.00153061,0.00137105,0.00137089,0.0026129,0.00224342,0.00224316,0.07429301,0.07732271,0.077313555
28,6.9709,0.01705052,0.01649143,0.01648948,0.02755563,0.02913063,0.02912718,0.01359911,0.0126592,0.0126577,0.00142475,0.00142929,0.00142912,0.00170988,0.00156197,0.00156178,0.00252593,0.00217221,0.00217196,0.06386582,0.06344473,0.063437219
29,9.7781,0.00995395,0.00709806,0.00709722,0.02561283,0.02789463,0.02789133,0.01434104,0.01342342,0.01342183,0.00196798,0.00196275,0.00196252,0.0020014,0.0018461,0.00184589,0.0024745,0.00212987,0.00212961,0.05635169,0.05435483,0.054348392999999995
30,13.7158,0.00511584,0.00223962,0.00223936,0.0233183,0.02622934,0.02622623,0.01553918,0.01457614,0.01457441,0.00273635,0.00273148,0.00273116,0.00243516,0.00226735,0.00226708,0.0024574,0.00211688,0.00211663,0.05160223,0.05016081,0.050154864
31,19.2394,0.0022136,0.00047407,0.00047401,0.02040335,0.0238164,0.02381357,0.01722976,0.01612256,0.01612065,0.00381475,0.00378311,0.00378266,0.00305702,0.00284654,0.0028462,0.00248293,0.00213797,0.00213772,0.04920141,0.04918064,0.049174814000000004
32,26.9872,0.00076182,6.077e-05,6.076e-05,0.01662307,0.02039024,0.02038782,0.01929648,0.01818217,0.01818002,0.00530513,0.00525134,0.00525071,0.00393392,0.00366173,0.0036613,0.0025732,0.00221616,0.00221589,0.04849362,0.0497624,0.049756509000000004
33,37.8553,0.000201,4.27e-06,4.27e-06,0.01205913,0.01579507,0.0157932,0.02118048,0.02061431,0.02061187,0.00731363,0.00720948,0.00720862,0.00513443,0.00475581,0.00475524,0.00274276,0.00236205,0.00236177,0.04863143,0.05074098,0.050734969000000005
34,53.1,4.236e-05,1.5e-07,1.5e-07,0.00747912,0.01044004,0.0104388,0.02179907,0.02306595,0.02306322,0.0099274,0.00979065,0.00978949,0.00672553,0.00620162,0.00620089,0.00300138,0.00258628,0.00258597,0.04897485,0.05208469,0.05207852
35,73.8875,8.14e-06,0.0,0.0,0.00403957,0.005582,0.00558134,0.02007642,0.02468651,0.02468359,0.01300901,0.01291588,0.01291435,0.00872617,0.0080103,0.00800935,0.00336608,0.00290235,0.002902,0.04922539,0.05409705,0.054090637000000004
36,97.6625,1.88e-06,0.0,0.0,0.00226631,0.00259249,0.00259219,0.01668902,0.02455889,0.02455598,0.01575209,0.01583399,0.01583211,0.01081514,0.00987578,0.00987461,0.00379589,0.00326933,0.00326894,0.04932034,0.05613048,0.056123827
37,121.4375,6.1e-07,0.0,0.0,0.00147666,0.00119394,0.0011938,0.01327045,0.0229622,0.02295948,0.01763012,0.01809567,0.01809353,0.0127184,0.011593,0.01159163,0.00422966,0.003642,0.00364157,0.04932591,0.05748682,0.05748000599999999
38,145.2125,2.5e-07,0.0,0.0,0.00105945,0.00055863,0.00055857,0.0103689,0.02054203,0.0205396,0.01873033,0.01970569,0.01970336,0.0144502,0.01316762,0.01316606,0.00465459,0.00400662,0.00400615,0.04926373,0.0579806,0.057973733
39,168.9875,1.2e-07,0.0,0.0,0.0008117,0.0002692,0.00026917,0.00809308,0.01782658,0.01782446,0.01915581,0.02064539,0.02064295,0.01603968,0.01460862,0.01460689,0.00508032,0.00437168,0.00437116,0.04918071,0.05772146,0.057714625
40,192.7625,6e-08,0.0,0.0,0.00065946,0.00013403,0.00013401,0.00641681,0.01512769,0.0151259,0.01901872,0.02097471,0.02097223,0.01752456,0.01596501,0.01596312,0.00553283,0.00475335,0.00475279,0.04915244,0.05695479,0.056948039000000006
41,216.5375,4e-08,0.0,0.0,0.00055971,6.892e-05,6.891e-05,0.0052174,0.01259413,0.01259264,0.01848852,0.02081679,0.02081432,0.01891458,0.01729815,0.0172961,0.00601317,0.00518425,0.00518363,0.04919341,0.05596224,0.055955609
42,240.3125,2e-08,0.0,0.0,0.0004853,3.66e-05,3.659e-05,0.00434133,0.01039739,0.01039615,0.01771775,0.02027064,0.02026824,0.02018289,0.01850725,0.01850506,0.00649379,0.0056042,0.00560354,0.04922108,0.05481609,0.054809593
43,264.0875,1e-08,0.0,0.0,0.00042669,2.002e-05,2.002e-05,0.00369455,0.00850477,0.00850376,0.01680633,0.0194439,0.0194416,0.02133395,0.01963612,0.0196338,0.00696959,0.00602711,0.0060264,0.04923113,0.05363193,0.053625571
44,287.8625,1e-08,0.0,0.0,0.00037931,1.126e-05,1.126e-05,0.00321214,0.00691667,0.00691585,0.01581941,0.01841985,0.01841767,0.02237556,0.02068161,0.02067916,0.00744102,0.00644914,0.00644838,0.04922745,0.05247852,0.052472303
45,311.6375,1e-08,0.0,0.0,0.00034016,6.5e-06,6.5e-06,0.00284649,0.00562731,0.00562665,0.01480122,0.01725414,0.0172521,0.02331202,0.02159684,0.02159428,0.00790774,0.00684756,0.00684675,0.04920765,0.05133235,0.051326271
46,335.4125,0.0,0.0,0.0,0.00030724,3.85e-06,3.85e-06,0.00256368,0.00454833,0.00454779,0.01378286,0.01600044,0.01599854,0.02414756,0.02248254,0.02247987,0.00836944,0.00726552,0.00726466,0.04917079,0.05030068,0.050294715999999996
47,359.1875,0.0,0.0,0.0,0.00027914,2.33e-06,2.33e-06,0.00233988,0.00367835,0.00367791,0.01278549,0.01471634,0.0147146,0.02488639,0.02327596,0.0232732,0.00882574,0.00767538,0.00767447,0.04911665,0.04934836,0.049342515
48,382.9625,0.0,0.0,0.0,0.00025485,1.44e-06,1.44e-06,0.00215852,0.00298192,0.00298157,0.01182301,0.01343974,0.01343815,0.02553271,0.02396752,0.02396468,0.00927625,0.00806919,0.00806824,0.04904533,0.04845982,0.04845407400000001
49,406.7375,0.0,0.0,0.0,0.00023354,9.1e-07,9.1e-07,0.00200729,0.00241705,0.00241676,0.01090014,0.0121864,0.01218496,0.02608066,0.02459482,0.02459191,0.00971666,0.00846365,0.00846264,0.04893829,0.04766283,0.047657182
50,430.5125,0.0,0.0,0.0,0.00021474,5.8e-07,5.8e-07,0.00187899,0.00195643,0.0019562,0.01002659,0.01097462,0.01097332,0.02654307,0.02518096,0.02517797,0.01014928,0.00887052,0.00886947,0.04881267,0.04698311,0.046977541
51,454.2875,0.0,0.0,0.0,0.00019803,3.8e-07,3.8e-07,0.00176812,0.00158895,0.00158876,0.00920547,0.00983858,0.00983742,0.02692605,0.02568266,0.02567962,0.01057412,0.00926299,0.0092619,0.0486718,0.04637357,0.046368075
52,478.0625,0.0,0.0,0.0,0.00018311,2.5e-07,2.5e-07,0.0016708,0.00129457,0.00129442,0.00843728,0.00878359,0.00878255,0.02723404,0.02610753,0.02610443,0.01099078,0.0096419,0.00964076,0.048516,0.04582784,0.045822413
53,501.8375,0.0,0.0,0.0,0.00016971,1.7e-07,1.7e-07,0.00158431,0.00105771,0.00105758,0.00772137,0.00781096,0.00781004,0.02747166,0.02646349,0.02646035,0.01139921,0.01000928,0.01000809,0.04834625,0.0453416,0.045336231
54,525.6125,0.0,0.0,0.0,0.00015765,1.2e-07,1.2e-07,0.00150672,0.00086291,0.00086281,0.00705636,0.00689847,0.00689765,0.02764358,0.02679084,0.02678766,0.0117996,0.01039905,0.01039781,0.0481639,0.04495137,0.044946047
55,549.3875,0.0,0.0,0.0,0.00014674,8e-08,8e-08,0.00143658,0.00070649,0.00070641,0.00644041,0.00607719,0.00607647,0.02775433,0.02705547,0.02705226,0.01219216,0.01077738,0.01077611,0.04797023,0.04461661,0.04461132599999999
56,573.1625,0.0,0.0,0.0,0.00013687,6e-08,6e-08,0.00137275,0.00058038,0.00058032,0.00587139,0.00534096,0.00534033,0.02780831,0.0272627,0.02725947,0.01257701,0.01114514,0.01114382,0.04776633,0.04432924,0.044323987999999995
57,596.9375,0.0,0.0,0.0,0.00012789,4e-08,4e-08,0.00131432,0.00047832,0.00047826,0.00534695,0.00468342,0.00468286,0.02780971,0.02741726,0.02741401,0.0129542,0.01150307,0.01150171,0.04755306,0.04408211,0.044076885
58,620.7125,0.0,0.0,0.0,0.0001197,3e-08,3e-08,0.00126055,0.0003954,0.00039536,0.00486466,0.00409812,0.00409764,0.02776257,0.02752343,0.02752017,0.01332372,0.01185184,0.01185043,0.04733121,0.04386883,0.04386363
59,644.4875,0.0,0.0,0.0,0.00011222,2e-08,2e-08,0.00121085,0.00032738,0.00032734,0.00442202,0.00357161,0.00357119,0.02767078,0.02759534,0.02759207,0.01368556,0.01221141,0.01220997,0.04710142,0.04370577,0.043700592
60,668.2625,0.0,0.0,0.0,0.00010535,2e-08,2e-08,0.00116456,0.00027161,0.00027158,0.004016,0.00310358,0.00310322,0.02753429,0.02763222,0.02762895,0.01403775,0.01257632,0.01257483,0.04685794,0.04358375,0.043578587
61,692.0375,0.0,0.0,0.0,9.904e-05,1e-08,1e-08,0.00112135,0.00022604,0.00022601,0.00364451,0.00269395,0.00269363,0.02735823,0.02762917,0.02762589,0.01438087,0.01293204,0.01293051,0.046604,0.04348121,0.04347605400000001
