hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6
11.417,0.005717,0.001654,0.00165377,0.130648,0.129611,0.12961074,0.665234,0.666747,0.66674706,1.031469,1.031469,1.0314687,5.796553,5.796781,5.7967807,220.006307,220.006812,220.00681
16.0147,0.00293,0.000434,0.00043402,0.117948,0.115326,0.11532566,0.656771,0.658809,0.65880857,1.029978,1.029981,1.0299811,5.795227,5.795546,5.7955459,220.004969,220.005659,220.00566
22.464,0.001239,7.2e-05,7.186e-05,0.10236,0.097131,0.09713103,0.643608,0.646492,0.64649167,1.027064,1.027091,1.027091,5.792892,5.793371,5.7933712,220.003072,220.004025,220.00403
31.5105,0.000423,7e-06,6.74e-06,0.084547,0.075281,0.07528072,0.62293,0.627008,0.62700755,1.021379,1.021464,1.0214636,5.788676,5.789447,5.7894473,220.000314,220.00165,220.00165
44.2001,0.000121,0.0,3.2e-07,0.06642,0.051538,0.05153835,0.591092,0.596021,0.59602113,1.010385,1.010627,1.0106267,5.780958,5.782299,5.7822986,219.996191,219.9981,219.9981
62.0,3.1e-05,0.0,1e-08,0.05065,0.029526,0.0295256,0.545128,0.547387,0.54738673,0.989453,0.989983,0.98998318,5.766777,5.769223,5.7692225,219.989863,219.992647,219.99265
85.775,8e-06,0.0,0.0,0.039273,0.013805,0.01380514,0.488586,0.477863,0.4778627,0.952816,0.953609,0.95360851,5.742201,5.746663,5.7466633,219.980383,219.984473,219.98447
109.55,3e-06,0.0,0.0,0.032891,0.006504,0.00650396,0.441585,0.408698,0.40869808,0.908453,0.909016,0.90901564,5.711742,5.71885,5.7188504,219.969693,219.975266,219.97527
133.325,1e-06,0.0,0.0,0.028732,0.003141,0.00314149,0.404211,0.34403,0.34403022,0.858801,0.858053,0.85805324,5.675923,5.686201,5.6862013,219.95778,219.965009,219.96501
157.1,1e-06,0.0,0.0,0.025748,0.001568,0.00156822,0.375009,0.286178,0.28617817,0.80605,0.802557,0.80255655,5.635227,5.649118,5.6491176,219.944672,219.953725,219.95373
180.875,0.0,0.0,0.0,0.023462,0.00081,0.00081009,0.352216,0.235974,0.23597363,0.752101,0.744413,0.74441345,5.590054,5.607976,5.6079757,219.930364,219.941413,219.94141
204.65,0.0,0.0,0.0,0.021605,0.000433,0.00043263,0.334144,0.19337,0.19336989,0.698539,0.685343,0.68534289,5.540699,5.563014,5.5630139,219.914782,219.928026,219.92803
228.425,0.0,0.0,0.0,0.020028,0.000239,0.00023855,0.31945,0.157901,0.15790133,0.646469,0.626717,0.62671705,5.48743,5.514298,5.5142975,219.897847,219.913426,219.91343
252.2,0.0,0.0,0.0,0.018662,0.000135,0.00013548,0.307224,0.128619,0.12861943,0.59657,0.569629,0.56962934,5.430589,5.462176,5.462176,219.879558,219.897643,219.89764
275.975,0.0,0.0,0.0,0.01746,7.9e-05,7.909e-05,0.296819,0.104668,0.10466764,0.549238,0.51487,0.51486993,5.370505,5.406875,5.4068752,219.859929,219.880669,219.88067
299.75,0.0,0.0,0.0,0.016392,4.7e-05,4.739e-05,0.287772,0.085188,0.0851884,0.504686,0.462995,0.46299457,5.307489,5.34863,5.3486301,219.838973,219.862507,219.86251
323.525,0.0,0.0,0.0,0.015434,2.9e-05,2.908e-05,0.279756,0.06934,0.06934034,0.463001,0.414402,0.41440216,5.241835,5.287808,5.2878075,219.816702,219.843222,219.84322
347.3,0.0,0.0,0.0,0.014568,1.8e-05,1.824e-05,0.272536,0.056531,0.056531,0.424184,0.369341,0.36934052,5.173827,5.224491,5.2244905,219.793131,219.82276,219.82276
371.075,0.0,0.0,0.0,0.013782,1.2e-05,1.167e-05,0.265946,0.046172,0.04617176,0.388176,0.327895,0.3278952,5.103739,5.158939,5.1589389,219.768275,219.801144,219.80114
394.85,0.0,0.0,0.0,0.013065,8e-06,7.61e-06,0.259867,0.037774,0.03777385,0.354878,0.290045,0.2900452,5.031831,5.09144,5.0914398,219.74215,219.778419,219.77842
418.625,0.0,0.0,0.0,0.012407,5e-06,5.05e-06,0.254214,0.030967,0.03096677,0.32418,0.255725,0.25572494,4.95838,5.022174,5.022174,219.714785,219.754583,219.75458
442.4,0.0,0.0,0.0,0.011802,3e-06,3.41e-06,0.248922,0.025457,0.02545692,0.295942,0.224817,0.22481739,4.883626,4.951258,4.9512575,219.686202,219.729601,219.7296
466.175,0.0,0.0,0.0,0.011244,2e-06,2.33e-06,0.243942,0.020982,0.020982,0.270017,0.197109,0.19710924,4.807794,4.878928,4.8789281,219.656422,219.703514,219.70351
489.95,0.0,0.0,0.0,0.010729,2e-06,1.62e-06,0.239237,0.017336,0.01733613,0.246255,0.172372,0.17237219,4.731094,4.805402,4.805402,219.625468,219.67636,219.67636
513.725,0.0,0.0,0.0,0.010251,1e-06,1.14e-06,0.234775,0.014357,0.01435734,0.224509,0.150374,0.15037441,4.653725,4.730874,4.7308736,219.593364,219.648171,219.64817
537.5,0.0,0.0,0.0,0.009807,1e-06,8.1e-07,0.230531,0.011927,0.01192715,0.204636,0.130946,0.13094641,4.575872,4.655423,4.6554232,219.560133,219.618885,219.61888
561.275,0.0,0.0,0.0,0.009393,1e-06,5.8e-07,0.226486,0.009937,0.00993747,0.186498,0.113831,0.11383136,4.497707,4.579228,4.5792275,219.525796,219.588532,219.58853
585.05,0.0,0.0,0.0,0.009008,0.0,4.2e-07,0.222619,0.008303,0.00830295,0.169962,0.09879,0.09878976,4.41939,4.502448,4.5024483,219.490375,219.557145,219.55715
608.825,0.0,0.0,0.0,0.008648,0.0,3.1e-07,0.218918,0.006956,0.00695588,0.154903,0.0856,0.08559995,4.341069,4.425234,4.4252337,219.453892,219.524749,219.52475
632.6,0.0,0.0,0.0,0.008311,0.0,2.3e-07,0.215368,0.005842,0.00584231,0.141203,0.074059,0.07405853,4.262881,4.34772,4.3477202,219.416368,219.491371,219.49137
656.375,0.0,0.0,0.0,0.007995,0.0,1.7e-07,0.211958,0.00492,0.00492031,0.128749,0.064,0.06399987,4.184951,4.270004,4.270004,219.377825,219.45698,219.45698
680.15,0.0,0.0,0.0,0.007698,0.0,1.3e-07,0.208678,0.004155,0.00415539,0.117439,0.055259,0.05525931,4.107406,4.192184,4.192184,219.33829,219.421562,219.42156
703.925,0.0,0.0,0.0,0.007419,0.0,1e-07,0.20552,0.003519,0.00351881,0.107175,0.047672,0.04767242,4.030356,4.114373,4.1143728,219.297789,219.385142,219.38514
727.7,0.0,0.0,0.0,0.007156,0.0,8e-08,0.202475,0.002987,0.00298747,0.097865,0.041094,0.04109375,3.953897,4.036674,4.0366734,219.256344,219.347744,219.34774
751.475,0.0,0.0,0.0,0.006909,0.0,6e-08,0.199538,0.002543,0.0025427,0.089426,0.035395,0.03539505,3.878114,3.959182,3.9591817,219.213976,219.309393,219.30939
775.25,0.0,0.0,0.0,0.006675,0.0,5e-08,0.1967,0.002169,0.00216937,0.081778,0.030463,0.03046331,3.803083,3.881985,3.8819848,219.17071,219.27011,219.27011
799.025,0.0,0.0,0.0,0.006455,0.0,4e-08,0.193957,0.001855,0.00185518,0.074849,0.026199,0.02619923,3.728875,3.805164,3.8051638,219.126568,219.229919,219.22992
822.8,0.0,0.0,0.0,0.006246,0.0,3e-08,0.191304,0.00159,0.00159026,0.068574,0.022524,0.0225241,3.655552,3.728789,3.7287889,219.08158,219.188787,219.18879
846.575,0.0,0.0,0.0,0.006049,0.0,2e-08,0.188736,0.001366,0.00136636,0.06289,0.019361,0.01936075,3.583172,3.652929,3.6529285,219.035777,219.146722,219.14672
870.35,0.0,0.0,0.0,0.005862,0.0,2e-08,0.186252,0.001177,0.00117665,0.057743,0.016638,0.01663826,3.511784,3.577649,3.577649,218.989197,219.103759,219.10376
894.125,0.0,0.0,0.0,0.005685,0.0,1e-08,0.183846,0.001016,0.00101552,0.053082,0.014295,0.01429548,3.441434,3.50301,3.5030095,218.941878,219.059933,219.05993
917.9,0.0,0.0,0.0,0.005517,0.0,1e-08,0.181517,0.000878,0.00087834,0.048859,0.01228,0.01227982,3.37216,3.429064,3.4290637,218.893854,219.015274,219.01527
941.675,0.0,0.0,0.0,0.005358,0.0,1e-08,0.179261,0.000761,0.00076128,0.045033,0.010546,0.01054598,3.303992,3.355859,3.3558591,218.845153,218.969807,218.96981
965.45,0.0,0.0,0.0,0.005207,0.0,1e-08,0.177074,0.000661,0.00066116,0.041567,0.009055,0.0090549,3.236956,3.283438,3.2834375,218.795798,218.923553,218.92355
989.225,0.0,0.0,0.0,0.005064,0.0,1e-08,0.174953,0.000575,0.00057534,0.038423,0.007773,0.00777291,3.171071,3.211837,3.2118373,218.745813,218.87653,218.87653
1013.0,0.0,0.0,0.0,0.004927,0.0,0.0,0.172894,0.000502,0.00050163,0.035573,0.006671,0.00667109,3.106352,3.141092,3.141092,218.695218,218.828752,218.82875
