,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
55,549.3875,0.0,0.0,0.0,5.999e-05,0.0,0.0,0.00124976,2.242e-05,2.242e-05,0.00321037,0.00136004,0.0013599,0.03971692,0.04260208,0.04259767,0.02186495,0.01998477,0.0199827,0.06610199,0.06396932,0.0639627,-0.00213267,-0.00213929
56,573.1625,0.0,0.0,0.0,5.525e-05,0.0,0.0,0.00119189,1.536e-05,1.535e-05,0.00273841,0.00103107,0.00103097,0.03905251,0.0422696,0.04226522,0.02248712,0.02065319,0.02065106,0.06552517,0.06396922,0.0639626,-0.00155595,-0.00156257
57,596.9375,0.0,0.0,0.0,5.093e-05,0.0,0.0,0.00113772,1.058e-05,1.058e-05,0.00233262,0.0007787,0.00077862,0.03832371,0.04183699,0.04183266,0.02308648,0.02129886,0.02129665,0.06493146,0.06392513,0.06391851,-0.00100633,-0.00101295
58,620.7125,0.0,0.0,0.0,4.7e-05,0.0,0.0,0.00108681,7.33e-06,7.33e-06,0.00198473,0.00058596,0.0005859,0.03754057,0.04131587,0.0413116,0.02366186,0.02192196,0.02191969,0.06432096,0.06383113,0.06382452,-0.00048983,-0.00049644
59,644.4875,0.0,0.0,0.0,4.34e-05,0.0,0.0,0.00103879,5.1e-06,5.1e-06,0.00168728,0.00043856,0.00043852,0.0367114,0.0407367,0.04073248,0.02421167,0.02256145,0.02255911,0.06369253,0.06374181,0.06373521,4.928e-05,4.268e-05
60,668.2625,0.0,0.0,0.0,4.011e-05,0.0,0.0,0.00099326,3.57e-06,3.57e-06,0.00143341,0.00032694,0.0003269,0.03583937,0.04010009,0.04009594,0.02473145,0.02320625,0.02320385,0.0630376,0.06363685,0.06363026,0.00059925,0.00059266
61,692.0375,0.0,0.0,0.0,3.71e-05,0.0,0.0,0.00095027,2.51e-06,2.51e-06,0.00121756,0.00024325,0.00024323,0.03494044,0.03939952,0.03939544,0.02522623,0.0238275,0.02382504,0.0623716,0.06347279,0.06346622,0.00110119,0.00109462
62,715.8125,0.0,0.0,0.0,3.435e-05,0.0,0.0,0.00090969,1.78e-06,1.78e-06,0.00103443,0.00018064,0.00018062,0.03402178,0.03864427,0.03864028,0.02569643,0.0244265,0.02442398,0.06169668,0.06325319,0.06324665,0.00155651,0.00154997
63,739.5875,0.0,0.0,0.0,3.184e-05,0.0,0.0,0.0008714,1.26e-06,1.26e-06,0.00087935,0.00013389,0.00013388,0.03308987,0.03784285,0.03783893,0.02614278,0.02500468,0.02500209,0.06101525,0.06298269,0.06297617,0.00196744,0.00196092
64,763.3625,0.0,0.0,0.0,2.955e-05,0.0,0.0,0.0008353,9e-07,9e-07,0.00074823,9.906e-05,9.905e-05,0.03215046,0.03700292,0.03699909,0.02656609,0.02556342,0.02556078,0.06032962,0.06266631,0.06265983,0.00233669,0.00233021
