,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
23,1.2836,0.10026608,0.12329338,0.12328033,0.066673,0.06536861,0.06536201,0.02789891,0.02466432,0.02466178,0.00078376,0.00078374,0.00078366,0.00291956,0.00242446,0.0024242,0.00635912,0.00544837,0.00544781,0.20490043,0.22198287,0.22195979,0.01708244,0.01705936
24,1.8006,0.07453179,0.0907214,0.0907118,0.06307498,0.06323131,0.06322492,0.02722037,0.0243288,0.0243263,0.00094959,0.00095377,0.00095367,0.00286115,0.00241683,0.00241658,0.00607857,0.0052118,0.00521126,0.17471646,0.18686391,0.18684453,0.01214745,0.01212807
25,2.5257,0.05188569,0.05885299,0.05884676,0.05869014,0.06044465,0.06043854,0.02647494,0.02395696,0.02395449,0.00119281,0.00119409,0.00119397,0.00282026,0.00242903,0.00242878,0.00574975,0.00493544,0.00493493,0.14681359,0.15181315,0.15179746,0.00499956,0.00498387
26,3.5428,0.03334001,0.03194516,0.03194178,0.05384913,0.0572938,0.05728801,0.02599535,0.02386559,0.02386313,0.00155491,0.00156352,0.00156336,0.00287195,0.00253068,0.00253042,0.00545501,0.00468652,0.00468603,0.12306636,0.12188527,0.12187274,-0.00118109,-0.00119362
27,4.9695,0.0193587,0.01357235,0.01357091,0.04866615,0.05366342,0.053658,0.0259424,0.02412663,0.02412415,0.00208451,0.00208318,0.00208296,0.00305542,0.00274007,0.00273978,0.00521453,0.00448402,0.00448356,0.1043217,0.10066966,0.10065936,-0.00365204,-0.00366234
28,6.9709,0.00986918,0.00413086,0.00413042,0.04318935,0.04945758,0.04945258,0.02645276,0.02493623,0.02493367,0.0028449,0.002855,0.0028547,0.00341247,0.00312143,0.00312111,0.00503842,0.00434169,0.00434124,0.09080709,0.08884278,0.08883372,-0.00196431,-0.00197337
29,9.7781,0.00425989,0.00080624,0.00080615,0.03743219,0.04426598,0.0442615,0.02765348,0.02627077,0.02626806,0.00392635,0.00391838,0.00391797,0.0039931,0.00368888,0.0036885,0.00493279,0.00425703,0.00425659,0.0821978,0.08320727,0.08319878,0.00100947,0.00100098
30,13.7158,0.00146753,8.77e-05,8.769e-05,0.03123081,0.03775666,0.03775285,0.02956084,0.02824686,0.02824395,0.00545039,0.00544711,0.00544655,0.00485646,0.00452986,0.00452939,0.00489516,0.00423106,0.00423062,0.07746119,0.08029924,0.08029104,0.00283805,0.00282985
31,19.2394,0.00036843,4.51e-06,4.51e-06,0.02441555,0.02974226,0.02973926,0.03200608,0.03076679,0.03076362,0.00757369,0.00752827,0.00752749,0.00609233,0.00568532,0.00568473,0.00494215,0.00427319,0.00427274,0.07539822,0.07800034,0.07799235,0.00260212,0.00259413
32,26.9872,6.152e-05,9e-08,9e-08,0.01713016,0.02066932,0.02066723,0.03430223,0.03385284,0.03384936,0.01046526,0.01040678,0.0104057,0.00783016,0.00730965,0.00730889,0.00511795,0.00442941,0.00442896,0.07490727,0.07666809,0.07666023,0.00176082,0.00175296
33,37.8553,6.92e-06,0.0,0.0,0.01024732,0.01178157,0.01178038,0.03484224,0.03686188,0.03685808,0.01424799,0.01417262,0.01417115,0.01019748,0.0094846,0.00948362,0.00545174,0.00472094,0.00472045,0.07499369,0.07702161,0.07701369,0.00202792,0.00202
34,53.1,6.1e-07,0.0,0.0,0.00516434,0.00498035,0.00497984,0.03177839,0.03856381,0.03855984,0.0188817,0.01894896,0.018947,0.01330778,0.01234643,0.01234515,0.00596315,0.005169,0.00516847,0.07509597,0.08000854,0.0800003,0.00491257,0.00490433
35,73.8875,5e-08,0.0,0.0,0.00244515,0.00142443,0.00142428,0.02504378,0.03701297,0.03700916,0.02369937,0.02428598,0.02428347,0.01716226,0.01589808,0.01589643,0.00668593,0.00580053,0.00579993,0.07503654,0.08442198,0.08441327,0.00938544,0.00937673
36,97.6625,1e-08,0.0,0.0,0.00132489,0.00031036,0.00031033,0.01786405,0.03184626,0.03184298,0.02702638,0.02853413,0.02853118,0.02110353,0.01951486,0.01951284,0.00753805,0.0065337,0.00653302,0.07485691,0.0867393,0.08673035,0.01188239,0.01187344
37,121.4375,0.0,0.0,0.0,0.00084446,6.794e-05,6.794e-05,0.01253523,0.02528593,0.02528333,0.02825559,0.03093891,0.03093572,0.02459731,0.0227875,0.02278514,0.00839705,0.00727816,0.00727741,0.07462965,0.08635845,0.08634953,0.0117288,0.01171988
38,145.2125,0.0,0.0,0.0,0.00058689,1.554e-05,1.553e-05,0.00889817,0.01894299,0.01894103,0.02792427,0.03166423,0.03166096,0.02767181,0.02572454,0.02572188,0.00923675,0.00800642,0.0080056,0.07431789,0.08435372,0.084345,0.01003583,0.01002711
39,168.9875,0.0,0.0,0.0,0.0004351,3.78e-06,3.78e-06,0.00654202,0.01362337,0.01362197,0.0265483,0.03090665,0.03090346,0.03038458,0.028343,0.02834007,0.01007576,0.00873544,0.00873454,0.07398576,0.08161225,0.08160382,0.00762649,0.00761806
40,192.7625,0.0,0.0,0.0,0.000344,9.9e-07,9.9e-07,0.00509484,0.00950825,0.00950727,0.0245589,0.02902328,0.02902028,0.03281145,0.03073797,0.03073479,0.0109653,0.00949755,0.00949656,0.0737745,0.07876803,0.07875988,0.00499353,0.00498538
41,216.5375,0.0,0.0,0.0,0.00028528,2.7e-07,2.7e-07,0.00420596,0.00647798,0.00647731,0.02232275,0.02643633,0.0264336,0.03497496,0.03302576,0.03302235,0.01190704,0.01035786,0.01035678,0.07369598,0.0762982,0.07629031,0.00260222,0.00259433
42,240.3125,0.0,0.0,0.0,0.00024147,8e-08,8e-08,0.00360816,0.00436331,0.00436286,0.02006272,0.02347507,0.02347264,0.03682805,0.03501293,0.0350093,0.01284593,0.01119613,0.01119497,0.07358632,0.07404752,0.07403987,0.0004612,0.00045355
43,264.0875,0.0,0.0,0.0,0.00020686,3e-08,3e-08,0.00317721,0.00290668,0.00290638,0.01788991,0.02041487,0.02041276,0.03838496,0.03678546,0.03678165,0.01377153,0.01204012,0.01203888,0.07343047,0.07214717,0.0721397,-0.0012833,-0.00129077
44,287.8625,0.0,0.0,0.0,0.00017882,1e-08,1e-08,0.00284945,0.00192431,0.00192411,0.01585528,0.01744028,0.01743847,0.03966763,0.03833976,0.03833579,0.01468439,0.01288217,0.01288083,0.07323557,0.07058652,0.07057922,-0.00264905,-0.00265635
45,311.6375,0.0,0.0,0.0,0.0001557,0.0,0.0,0.00258846,0.00127459,0.00127446,0.01397987,0.01466004,0.01465852,0.04069251,0.03959374,0.03958964,0.01558357,0.01367685,0.01367543,0.07300012,0.06920522,0.06919807,-0.0037949,-0.00380205
46,335.4125,0.0,0.0,0.0,0.00013637,0.0,0.0,0.00237315,0.00083936,0.00083927,0.01227046,0.01214536,0.01214411,0.0414767,0.04073704,0.04073282,0.01646815,0.01451034,0.01450884,0.07272483,0.0682321,0.06822504,-0.00449273,-0.00449979
47,359.1875,0.0,0.0,0.0,0.00012004,0.0,0.0,0.00219078,0.000554,0.00055395,0.01072567,0.00993908,0.00993806,0.04203767,0.04165828,0.04165397,0.01733715,0.01532744,0.01532585,0.07241131,0.0674788,0.06747182,-0.00493251,-0.00493949
48,382.9625,0.0,0.0,0.0,0.00010612,0.0,0.0,0.00203328,0.00036718,0.00036714,0.00933954,0.00804578,0.00804494,0.04239309,0.04234701,0.04234262,0.01818952,0.01611223,0.01611057,0.07206154,0.0668722,0.06686528,-0.00518934,-0.00519626
49,406.7375,0.0,0.0,0.0,9.413e-05,0.0,0.0,0.00189448,0.00024377,0.00024375,0.00810055,0.00644438,0.00644371,0.0425443,0.04287625,0.04287182,0.01901664,0.01689808,0.01689633,0.07165011,0.06646248,0.06645561,-0.00518763,-0.00519451
50,430.5125,0.0,0.0,0.0,8.377e-05,0.0,0.0,0.00177129,0.000162,0.00016198,0.00700248,0.00511074,0.00511022,0.04252347,0.04329034,0.04328586,0.01982287,0.01770845,0.01770661,0.07120388,0.06627153,0.06626467,-0.00493235,-0.00493921
51,454.2875,0.0,0.0,0.0,7.478e-05,0.0,0.0,0.00166099,0.00010831,0.0001083,0.00603469,0.00402347,0.00402306,0.04235063,0.04351946,0.04351495,0.02060807,0.01848982,0.0184879,0.07072915,0.06614106,0.06613421,-0.00458809,-0.00459494
52,478.0625,0.0,0.0,0.0,6.695e-05,0.0,0.0,0.00156149,7.283e-05,7.283e-05,0.00518572,0.00314605,0.00314573,0.04204241,0.04358378,0.04357928,0.02137132,0.01924382,0.01924183,0.07022789,0.06604649,0.06603966,-0.0041814,-0.00418823
53,501.8375,0.0,0.0,0.0,6.01e-05,0.0,0.0,0.00147129,4.923e-05,4.923e-05,0.00444427,0.00244421,0.00244396,0.04161509,0.04350344,0.04349894,0.02211244,0.01997453,0.01997246,0.06970319,0.06597142,0.06596459,-0.00373177,-0.0037386
54,525.6125,0.0,0.0,0.0,5.409e-05,0.0,0.0,0.00138922,3.332e-05,3.331e-05,0.00379945,0.00188191,0.00188172,0.04108419,0.04334976,0.04334527,0.02283172,0.02074965,0.0207475,0.06915867,0.06601464,0.0660078,-0.00314403,-0.00315087
