hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
44.2001,0.0,0.0,0.0,0.00665,0.000747,0.00074743,0.206393,0.198811,0.19881131,0.473151,0.472875,0.47287504,2.864871,2.867168,2.8671679,109.97865,109.982095,109.98209,113.52972,113.5217,113.5217,-0.00802,-0.00802
62.0,0.0,0.0,0.0,0.004121,8.2e-05,8.191e-05,0.16687,0.141692,0.14169177,0.436561,0.434917,0.43491688,2.837864,2.841847,2.8418471,109.966765,109.97171,109.97171,113.41218,113.39025,113.39025,-0.02193,-0.02193
85.775,0.0,0.0,0.0,0.002723,4e-06,4.02e-06,0.133298,0.082163,0.0821631,0.379712,0.373126,0.37312553,2.791957,2.798685,2.7986848,109.949184,109.95629,109.95629,113.25687,113.21027,113.21027,-0.0466,-0.0466
109.55,0.0,0.0,0.0,0.00204,0.0,2e-07,0.113722,0.043691,0.04369101,0.321615,0.306367,0.30636678,2.736283,2.746177,2.7461765,109.929408,109.938945,109.93894,113.10307,113.03518,113.03518,-0.06789,-0.06789
133.325,0.0,0.0,0.0,0.001607,0.0,1e-08,0.101146,0.021795,0.02179481,0.267827,0.241922,0.2419222,2.672199,2.685171,2.6851707,109.907097,109.919361,109.91936,112.94988,112.86825,112.86825,-0.08163,-0.08163
157.1,0.0,0.0,0.0,0.001288,0.0,0.0,0.091931,0.010399,0.01039946,0.220424,0.184565,0.18456464,2.600994,2.616527,2.6165263,109.88206,109.897353,109.89735,112.7967,112.70884,112.70884,-0.08786,-0.08786
180.875,0.0,0.0,0.0,0.001044,0.0,0.0,0.084623,0.004804,0.00480387,0.179639,0.136483,0.13648289,2.523948,2.541439,2.5414391,109.854326,109.872978,109.87298,112.64358,112.5557,112.5557,-0.08788,-0.08788
204.65,0.0,0.0,0.0,0.000853,0.0,0.0,0.07853,0.002167,0.00216729,0.145121,0.098074,0.09807432,2.442271,2.46095,2.4609497,109.823931,109.846239,109.84624,112.49071,112.40743,112.40743,-0.08328,-0.08328
228.425,0.0,0.0,0.0,0.000702,0.0,0.0,0.073294,0.000964,0.00096437,0.11628,0.06862,0.06861963,2.357088,2.375847,2.3758466,109.790915,109.817021,109.81702,112.33828,112.26245,112.26245,-0.07583,-0.07583
252.2,0.0,0.0,0.0,0.000581,0.0,0.0,0.068713,0.000425,0.00042491,0.092463,0.046862,0.04686237,2.269494,2.287239,2.2872388,109.755345,109.785418,109.78542,112.1866,112.11994,112.11994,-0.06666,-0.06666
275.975,0.0,0.0,0.0,0.000484,0.0,0.0,0.064654,0.000187,0.00018651,0.07299,0.031303,0.03130297,2.180434,2.195949,2.1959484,109.717276,109.75142,109.75142,112.03584,111.97886,111.97886,-0.05698,-0.05698
299.75,0.0,0.0,0.0,0.000405,0.0,0.0,0.061024,8.2e-05,8.192e-05,0.057218,0.020487,0.02048739,2.090743,2.102771,2.1027707,109.676762,109.715035,109.71503,111.88615,111.83838,111.83837,-0.04777,-0.04778
323.525,0.0,0.0,0.0,0.000341,0.0,0.0,0.057754,3.6e-05,3.599e-05,0.044559,0.013161,0.01316147,2.001155,2.008659,2.0086585,109.633863,109.676395,109.6764,111.73767,111.69825,111.69825,-0.03942,-0.03942
347.3,0.0,0.0,0.0,0.000288,0.0,0.0,0.05479,1.6e-05,1.591e-05,0.034485,0.008314,0.00831385,1.912302,1.914073,1.914073,109.588642,109.635389,109.63539,111.59051,111.55779,111.55779,-0.03272,-0.03272
371.075,0.0,0.0,0.0,0.000244,0.0,0.0,0.05209,7e-06,7.09e-06,0.026534,0.005171,0.00517079,1.824721,1.819704,1.8197042,109.541165,109.592061,109.59206,111.44475,111.41694,111.41694,-0.02781,-0.02781
394.85,0.0,0.0,0.0,0.000208,0.0,0.0,0.049619,3e-06,3.18e-06,0.02031,0.00317,0.00316991,1.738872,1.726217,1.7262172,109.491512,109.546503,109.5465,111.30052,111.27589,111.27589,-0.02463,-0.02463
418.625,0.0,0.0,0.0,0.000178,0.0,0.0,0.04735,1e-06,1.44e-06,0.015475,0.001918,0.00191819,1.655137,1.634071,1.6340712,109.439772,109.49871,109.49871,111.15791,111.1347,111.1347,-0.02321,-0.02321
442.4,0.0,0.0,0.0,0.000153,0.0,0.0,0.04526,1e-06,6.6e-07,0.011744,0.001148,0.00114758,1.573793,1.543598,1.5435981,109.38602,109.448606,109.44861,111.01697,110.99335,110.99335,-0.02362,-0.02362
466.175,0.0,0.0,0.0,0.000132,0.0,0.0,0.043327,0.0,3e-07,0.008883,0.000679,0.00067923,1.495054,1.45524,1.45524,109.330335,109.396269,109.39627,110.87773,110.85219,110.85219,-0.02554,-0.02554
489.95,0.0,0.0,0.0,0.000114,0.0,0.0,0.041535,0.0,1.4e-07,0.006701,0.000398,0.00039797,1.419071,1.369357,1.3693566,109.272795,109.341769,109.34177,110.74022,110.71152,110.71152,-0.0287,-0.0287
513.725,0.0,0.0,0.0,9.9e-05,0.0,0.0,0.03987,0.0,7e-08,0.005047,0.000231,0.00023096,1.34595,1.286232,1.2862315,109.213484,109.285165,109.28517,110.60445,110.57163,110.57163,-0.03282,-0.03282
537.5,0.0,0.0,0.0,8.7e-05,0.0,0.0,0.038318,0.0,3e-08,0.003798,0.000133,0.00013309,1.275753,1.205987,1.2059866,109.152481,109.226328,109.22633,110.47044,110.43245,110.43245,-0.03799,-0.03799
561.275,0.0,0.0,0.0,7.6e-05,0.0,0.0,0.036869,0.0,2e-08,0.002858,7.6e-05,7.618e-05,1.208506,1.128815,1.128815,109.089872,109.165321,109.16532,110.33818,110.29421,110.29421,-0.04397,-0.04397
585.05,0.0,0.0,0.0,6.6e-05,0.0,0.0,0.035512,0.0,1e-08,0.002153,4.3e-05,4.332e-05,1.144208,1.054856,1.0548559,109.025738,109.102202,109.1022,110.20768,110.1571,110.1571,-0.05058,-0.05058
608.825,0.0,0.0,0.0,5.8e-05,0.0,0.0,0.03424,0.0,0.0,0.001625,2.4e-05,2.449e-05,1.082833,0.984201,0.98420084,108.960165,109.037028,109.03703,110.07892,110.02125,110.02125,-0.05767,-0.05767
632.6,0.0,0.0,0.0,5.2e-05,0.0,0.0,0.033046,0.0,0.0,0.001231,1.4e-05,1.376e-05,1.024349,0.916902,0.91690159,108.893247,108.969854,108.96985,109.95192,109.88677,109.88677,-0.06515,-0.06515
656.375,0.0,0.0,0.0,4.6e-05,0.0,0.0,0.031922,0.0,0.0,0.000936,8e-06,7.7e-06,0.9687,0.852953,0.85295251,108.825079,108.900624,108.90062,109.82668,109.75358,109.75358,-0.0731,-0.0731
680.15,0.0,0.0,0.0,4e-05,0.0,0.0,0.030864,0.0,0.0,0.000715,4e-06,4.29e-06,0.915817,0.792333,0.79233295,108.755751,108.829323,108.82932,109.70319,109.62166,109.62166,-0.08153,-0.08153
703.925,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.029866,0.0,0.0,0.00055,2e-06,2.38e-06,0.865623,0.735016,0.73501609,108.685368,108.756027,108.75603,109.58144,109.49105,109.49105,-0.09039,-0.09039
727.7,0.0,0.0,0.0,3.2e-05,0.0,0.0,0.028925,0.0,0.0,0.000426,1e-06,1.32e-06,0.818039,0.680953,0.68095258,108.614052,108.680828,108.68083,109.46147,109.36178,109.36178,-0.09969,-0.09969
751.475,0.0,0.0,0.0,2.9e-05,0.0,0.0,0.028039,0.0,0.0,0.000332,1e-06,7.3e-07,0.772979,0.630074,0.63007352,108.541924,108.603821,108.60382,109.3433,109.2339,109.2339,-0.1094,-0.1094
775.25,0.0,0.0,0.0,2.6e-05,0.0,0.0,0.027202,0.0,0.0,0.000261,0.0,4e-07,0.73035,0.582291,0.58229111,108.469087,108.52508,108.52508,109.22693,109.10737,109.10737,-0.11956,-0.11956
799.025,0.0,0.0,0.0,2.3e-05,0.0,0.0,0.026411,0.0,0.0,0.000207,0.0,2.2e-07,0.69005,0.537503,0.53750317,108.395612,108.444651,108.44465,109.1123,108.98215,108.98215,-0.13015,-0.13015
822.8,0.0,0.0,0.0,2.1e-05,0.0,0.0,0.025662,0.0,0.0,0.000166,0.0,1.2e-07,0.651976,0.495595,0.49559512,108.32155,108.362445,108.36244,108.99937,108.85804,108.85804,-0.14133,-0.14133
846.575,0.0,0.0,0.0,1.9e-05,0.0,0.0,0.024952,0.0,0.0,0.000134,0.0,7e-08,0.616024,0.456448,0.45644812,108.246939,108.278433,108.27843,108.88807,108.73488,108.73488,-0.15319,-0.15319
870.35,0.0,0.0,0.0,1.7e-05,0.0,0.0,0.024276,0.0,0.0,0.000109,0.0,4e-08,0.582094,0.419941,0.41994119,108.171825,108.192641,108.19264,108.77832,108.61258,108.61258,-0.16574,-0.16574
894.125,0.0,0.0,0.0,1.6e-05,0.0,0.0,0.023633,0.0,0.0,8.9e-05,0.0,2e-08,0.550089,0.385951,0.38595073,108.096262,108.105101,108.1051,108.67009,108.49105,108.49105,-0.17904,-0.17904
917.9,0.0,0.0,0.0,1.4e-05,0.0,0.0,0.02302,0.0,0.0,7.4e-05,0.0,1e-08,0.519916,0.354352,0.35435219,108.020306,108.01585,108.01585,108.56333,108.3702,108.3702,-0.19313,-0.19313
941.675,0.0,0.0,0.0,1.3e-05,0.0,0.0,0.022435,0.0,0.0,6.1e-05,0.0,1e-08,0.491485,0.325021,0.32502087,107.944015,107.924927,107.92493,108.45801,108.24995,108.24995,-0.20806,-0.20806
965.45,0.0,0.0,0.0,1.2e-05,0.0,0.0,0.021876,0.0,0.0,5.1e-05,0.0,0.0,0.464711,0.297833,0.29783268,107.867454,107.83237,107.83237,108.3541,108.1302,108.1302,-0.2239,-0.2239
989.225,0.0,0.0,0.0,1.1e-05,0.0,0.0,0.021342,0.0,0.0,4.3e-05,0.0,0.0,0.439509,0.272666,0.27266564,107.790682,107.738211,107.73821,108.25159,108.01088,108.01088,-0.24071,-0.24071
1013.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.020832,0.0,0.0,3.7e-05,0.0,0.0,0.415798,0.2494,0.24939978,107.713751,107.642488,107.64249,108.15043,107.89189,107.89189,-0.25854,-0.25854
